date,load
2019-01-02,164.6
2019-01-03,170.1
2019-01-04,165.2
2019-01-05,167.4
2019-01-06,171.2
2019-01-07,166.4
2019-01-08,160.8
2019-01-09,163.0
2019-01-10,168.8
2019-01-11,167.7
2019-01-12,168.1
2019-01-13,164.9
2019-01-14,163.3
2019-01-15,160.7
2019-01-16,155.2
2019-01-17,161.8
2019-01-18,169.9
2019-01-19,166.0
2019-01-20,153.9
2019-01-21,153.3
2019-01-22,152.6
2019-01-23,194.9
2019-01-24,193.7
2019-01-25,176.4
2019-01-26,172.4
2019-01-27,181.0
2019-01-28,189.4
2019-01-29,189.8
2019-01-30,160.4
2019-01-31,162.7
2019-02-02,164.2
2019-02-03,163.7
2019-02-04,165.8
2019-02-05,165.2
2019-02-06,163.2
2019-02-07,152.8
2019-02-08,156.7
2019-02-09,149.8
2019-02-10,148.7
2019-02-11,153.8
2019-02-12,155.2
2019-02-13,157.5
2019-02-14,149.2
2019-02-15,148.1
2019-02-16,151.5
2019-02-17,150.5
2019-02-18,159.5
2019-02-19,160.8
2019-02-20,159.1
2019-02-21,197.0
2019-02-22,201.0
2019-02-23,197.1
2019-02-24,183.2
2019-02-25,196.3
2019-02-26,197.3
2019-02-27,194.2
2019-02-28,182.9
2019-03-02,187.8
2019-03-03,191.0
2019-03-04,191.8
2019-03-05,190.0
2019-03-06,188.6
2019-03-07,182.7
2019-03-08,175.5
2019-03-09,184.6
2019-03-10,187.2
2019-03-11,194.8
2019-03-12,190.4
2019-03-13,182.7
2019-03-14,167.9
2019-03-15,148.6
2019-03-16,150.9
2019-03-17,155.8
2019-03-18,142.2
2019-03-19,151.3
2019-03-20,151.8
2019-03-21,157.9
2019-03-22,169.5
2019-03-23,169.5
2019-03-24,169.9
2019-03-25,168.6
2019-03-26,167.7
2019-03-27,170.0
2019-03-28,151.7
2019-03-29,197.7
2019-03-30,197.6
2019-03-31,198.1
2019-04-02,198.8
2019-04-03,199.6
2019-04-04,200.4
2019-04-05,196.7
2019-04-06,190.1
2019-04-07,194.2
2019-04-08,199.6
2019-04-09,196.8
2019-04-10,192.9
2019-04-11,190.8
2019-04-12,189.7
2019-04-13,176.2
2019-04-14,178.1
2019-04-15,179.0
2019-04-16,178.2
2019-04-17,185.0
2019-04-18,184.6
2019-04-19,174.3
2019-04-20,195.0
2019-04-21,197.6
2019-04-22,201.2
2019-04-23,199.0
2019-04-24,200.7
2019-04-25,200.8
2019-04-26,194.0
2019-04-27,166.1
2019-04-28,167.7
2019-04-29,164.5
2019-04-30,168.2
2019-05-02,172.6
2019-05-03,170.1
2019-05-04,163.0
2019-05-05,158.1
2019-05-06,153.1
2019-05-07,153.9
2019-05-08,147.7
2019-05-09,149.7
2019-05-10,154.2
2019-05-11,160.0
2019-05-12,165.3
2019-05-13,168.2
2019-05-14,175.2
2019-05-15,174.1
2019-05-16,158.7
2019-05-17,154.9
2019-05-18,151.0
2019-05-19,177.6
2019-05-20,178.2
2019-05-21,186.1
2019-05-22,189.3
2019-05-23,193.3
2019-05-24,193.3
2019-05-25,189.0
2019-05-26,176.7
2019-05-27,181.4
2019-05-28,175.4
2019-05-29,162.1
2019-05-30,159.7
2019-05-31,160.4
2019-06-02,161.0
2019-06-03,152.5
2019-06-04,146.7
2019-06-05,144.4
2019-06-06,146.6
2019-06-07,151.4
2019-06-08,149.8
2019-06-09,146.1
2019-06-10,165.2
2019-06-11,166.6
2019-06-12,167.5
2019-06-13,169.7
2019-06-14,169.7
2019-06-15,168.6
2019-06-16,162.7
2019-06-17,193.1
2019-06-18,201.7
2019-06-19,202.5
2019-06-20,202.5
2019-06-21,199.9
2019-06-22,201.0
2019-06-23,199.1
2019-06-24,177.3
2019-06-25,180.6
2019-06-26,182.4
2019-06-27,184.3
2019-06-28,182.8
2019-06-29,183.0
2019-06-30,178.7
2019-07-01,164.3
2019-07-02,161.9
2019-07-03,159.9
2019-07-04,160.9
2019-07-05,164.7
2019-07-06,165.4
2019-07-07,166.8
2019-07-08,168.7
2019-07-08,170.6
2019-07-09,169.3
2019-07-09,170.1
2019-07-10,170.5
2019-07-10,169.4
2019-07-11,175.1
2019-07-11,159.1
2019-07-12,173.8
2019-07-12,167.6
2019-07-13,168.6
2019-07-14,169.6
2019-07-15,169.3
2019-07-16,167.3
2019-07-17,192.4
2019-07-18,196.9
2019-07-19,197.8
2019-07-20,193.1
2019-07-21,196.4
2019-07-22,200.7
2019-07-23,195.8
2019-07-24,190.1
2019-07-25,192.8
2019-07-26,187.7
2019-07-27,193.6
2019-07-28,192.6
2019-07-29,191.9
2019-07-30,190.2
2019-07-31,193.4
2019-08-01,197.0
2019-08-02,204.0
2019-08-03,195.3
2019-08-04,183.0
2019-08-05,183.0
2019-08-06,169.6
2019-08-08,177.6
2019-08-09,174.1
2019-08-10,164.7
2019-08-11,175.5
2019-08-12,186.9
2019-08-13,192.3
2019-08-14,195.9
2019-08-15,193.5
2019-08-16,197.3
2019-08-17,198.1
2019-08-18,197.4
2019-08-19,194.6
2019-08-20,194.6
2019-08-21,191.3
2019-08-22,155.9
2019-08-23,158.2
2019-08-24,160.2
2019-08-25,166.5
2019-08-26,167.6
2019-08-27,167.4
2019-08-28,164.8
2019-08-29,172.8
2019-08-30,162.7
2019-08-31,159.2
2019-09-01,153.8
2019-09-02,152.4
2019-09-03,159.3
2019-09-04,156.6
2019-09-05,201.2
2019-09-06,205.1
2019-09-08,204.3
2019-09-09,201.3
2019-09-10,198.5
2019-09-11,192.9
2019-09-12,172.3
2019-09-13,178.1
2019-09-14,181.9
2019-09-15,179.2
2019-09-16,169.0
2019-09-17,165.5
2019-09-18,164.9
2019-09-19,193.5
2019-09-20,193.9
2019-09-21,193.9
2019-09-22,195.6
2019-09-23,193.5
2019-09-24,187.8
2019-09-25,178.1
2019-09-26,165.1
2019-09-27,164.4
2019-09-28,156.5
2019-09-29,152.3
2019-09-30,154.9
2019-10-01,155.4
2019-10-02,149.7
2019-10-03,159.1
2019-10-04,151.4
2019-10-05,151.2
2019-10-06,157.0
2019-10-08,163.4
2019-10-09,165.2
2019-10-10,163.4
2019-10-11,193.3
2019-10-12,197.0
2019-10-13,196.7
2019-10-14,197.6
2019-10-15,197.4
2019-10-16,197.7
2019-10-17,196.5
2019-10-18,170.4
2019-10-19,166.7
2019-10-20,156.0
2019-10-21,153.7
2019-10-22,167.5
2019-10-23,169.5
2019-10-24,170.2
2019-10-25,186.0
2019-10-26,183.4
2019-10-27,183.6
2019-10-28,184.7
2019-10-29,183.3
2019-10-30,174.0
2019-10-31,164.1
2019-11-01,154.9
2019-11-02,158.7
2019-11-03,160.9
2019-11-04,163.0
2019-11-05,165.0
2019-11-06,166.6
2019-11-08,171.0
2019-11-09,173.2
2019-11-10,176.0
2019-11-11,173.3
2019-11-12,171.9
2019-11-13,165.5
2019-11-14,168.3
2019-11-15,168.3
2019-11-16,196.6
2019-11-17,199.2
2019-11-18,198.1
2019-11-19,197.4
2019-11-20,197.4
2019-11-21,196.6
2019-11-22,192.0
2019-11-23,172.2
2019-11-24,174.8
2019-11-25,174.5
2019-11-26,174.2
2019-11-27,175.9
2019-11-28,178.1
2019-11-29,184.3
2019-11-30,181.0
2019-12-01,191.0
2019-12-02,197.3
2019-12-03,198.4
2019-12-04,198.7
2019-12-05,201.8
2019-12-06,197.6
2019-12-08,175.6
2019-12-09,180.6
2019-12-10,178.7
2019-12-11,180.5
2019-12-12,174.5
2019-12-13,181.9
2019-12-14,185.5
2019-12-15,180.7
2019-12-16,184.5
2019-12-17,186.4
2019-12-18,187.8
2019-12-19,189.0
2019-12-20,189.7
2019-12-21,189.7
2019-12-22,155.9
2019-12-23,159.7
2019-12-24,163.0
2019-12-25,160.7
2019-12-26,159.3
2019-12-27,156.6
2019-12-28,154.2
2019-12-29,181.9
2019-12-30,186.9
2019-12-31,186.6
2020-01-01,183.0
2020-01-02,184.5
2020-01-03,180.5
2020-01-04,175.6
2020-01-05,187.7
2020-01-13,189.2
2020-01-14,192.3
2020-01-15,197.4
2020-01-16,200.0
2020-01-17,198.5
2020-01-18,196.1
2020-01-19,182.5
2020-01-20,188.4
2020-01-21,185.9
2020-01-22,187.1
2020-01-23,189.0
2020-01-24,184.1
2020-01-25,171.8
2020-01-26,191.4
2020-01-27,194.1
2020-01-28,195.9
2020-01-29,175.0
2020-01-30,192.0
2020-01-31,191.0
2020-02-01,192.4
2020-02-02,158.5
2020-02-03,154.8
2020-02-04,158.4
2020-02-05,159.6
2020-02-13,159.1
2020-02-14,160.6
2020-02-15,162.2
2020-02-16,163.5
2020-02-17,163.3
2020-02-18,161.2
2020-02-19,164.6
2020-02-20,165.0
2020-02-21,162.8
2020-02-22,161.7
2020-02-23,196.6
2020-02-24,196.5
2020-02-25,195.6
2020-02-26,201.7
2020-02-27,205.0
2020-02-28,199.1
2020-02-29,194.3
2020-03-01,161.9
2020-03-02,161.3
2020-03-03,166.8
2020-03-04,168.6
2020-03-05,171.5
2020-03-13,171.3
2020-03-14,170.8
2020-03-15,169.3
2020-03-16,179.4
2020-03-17,175.1
2020-03-18,182.5
2020-03-19,188.4
2020-03-20,185.9
2020-03-21,187.1
2020-03-22,162.0
