date,load
2019-01-02,21.7
2019-01-03,23.4
2019-01-04,21.7
2019-01-05,22.5
2019-01-06,21.7
2019-01-07,21.4
2019-01-08,20.7
2019-01-09,25.8
2019-01-10,25.8
2019-01-11,27.9
2019-01-12,30.1
2019-01-13,30.1
2019-01-14,31.7
2019-01-15,29.2
2019-01-16,31.3
2019-01-17,33.1
2019-01-18,32.5
2019-01-19,31.4
2019-01-20,33.0
2019-01-21,34.3
2019-01-22,33.3
2019-01-23,22.5
2019-01-24,21.3
2019-01-25,18.7
2019-01-26,22.3
2019-01-27,23.6
2019-01-28,18.7
2019-01-29,18.3
2019-01-30,20.0
2019-01-31,20.5
2019-02-02,20.9
2019-02-03,20.9
2019-02-04,19.7
2019-02-05,19.5
2019-02-06,19.8
2019-02-07,21.5
2019-02-08,24.3
2019-02-09,25.3
2019-02-10,26.5
2019-02-11,25.9
2019-02-12,25.2
2019-02-13,24.5
2019-02-14,23.9
2019-02-15,23.6
2019-02-16,23.7
2019-02-17,23.5
2019-02-18,23.8
2019-02-19,23.9
2019-02-20,22.6
2019-02-21,25.2
2019-02-22,28.0
2019-02-23,28.6
2019-02-24,27.0
2019-02-25,26.7
2019-02-26,28.8
2019-02-27,29.8
2019-02-28,22.7
2019-03-02,23.4
2019-03-03,23.2
2019-03-04,24.1
2019-03-05,22.0
2019-03-06,23.0
2019-03-07,21.6
2019-03-08,36.8
2019-03-09,37.0
2019-03-10,33.8
2019-03-11,37.2
2019-03-12,36.4
2019-03-13,34.9
2019-03-14,35.2
2019-03-15,19.1
2019-03-16,19.6
2019-03-17,19.9
2019-03-18,19.8
2019-03-19,21.5
2019-03-20,21.8
2019-03-21,21.7
2019-03-22,22.6
2019-03-23,22.7
2019-03-24,23.3
2019-03-25,23.1
2019-03-26,22.9
2019-03-27,23.0
2019-03-28,20.4
2019-03-29,24.8
2019-03-30,23.2
2019-03-31,22.7
2019-04-02,24.6
2019-04-03,25.8
2019-04-04,25.6
2019-04-05,15.2
2019-04-06,23.7
2019-04-07,22.8
2019-04-08,22.4
2019-04-09,19.8
2019-04-10,22.9
2019-04-11,23.6
2019-04-12,22.3
2019-04-13,33.2
2019-04-14,32.7
2019-04-15,27.7
2019-04-16,28.4
2019-04-17,29.6
2019-04-18,31.1
2019-04-19,32.7
2019-04-20,20.7
2019-04-21,22.7
2019-04-22,19.2
2019-04-23,21.0
2019-04-24,22.7
2019-04-25,23.1
2019-04-26,21.1
2019-04-27,22.8
2019-04-28,21.7
2019-04-29,22.5
2019-04-30,22.4
2019-05-02,22.8
2019-05-03,22.4
2019-05-04,21.4
2019-05-05,27.2
2019-05-06,24.7
2019-05-07,25.7
2019-05-08,28.8
2019-05-09,29.6
2019-05-10,29.4
2019-05-11,26.5
2019-05-12,29.5
2019-05-13,27.8
2019-05-14,29.2
2019-05-15,31.7
2019-05-16,31.4
2019-05-17,30.5
2019-05-18,30.9
2019-05-19,23.8
2019-05-20,25.8
2019-05-21,27.1
2019-05-22,28.9
2019-05-23,27.0
2019-05-24,27.0
2019-05-25,22.0
2019-05-26,19.0
2019-05-27,21.5
2019-05-28,21.3
2019-05-29,19.5
2019-05-30,19.1
2019-05-31,20.6
2019-06-02,21.0
2019-06-03,26.2
2019-06-04,26.9
2019-06-05,26.7
2019-06-06,24.6
2019-06-07,22.3
2019-06-08,20.3
2019-06-09,22.7
2019-06-10,23.2
2019-06-11,23.5
2019-06-12,23.3
2019-06-13,23.5
2019-06-14,23.8
2019-06-15,22.6
2019-06-16,22.5
2019-06-17,26.0
2019-06-18,27.6
2019-06-19,27.1
2019-06-20,25.5
2019-06-21,24.7
2019-06-22,25.0
2019-06-23,25.8
2019-06-24,21.5
2019-06-25,22.9
2019-06-26,24.1
2019-06-27,22.8
2019-06-28,23.1
2019-06-29,23.2
2019-06-30,22.2
2019-07-01,34.2
2019-07-02,36.0
2019-07-03,38.0
2019-07-04,37.2
2019-07-05,33.2
2019-07-06,34.8
2019-07-07,35.1
2019-07-08,15.8
2019-07-08,15.5
2019-07-09,14.8
2019-07-09,14.3
2019-07-10,16.8
2019-07-10,16.5
2019-07-11,22.6
2019-07-11,17.0
2019-07-12,23.6
2019-07-12,23.2
2019-07-13,23.3
2019-07-14,23.7
2019-07-15,23.3
2019-07-16,21.7
2019-07-17,23.7
2019-07-18,23.1
2019-07-19,23.4
2019-07-20,22.3
2019-07-21,21.2
2019-07-22,21.7
2019-07-23,23.2
2019-07-24,20.9
2019-07-25,21.9
2019-07-26,22.2
2019-07-27,23.6
2019-07-28,23.4
2019-07-29,23.9
2019-07-30,22.6
2019-07-31,30.2
2019-08-01,32.7
2019-08-02,33.9
2019-08-03,35.1
2019-08-04,33.2
2019-08-05,32.0
2019-08-06,32.3
2019-08-08,21.5
2019-08-09,27.6
2019-08-10,30.9
2019-08-11,28.4
2019-08-12,20.2
2019-08-13,21.7
2019-08-14,23.6
2019-08-15,22.6
2019-08-16,22.5
2019-08-17,22.4
2019-08-18,23.1
2019-08-19,22.9
2019-08-20,22.8
2019-08-21,20.0
2019-08-22,20.9
2019-08-23,21.2
2019-08-24,22.0
2019-08-25,20.9
2019-08-26,22.1
2019-08-27,22.1
2019-08-28,20.3
2019-08-29,31.6
2019-08-30,31.4
2019-08-31,33.1
2019-09-01,36.1
2019-09-02,35.5
2019-09-03,36.2
2019-09-04,31.4
2019-09-05,23.4
2019-09-06,23.9
2019-09-08,23.7
2019-09-09,24.2
2019-09-10,24.2
2019-09-11,24.0
2019-09-12,24.5
2019-09-13,27.3
2019-09-14,28.4
2019-09-15,32.0
2019-09-16,33.6
2019-09-17,33.0
2019-09-18,30.4
2019-09-19,22.3
2019-09-20,20.4
2019-09-21,15.6
2019-09-22,23.9
2019-09-23,26.1
2019-09-24,23.8
2019-09-25,22.9
2019-09-26,29.5
2019-09-27,29.4
2019-09-28,30.0
2019-09-29,31.0
2019-09-30,30.1
2019-10-01,30.2
2019-10-02,29.1
2019-10-03,23.9
2019-10-04,22.9
2019-10-05,21.4
2019-10-06,22.8
2019-10-08,23.3
2019-10-09,23.2
2019-10-10,22.2
2019-10-11,19.0
2019-10-12,21.5
2019-10-13,23.8
2019-10-14,24.9
2019-10-15,24.8
2019-10-16,24.5
2019-10-17,25.3
2019-10-18,23.1
2019-10-19,22.3
2019-10-20,20.5
2019-10-21,20.9
2019-10-22,22.0
2019-10-23,22.6
2019-10-24,22.7
2019-10-25,33.9
2019-10-26,32.6
2019-10-27,33.4
2019-10-28,30.3
2019-10-29,33.2
2019-10-30,35.2
2019-10-31,33.3
2019-11-01,19.2
2019-11-02,21.7
2019-11-03,21.3
2019-11-04,16.4
2019-11-05,15.9
2019-11-06,15.2
2019-11-08,14.9
2019-11-09,23.6
2019-11-10,23.8
2019-11-11,23.7
2019-11-12,23.5
2019-11-13,24.7
2019-11-14,24.1
2019-11-15,22.4
2019-11-16,24.3
2019-11-17,24.2
2019-11-18,24.1
2019-11-19,24.6
2019-11-20,24.7
