date,load
2019-01-02,82.3
2019-01-03,82.0
2019-01-04,82.9
2019-01-05,77.0
2019-01-06,76.4
2019-01-07,75.3
2019-01-08,76.2
2019-01-09,56.4
2019-01-10,69.9
2019-01-11,76.2
2019-01-12,82.3
2019-01-13,87.7
2019-01-14,88.2
2019-01-15,93.7
2019-01-16,93.5
2019-01-17,98.9
2019-01-18,106.1
2019-01-19,105.5
2019-01-20,106.7
2019-01-21,109.1
2019-01-22,111.0
2019-01-23,101.7
2019-01-24,105.0
2019-01-25,102.1
2019-01-26,100.1
2019-01-27,82.8
2019-01-28,80.4
2019-01-29,87.9
2019-01-30,65.3
2019-01-31,69.4
2019-02-02,71.2
2019-02-03,77.4
2019-02-04,78.3
2019-02-05,76.1
2019-02-06,75.1
2019-02-07,79.7
2019-02-08,80.0
2019-02-09,79.4
2019-02-10,82.6
2019-02-11,82.7
2019-02-12,79.5
2019-02-13,77.9
2019-02-14,72.2
2019-02-15,72.6
2019-02-16,74.7
2019-02-17,73.6
2019-02-18,73.3
2019-02-19,74.1
2019-02-20,74.0
2019-02-21,105.3
2019-02-22,108.7
2019-02-23,107.7
2019-02-24,92.4
2019-02-25,80.5
2019-02-26,99.7
2019-02-27,88.8
2019-02-28,79.9
2019-03-02,80.6
2019-03-03,76.8
2019-03-04,80.6
2019-03-05,78.9
2019-03-06,76.8
2019-03-07,78.0
2019-03-08,109.4
2019-03-09,111.8
2019-03-10,115.4
2019-03-11,117.8
2019-03-12,117.6
2019-03-13,117.6
2019-03-14,117.9
2019-03-15,67.3
2019-03-16,71.9
2019-03-17,67.1
2019-03-18,74.1
2019-03-19,83.8
2019-03-20,70.2
2019-03-21,71.3
2019-03-22,66.6
2019-03-23,68.3
2019-03-24,68.7
2019-03-25,69.3
2019-03-26,69.0
2019-03-27,69.0
2019-03-28,66.8
2019-03-29,79.5
2019-03-30,62.1
2019-03-31,72.8
2019-04-02,78.7
2019-04-03,81.5
2019-04-04,84.1
2019-04-05,85.1
2019-04-06,72.5
2019-04-07,73.0
2019-04-08,62.3
2019-04-09,63.8
2019-04-10,69.1
2019-04-11,70.7
2019-04-12,71.3
2019-04-13,109.3
2019-04-14,113.8
2019-04-15,99.1
2019-04-16,95.6
2019-04-17,103.1
2019-04-18,101.1
2019-04-19,100.3
2019-04-20,64.5
2019-04-21,61.2
2019-04-22,63.8
2019-04-23,69.0
2019-04-24,69.8
2019-04-25,68.2
2019-04-26,70.8
2019-04-27,72.2
2019-04-28,71.6
2019-04-29,75.4
2019-04-30,75.2
2019-05-02,77.7
2019-05-03,76.1
2019-05-04,80.2
2019-05-05,98.1
2019-05-06,98.1
2019-05-07,89.0
2019-05-08,69.5
2019-05-09,70.4
2019-05-10,53.0
2019-05-11,43.5
2019-05-12,104.2
2019-05-13,97.4
2019-05-14,88.2
2019-05-15,90.6
2019-05-16,97.1
2019-05-17,91.9
2019-05-18,91.4
2019-05-19,93.5
2019-05-20,89.4
2019-05-21,98.1
2019-05-22,99.8
2019-05-23,99.6
2019-05-24,99.6
2019-05-25,94.2
2019-05-26,68.2
2019-05-27,63.0
2019-05-28,69.9
2019-05-29,72.7
2019-05-30,73.3
2019-05-31,76.3
2019-06-02,67.3
2019-06-03,84.4
2019-06-04,82.6
2019-06-05,80.2
2019-06-06,74.1
2019-06-07,70.3
2019-06-08,71.1
2019-06-09,77.9
2019-06-10,75.3
2019-06-11,75.8
2019-06-12,68.7
2019-06-13,63.7
2019-06-14,71.2
2019-06-15,69.0
2019-06-16,69.8
2019-06-17,106.2
2019-06-18,107.3
2019-06-19,105.8
2019-06-20,96.5
2019-06-21,104.7
2019-06-22,102.3
2019-06-23,101.0
2019-06-24,78.2
2019-06-25,79.0
2019-06-26,81.6
2019-06-27,79.4
2019-06-28,79.7
2019-06-29,78.7
2019-06-30,82.8
2019-07-01,104.7
2019-07-02,110.7
2019-07-03,111.8
2019-07-04,114.5
2019-07-05,110.8
2019-07-06,100.7
2019-07-07,103.1
2019-07-08,80.8
2019-07-08,70.2
2019-07-09,64.0
2019-07-09,72.8
2019-07-10,75.3
2019-07-10,71.8
2019-07-11,68.6
2019-07-11,73.6
2019-07-12,67.8
2019-07-12,67.5
2019-07-13,68.2
2019-07-14,68.7
2019-07-15,67.6
2019-07-16,67.8
2019-07-17,76.7
2019-07-18,78.3
2019-07-19,76.4
2019-07-20,72.9
2019-07-21,74.6
2019-07-22,75.5
2019-07-23,77.1
2019-07-24,70.0
2019-07-25,68.5
2019-07-26,69.4
2019-07-27,71.1
2019-07-28,73.0
2019-07-29,70.6
2019-07-30,73.1
2019-07-31,108.7
2019-08-01,106.4
2019-08-02,106.7
2019-08-03,108.4
2019-08-04,109.2
2019-08-05,80.4
2019-08-06,97.7
2019-08-08,101.6
2019-08-09,105.9
2019-08-10,102.2
2019-08-11,93.3
2019-08-12,81.6
2019-08-13,92.5
2019-08-14,98.6
2019-08-15,75.3
2019-08-16,74.8
2019-08-17,76.1
2019-08-18,76.5
2019-08-19,76.2
2019-08-20,64.0
2019-08-21,70.2
2019-08-22,64.1
2019-08-23,65.4
2019-08-24,71.0
2019-08-25,67.3
2019-08-26,71.7
2019-08-27,71.5
2019-08-28,73.4
2019-08-29,108.4
2019-08-30,93.4
2019-08-31,79.2
2019-09-01,96.1
2019-09-02,104.5
2019-09-03,98.8
2019-09-04,93.1
2019-09-05,71.7
2019-09-06,72.0
2019-09-08,73.4
2019-09-09,74.1
2019-09-10,75.2
2019-09-11,68.6
2019-09-12,89.3
2019-09-13,95.7
2019-09-14,97.7
2019-09-15,104.5
2019-09-16,106.1
2019-09-17,105.8
2019-09-18,109.9
2019-09-19,92.8
2019-09-20,88.5
2019-09-21,69.1
2019-09-22,81.1
2019-09-23,86.6
2019-09-24,89.8
2019-09-25,92.3
2019-09-26,92.9
2019-09-27,92.2
2019-09-28,93.3
2019-09-29,95.0
2019-09-30,95.5
2019-10-01,88.1
2019-10-02,83.8
2019-10-03,76.7
2019-10-04,74.5
2019-10-05,73.9
2019-10-06,75.3
2019-10-08,76.7
2019-10-09,75.1
2019-10-10,76.2
2019-10-11,104.2
2019-10-12,100.3
2019-10-13,100.2
2019-10-14,99.5
2019-10-15,103.1
2019-10-16,103.6
2019-10-17,106.3
2019-10-18,83.8
2019-10-19,82.5
2019-10-20,80.7
2019-10-21,77.1
2019-10-22,74.2
2019-10-23,73.0
2019-10-24,75.0
2019-10-25,110.7
2019-10-26,96.5
2019-10-27,99.9
2019-10-28,104.7
2019-10-29,108.1
2019-10-30,107.8
2019-10-31,104.9
2019-11-01,82.8
2019-11-02,88.8
2019-11-03,91.6
2019-11-04,70.3
2019-11-05,82.7
2019-11-06,82.9
2019-11-08,81.0
2019-11-09,74.8
2019-11-10,71.3
2019-11-11,69.1
2019-11-12,69.7
2019-11-13,72.7
2019-11-14,71.2
2019-11-15,69.4
2019-11-16,75.2
2019-11-17,75.2
2019-11-18,77.2
2019-11-19,76.4
2019-11-20,78.0
2019-11-21,79.4
2019-11-22,78.2
2019-11-23,70.9
2019-11-24,72.1
2019-11-25,68.5
2019-11-26,69.8
2019-11-27,70.8
2019-11-28,66.3
2019-11-29,68.4
2019-11-30,96.9
2019-12-01,90.2
2019-12-02,87.6
2019-12-03,86.7
2019-12-04,108.2
2019-12-05,106.1
2019-12-06,110.7
2019-12-08,87.5
2019-12-09,68.2
2019-12-10,91.4
2019-12-11,97.8
2019-12-12,97.1
