date,load
2019-01-02,78.7
2019-01-03,78.8
2019-01-04,74.8
2019-01-05,69.0
2019-01-06,68.1
2019-01-07,73.1
2019-01-08,74.2
2019-01-09,77.2
2019-01-10,79.0
2019-01-11,80.7
2019-01-12,85.2
2019-01-13,87.6
2019-01-14,89.6
2019-01-15,88.0
2019-01-16,89.2
2019-01-17,83.5
2019-01-18,82.2
2019-01-19,86.8
2019-01-20,90.0
2019-01-21,87.5
2019-01-22,90.2
2019-01-23,105.7
2019-01-24,105.9
2019-01-25,103.7
2019-01-26,105.8
2019-01-27,98.3
2019-01-28,94.8
2019-01-29,94.7
2019-01-30,71.9
2019-01-31,67.8
2019-02-02,72.6
2019-02-03,73.4
2019-02-04,75.7
2019-02-05,75.4
2019-02-06,70.8
2019-02-07,67.4
2019-02-08,71.2
2019-02-09,74.0
2019-02-10,75.1
2019-02-11,74.3
2019-02-12,74.1
2019-02-13,74.4
2019-02-14,73.7
2019-02-15,75.1
2019-02-16,76.1
2019-02-17,78.4
2019-02-18,78.8
2019-02-19,78.1
2019-02-20,79.0
2019-02-21,94.3
2019-02-22,89.0
2019-02-23,85.0
2019-02-24,88.6
2019-02-25,86.2
2019-02-26,37.2
2019-02-27,88.5
2019-02-28,82.3
2019-03-02,80.8
2019-03-03,80.8
2019-03-04,83.2
2019-03-05,81.9
2019-03-06,80.8
2019-03-07,81.6
2019-03-08,88.7
2019-03-09,87.7
2019-03-10,93.2
2019-03-11,96.3
2019-03-12,96.4
2019-03-13,97.0
2019-03-14,95.7
2019-03-15,67.7
2019-03-16,64.1
2019-03-17,67.5
2019-03-18,68.2
2019-03-19,70.9
2019-03-20,73.0
2019-03-21,74.7
2019-03-22,71.6
2019-03-23,72.8
2019-03-24,71.5
2019-03-25,71.4
2019-03-26,71.9
2019-03-27,71.7
2019-03-28,70.5
2019-03-29,94.2
2019-03-30,96.0
2019-03-31,98.1
2019-04-02,97.2
2019-04-03,97.6
2019-04-04,102.9
2019-04-05,97.8
2019-04-06,82.4
2019-04-07,89.8
2019-04-08,92.1
2019-04-09,92.1
2019-04-10,92.3
2019-04-11,92.3
2019-04-12,90.0
2019-04-13,85.2
2019-04-14,91.1
2019-04-15,90.5
2019-04-16,89.6
2019-04-17,87.3
2019-04-18,89.7
2019-04-19,86.3
2019-04-20,75.8
2019-04-21,72.2
2019-04-22,77.2
2019-04-23,79.2
2019-04-24,81.9
2019-04-25,83.7
2019-04-26,85.1
2019-04-27,78.0
2019-04-28,78.2
2019-04-29,78.6
2019-04-30,74.5
2019-05-02,75.3
2019-05-03,75.8
2019-05-04,77.2
2019-05-05,103.5
2019-05-06,98.6
2019-05-07,86.6
2019-05-08,84.2
2019-05-09,81.3
2019-05-10,80.8
2019-05-11,76.2
2019-05-12,110.2
2019-05-13,111.6
2019-05-14,106.5
2019-05-15,100.1
2019-05-16,96.7
2019-05-17,91.7
2019-05-18,93.7
2019-05-19,99.9
2019-05-20,100.5
2019-05-21,102.6
2019-05-22,103.9
2019-05-23,105.5
2019-05-24,104.0
2019-05-25,104.1
2019-05-26,81.6
2019-05-27,86.4
2019-05-28,80.8
2019-05-29,75.2
2019-05-30,73.4
2019-05-31,77.0
2019-06-02,73.6
2019-06-03,74.1
2019-06-04,76.7
2019-06-05,75.7
2019-06-06,72.8
2019-06-07,73.9
2019-06-08,73.5
2019-06-09,68.5
2019-06-10,80.8
2019-06-11,79.9
2019-06-12,82.7
2019-06-13,80.8
2019-06-14,79.2
2019-06-15,64.5
2019-06-16,69.2
2019-06-17,92.2
2019-06-18,92.3
2019-06-19,88.9
2019-06-20,92.3
2019-06-21,93.5
2019-06-22,92.1
2019-06-23,92.8
2019-06-24,78.7
2019-06-25,79.8
2019-06-26,77.1
2019-06-27,80.8
2019-06-28,82.2
2019-06-29,83.7
2019-06-30,80.0
2019-07-01,94.5
2019-07-02,94.0
