date,load
2019-01-02,18.6
2019-01-03,18.2
2019-01-04,16.7
2019-01-05,17.6
2019-01-06,18.6
2019-01-07,18.3
2019-01-08,18.1
2019-01-09,18.0
2019-01-10,17.8
2019-01-11,16.9
2019-01-12,17.6
2019-01-13,17.6
2019-01-14,18.5
2019-01-15,17.3
2019-01-16,18.9
2019-01-17,18.4
2019-01-18,18.3
2019-01-19,18.1
2019-01-20,17.7
2019-01-21,17.9
2019-01-22,16.3
2019-01-23,18.9
2019-01-24,18.8
2019-01-25,17.4
2019-01-26,18.1
2019-01-27,18.2
2019-01-28,18.3
2019-01-29,18.2
2019-01-30,1.6
2019-01-31,1.7
2019-02-02,1.3
2019-02-03,1.7
2019-02-04,1.7
2019-02-05,1.8
2019-02-06,1.8
2019-02-07,11.4
2019-02-08,14.0
2019-02-09,15.3
2019-02-10,17.0
2019-02-11,17.2
2019-02-12,17.2
2019-02-13,17.2
2019-02-14,17.9
2019-02-15,18.2
2019-02-16,18.1
2019-02-17,18.1
2019-02-18,17.6
2019-02-19,17.9
2019-02-20,17.8
2019-02-21,14.6
2019-02-22,17.4
2019-02-23,16.7
2019-02-24,17.8
2019-02-25,16.5
2019-02-26,17.2
2019-02-27,16.3
2019-02-28,17.2
2019-03-02,18.9
2019-03-03,18.8
2019-03-04,18.7
2019-03-05,18.4
2019-03-06,17.8
2019-03-07,17.8
2019-03-08,18.8
2019-03-09,18.8
2019-03-10,18.8
2019-03-11,19.1
2019-03-12,19.0
2019-03-13,18.4
2019-03-14,17.9
2019-03-15,4.0
2019-03-16,4.7
2019-03-17,5.1
2019-03-18,5.4
2019-03-19,5.7
2019-03-20,5.3
2019-03-21,5.8
2019-03-22,18.3
2019-03-23,18.5
2019-03-24,18.6
2019-03-25,17.7
2019-03-26,18.4
2019-03-27,18.3
2019-03-28,17.7
2019-03-29,18.3
2019-03-30,18.2
2019-03-31,18.4
2019-04-02,18.5
2019-04-03,18.3
2019-04-04,18.3
2019-04-05,17.7
2019-04-06,18.2
2019-04-07,18.4
2019-04-08,18.5
2019-04-09,18.5
2019-04-10,17.7
2019-04-11,17.3
2019-04-12,18.0
2019-04-13,18.6
2019-04-14,18.7
2019-04-15,18.9
2019-04-16,19.1
2019-04-17,18.5
2019-04-18,17.1
2019-04-19,17.4
2019-04-20,18.7
2019-04-21,18.7
2019-04-22,18.9
2019-04-23,19.1
2019-04-24,18.5
2019-04-25,19.4
2019-04-26,17.0
2019-04-27,18.9
2019-04-28,19.0
2019-04-29,19.0
2019-04-30,18.9
2019-05-02,18.7
2019-05-03,18.7
2019-05-04,18.4
2019-05-05,18.4
2019-05-06,18.6
2019-05-07,18.5
2019-05-08,18.5
2019-05-09,18.4
2019-05-10,18.4
2019-05-11,18.1
2019-05-12,18.9
2019-05-13,19.2
2019-05-14,19.1
2019-05-15,19.0
2019-05-16,19.0
2019-05-17,18.7
2019-05-18,18.7
2019-05-19,18.7
2019-05-20,16.2
2019-05-21,18.1
2019-05-22,19.0
2019-05-23,18.4
2019-05-24,18.2
2019-05-25,18.3
2019-05-26,13.5
2019-05-27,15.0
2019-05-28,12.9
2019-05-29,3.2
2019-05-30,2.2
2019-05-31,2.0
2019-06-02,1.7
2019-06-03,18.2
2019-06-04,17.1
2019-06-05,18.3
2019-06-06,18.6
2019-06-07,18.2
2019-06-08,17.2
2019-06-09,12.0
2019-06-10,17.9
2019-06-11,18.1
2019-06-12,18.2
2019-06-13,18.2
2019-06-14,18.1
2019-06-15,14.9
2019-06-16,16.2
2019-06-17,17.7
2019-06-18,18.2
2019-06-19,18.0
2019-06-20,18.1
2019-06-21,17.9
2019-06-22,17.9
2019-06-23,17.7
2019-06-24,18.3
2019-06-25,18.6
2019-06-26,18.8
2019-06-27,18.5
2019-06-28,19.0
2019-06-29,18.7
2019-06-30,14.9
2019-07-01,18.9
2019-07-02,18.9
2019-07-03,18.4
2019-07-04,19.0
2019-07-05,18.9
2019-07-06,18.7
2019-07-07,18.4
2019-07-08,2.7
2019-07-08,2.9
2019-07-09,3.0
2019-07-09,3.2
2019-07-10,3.3
2019-07-10,3.4
2019-07-11,18.1
2019-07-11,3.8
2019-07-12,18.0
2019-07-12,18.3
2019-07-13,18.4
2019-07-14,18.3
2019-07-15,18.3
2019-07-16,18.0
2019-07-17,18.3
2019-07-18,18.4
2019-07-19,18.2
2019-07-20,12.1
2019-07-21,14.0
2019-07-22,17.4
2019-07-23,17.9
2019-07-24,17.5
2019-07-25,18.0
2019-07-26,18.4
2019-07-27,18.5
2019-07-28,18.4
2019-07-29,18.2
2019-07-30,18.1
2019-07-31,17.5
2019-08-01,17.8
2019-08-02,17.9
2019-08-03,18.2
2019-08-04,18.2
2019-08-05,18.3
2019-08-06,18.2
2019-08-08,7.3
2019-08-09,7.4
2019-08-10,7.9
2019-08-11,8.1
2019-08-12,8.2
2019-08-13,8.6
2019-08-14,8.1
2019-08-15,18.3
2019-08-16,18.7
2019-08-17,18.7
2019-08-18,18.5
2019-08-19,18.4
2019-08-20,18.5
2019-08-21,18.4
2019-08-22,18.5
2019-08-23,18.6
2019-08-24,18.8
2019-08-25,18.8
2019-08-26,18.6
2019-08-27,18.7
2019-08-28,18.5
2019-08-29,18.6
2019-08-30,18.1
2019-08-31,18.7
2019-09-01,18.4
2019-09-02,18.1
2019-09-03,18.4
2019-09-04,18.1
2019-09-05,18.7
2019-09-06,18.9
2019-09-08,19.0
2019-09-09,19.1
2019-09-10,18.9
2019-09-11,18.9
2019-09-12,18.7
2019-09-13,18.9
2019-09-14,18.8
2019-09-15,18.9
2019-09-16,18.8
2019-09-17,18.9
2019-09-18,19.1
2019-09-19,18.4
2019-09-20,18.9
2019-09-21,18.7
2019-09-22,18.7
2019-09-23,18.5
2019-09-24,18.4
2019-09-25,18.5
2019-09-26,18.1
2019-09-27,18.2
2019-09-28,18.3
2019-09-29,18.6
2019-09-30,18.3
2019-10-01,18.2
2019-10-02,18.1
2019-10-03,16.6
2019-10-04,17.3
2019-10-05,17.7
2019-10-06,17.9
2019-10-08,17.8
2019-10-09,16.8
2019-10-10,17.2
2019-10-11,18.0
2019-10-12,18.2
2019-10-13,18.1
2019-10-14,18.2
2019-10-15,17.9
2019-10-16,17.8
2019-10-17,17.4
2019-10-18,18.9
2019-10-19,18.1
2019-10-20,17.9
2019-10-21,18.2
2019-10-22,18.0
2019-10-23,18.1
2019-10-24,18.1
2019-10-25,18.5
2019-10-26,18.9
2019-10-27,18.5
2019-10-28,14.9
2019-10-29,16.2
2019-10-30,18.2
2019-10-31,18.4
2019-11-01,2.2
2019-11-02,2.4
2019-11-03,2.4
2019-11-04,2.4
2019-11-05,2.5
2019-11-06,2.6
2019-11-08,2.7
2019-11-09,17.7
2019-11-10,18.1
2019-11-11,18.1
2019-11-12,18.0
2019-11-13,18.0
2019-11-14,18.2
2019-11-15,17.7
2019-11-16,18.1
2019-11-17,18.6
2019-11-18,18.6
2019-11-19,18.7
2019-11-20,18.2
2019-11-21,18.1
2019-11-22,18.2
2019-11-23,18.2
2019-11-24,18.1
2019-11-25,17.5
2019-11-26,18.3
