date,load
2019-01-02,30.0
2019-01-03,30.1
2019-01-04,30.1
2019-01-05,30.2
2019-01-06,31.0
2019-01-07,30.1
2019-01-08,29.2
2019-01-09,25.3
2019-01-10,26.5
2019-01-11,23.9
2019-01-12,26.4
2019-01-13,26.4
2019-01-14,26.9
2019-01-15,25.6
2019-01-16,29.4
2019-01-17,29.8
2019-01-18,27.9
2019-01-19,28.7
2019-01-20,28.1
2019-01-21,28.8
2019-01-22,26.5
2019-01-23,27.3
2019-01-24,27.6
2019-01-25,25.7
2019-01-26,26.2
2019-01-27,27.0
2019-01-28,26.9
2019-01-29,24.7
2019-01-30,12.7
2019-01-31,12.5
2019-02-02,13.0
2019-02-03,12.6
2019-02-04,12.4
2019-02-05,13.3
2019-02-06,12.5
2019-02-07,17.0
2019-02-08,21.5
2019-02-09,25.2
2019-02-10,26.4
2019-02-11,27.1
2019-02-12,26.7
2019-02-13,24.9
2019-02-14,29.6
2019-02-15,30.2
2019-02-16,31.5
2019-02-17,30.9
2019-02-18,30.4
2019-02-19,29.8
2019-02-20,27.4
2019-02-21,28.9
2019-02-22,29.4
2019-02-23,29.2
2019-02-24,30.3
2019-02-25,30.5
2019-02-26,28.8
2019-02-27,27.0
2019-02-28,28.4
2019-03-02,28.6
2019-03-03,29.2
2019-03-04,30.8
2019-03-05,31.8
2019-03-06,30.8
2019-03-07,27.7
2019-03-08,28.7
2019-03-09,29.4
2019-03-10,30.0
2019-03-11,30.7
2019-03-12,29.8
2019-03-13,31.5
2019-03-14,27.7
2019-03-15,13.6
2019-03-16,14.0
2019-03-17,14.7
2019-03-18,15.6
2019-03-19,16.1
2019-03-20,15.9
2019-03-21,16.7
2019-03-22,27.9
2019-03-23,28.4
2019-03-24,28.6
2019-03-25,28.2
2019-03-26,29.2
2019-03-27,29.1
2019-03-28,25.8
2019-03-29,26.9
2019-03-30,26.2
2019-03-31,26.7
2019-04-02,25.5
2019-04-03,25.6
2019-04-04,25.1
2019-04-05,23.1
2019-04-06,28.6
2019-04-07,29.8
2019-04-08,30.8
2019-04-09,30.8
2019-04-10,29.5
2019-04-11,30.4
2019-04-12,26.9
2019-04-13,28.7
2019-04-14,29.1
2019-04-15,30.8
2019-04-16,31.3
2019-04-17,31.7
2019-04-18,31.5
2019-04-19,28.5
2019-04-20,27.5
2019-04-21,28.9
2019-04-22,29.2
2019-04-23,29.1
2019-04-24,28.8
2019-04-25,27.9
2019-04-26,25.0
2019-04-27,30.0
2019-04-28,30.4
2019-04-29,30.0
2019-04-30,30.6
2019-05-02,30.4
2019-05-03,30.0
2019-05-04,27.5
2019-05-05,29.2
2019-05-06,29.8
2019-05-07,30.7
2019-05-08,29.4
2019-05-09,28.7
2019-05-10,27.3
2019-05-11,24.5
2019-05-12,30.7
2019-05-13,30.4
2019-05-14,32.0
2019-05-15,29.5
2019-05-16,29.5
2019-05-17,28.9
2019-05-18,26.3
2019-05-19,25.4
2019-05-20,26.0
2019-05-21,24.8
2019-05-22,25.4
2019-05-23,27.5
2019-05-24,28.1
2019-05-25,25.7
2019-05-26,13.0
2019-05-27,20.5
2019-05-28,15.6
2019-05-29,12.8
2019-05-30,12.0
2019-05-31,12.9
2019-06-02,12.6
2019-06-03,26.6
2019-06-04,27.2
2019-06-05,27.8
2019-06-06,27.4
2019-06-07,27.6
2019-06-08,25.2
2019-06-09,17.0
2019-06-10,29.0
2019-06-11,27.7
2019-06-12,29.3
2019-06-13,29.8
2019-06-14,29.9
2019-06-15,25.5
2019-06-16,26.9
2019-06-17,27.9
2019-06-18,29.2
2019-06-19,13.1
2019-06-20,29.4
2019-06-21,28.8
2019-06-22,29.1
2019-06-23,26.6
2019-06-24,32.2
2019-06-25,32.8
2019-06-26,31.3
2019-06-27,31.6
