date,load
2019-01-02,130.3
2019-01-03,133.5
2019-01-04,128.2
2019-01-05,127.5
2019-01-06,132.6
2019-01-07,132.1
2019-01-08,121.4
2019-01-09,148.2
2019-01-10,157.0
2019-01-11,145.3
2019-01-12,151.9
2019-01-13,141.4
2019-01-14,143.8
2019-01-15,142.9
2019-01-16,180.5
2019-01-17,196.4
2019-01-18,193.9
2019-01-19,201.8
2019-01-20,192.3
2019-01-21,182.9
2019-01-22,178.2
2019-01-23,150.5
2019-01-24,154.7
2019-01-25,155.2
2019-01-26,143.2
2019-01-27,138.9
2019-01-28,148.6
2019-01-29,141.8
2019-01-30,66.5
2019-01-31,68.1
2019-02-02,66.7
2019-02-03,66.8
2019-02-04,71.3
2019-02-05,70.3
2019-02-06,71.2
2019-02-07,96.2
2019-02-08,105.6
2019-02-09,116.2
2019-02-10,119.5
2019-02-11,122.5
2019-02-12,117.4
2019-02-13,104.3
2019-02-14,118.9
2019-02-15,125.6
2019-02-16,129.1
2019-02-17,126.4
2019-02-18,125.1
2019-02-19,127.3
2019-02-20,118.2
2019-02-21,165.3
2019-02-22,173.6
2019-02-23,179.3
2019-02-24,185.9
2019-02-25,189.1
2019-02-26,188.4
2019-02-27,182.0
2019-02-28,123.5
2019-03-02,116.3
2019-03-03,123.1
2019-03-04,124.0
2019-03-05,125.6
2019-03-06,124.7
2019-03-07,116.3
2019-03-08,186.0
2019-03-09,204.4
2019-03-10,217.0
2019-03-11,214.8
2019-03-12,214.0
2019-03-13,218.3
2019-03-14,194.6
2019-03-15,87.9
2019-03-16,86.6
2019-03-17,93.4
2019-03-18,102.4
2019-03-19,108.4
2019-03-20,114.4
2019-03-21,112.5
2019-03-22,114.5
2019-03-23,114.2
2019-03-24,108.2
2019-03-25,100.3
2019-03-26,109.9
2019-03-27,108.5
2019-03-28,97.7
2019-03-29,117.7
2019-03-30,123.4
2019-03-31,124.6
2019-04-02,126.3
2019-04-03,129.4
2019-04-04,127.6
2019-04-05,113.9
2019-04-06,117.4
2019-04-07,117.4
2019-04-08,117.2
2019-04-09,117.2
2019-04-10,123.7
2019-04-11,111.9
2019-04-12,95.0
2019-04-13,197.7
2019-04-14,209.8
2019-04-15,219.4
2019-04-16,219.1
2019-04-17,219.7
2019-04-18,224.5
2019-04-19,211.8
2019-04-20,120.5
2019-04-21,124.7
2019-04-22,124.8
2019-04-23,123.0
2019-04-24,123.0
2019-04-25,108.0
2019-04-26,94.5
2019-04-27,125.5
2019-04-28,131.1
2019-04-29,132.1
2019-04-30,134.5
2019-05-02,133.6
2019-05-03,133.0
2019-05-04,124.6
2019-05-05,179.6
2019-05-06,186.1
2019-05-07,185.6
2019-05-08,184.2
2019-05-09,179.5
2019-05-10,169.3
2019-05-11,143.0
2019-05-12,194.3
2019-05-13,211.3
2019-05-14,208.1
2019-05-15,183.2
2019-05-16,177.2
