date,load
2019-01-02,52.5
2019-01-03,54.1
2019-01-04,53.2
2019-01-05,51.5
2019-01-06,53.2
2019-01-07,53.3
2019-01-08,51.2
2019-01-09,37.9
2019-01-10,31.7
2019-01-11,37.3
2019-01-12,34.6
2019-01-13,32.7
2019-01-14,37.6
2019-01-15,39.5
2019-01-16,41.8
2019-01-17,42.3
2019-01-18,36.7
2019-01-19,38.5
2019-01-20,40.4
2019-01-21,41.7
2019-01-22,42.5
2019-01-23,44.3
2019-01-24,43.9
2019-01-25,43.7
2019-01-26,43.1
2019-01-27,45.3
2019-01-28,46.2
2019-01-29,43.9
2019-01-30,45.3
2019-01-31,41.9
2019-02-02,40.2
2019-02-03,43.5
2019-02-04,43.4
2019-02-05,43.2
2019-02-06,41.5
2019-02-07,41.3
2019-02-08,42.9
2019-02-09,43.3
2019-02-10,42.8
2019-02-11,44.2
2019-02-12,43.9
2019-02-13,42.2
2019-02-14,48.5
2019-02-15,48.9
2019-02-16,49.4
2019-02-17,47.3
2019-02-18,42.9
2019-02-19,49.4
2019-02-20,48.9
2019-02-21,46.7
2019-02-22,47.8
2019-02-23,47.2
2019-02-24,47.0
2019-02-25,47.4
2019-02-26,42.3
2019-02-27,46.8
2019-02-28,51.2
2019-03-02,52.2
2019-03-03,48.4
2019-03-04,49.9
2019-03-05,51.3
2019-03-06,51.1
2019-03-07,49.5
2019-03-08,35.2
2019-03-09,40.8
2019-03-10,41.6
2019-03-11,42.1
2019-03-12,39.7
2019-03-13,41.7
2019-03-14,37.9
2019-03-15,41.8
2019-03-16,40.8
2019-03-17,41.5
2019-03-18,41.8
2019-03-19,41.2
2019-03-20,41.4
2019-03-21,38.3
2019-03-22,44.5
2019-03-23,44.2
2019-03-24,40.1
2019-03-25,37.9
2019-03-26,44.3
2019-03-27,44.1
2019-03-28,43.8
2019-03-29,45.8
2019-03-30,45.1
2019-03-31,46.1
2019-04-02,44.4
2019-04-03,36.0
2019-04-04,41.9
2019-04-05,41.6
2019-04-06,46.7
2019-04-07,47.3
2019-04-08,48.2
2019-04-09,48.2
2019-04-10,50.5
2019-04-11,48.8
2019-04-12,46.0
2019-04-13,48.5
2019-04-14,44.8
2019-04-15,45.8
2019-04-16,46.0
2019-04-17,48.8
2019-04-18,44.6
2019-04-19,42.3
2019-04-20,48.4
2019-04-21,46.6
2019-04-22,48.3
2019-04-23,48.8
2019-04-24,49.0
2019-04-25,42.7
2019-04-26,46.3
2019-04-27,50.8
2019-04-28,51.4
2019-04-29,52.5
2019-04-30,52.4
2019-05-02,52.5
2019-05-03,53.4
2019-05-04,52.7
2019-05-05,41.0
2019-05-06,39.8
2019-05-07,39.8
2019-05-08,41.3
2019-05-09,39.5
2019-05-10,30.1
2019-05-11,34.5
2019-05-12,42.4
2019-05-13,42.8
2019-05-14,42.9
2019-05-15,37.0
2019-05-16,42.5
2019-05-17,40.5
2019-05-18,37.3
2019-05-19,44.2
2019-05-20,43.0
2019-05-21,33.7
2019-05-22,41.7
2019-05-23,42.6
2019-05-24,46.3
2019-05-25,44.2
2019-05-26,45.6
2019-05-27,44.7
2019-05-28,42.8
2019-05-29,44.6
2019-05-30,43.2
2019-05-31,42.9
2019-06-02,40.9
2019-06-03,41.8
2019-06-04,42.6
2019-06-05,42.3
2019-06-06,43.5
2019-06-07,43.2
2019-06-08,42.6
2019-06-09,43.1
2019-06-10,43.1
2019-06-11,41.1
2019-06-12,45.3
2019-06-13,45.4
2019-06-14,53.0
2019-06-15,51.6
2019-06-16,48.9
2019-06-17,41.8
2019-06-18,48.3
2019-06-19,48.1
2019-06-20,48.7
2019-06-21,43.5
2019-06-22,44.6
2019-06-23,46.4
2019-06-24,51.0
2019-06-25,51.3
2019-06-26,49.8
2019-06-27,50.6
2019-06-28,50.3
2019-06-29,50.9
2019-06-30,49.9
2019-07-01,34.8
2019-07-02,41.0
2019-07-03,41.2
2019-07-04,41.8
2019-07-05,41.6
2019-07-06,42.5
2019-07-07,39.5
2019-07-08,46.6
2019-07-08,45.5
2019-07-09,40.4
2019-07-09,45.9
2019-07-10,43.9
2019-07-10,44.6
2019-07-11,42.5
2019-07-11,42.4
2019-07-12,43.5
