date,load
2019-01-02,206.3
2019-01-03,212.2
2019-01-04,205.3
2019-01-05,212.4
2019-01-06,217.5
2019-01-07,217.4
2019-01-08,201.0
2019-01-09,173.6
2019-01-10,176.0
2019-01-11,157.0
2019-01-12,163.5
2019-01-13,162.4
2019-01-14,156.7
2019-01-15,138.7
2019-01-16,175.2
2019-01-17,167.1
2019-01-18,182.5
2019-01-19,185.0
2019-01-20,184.7
2019-01-21,179.9
2019-01-22,157.5
2019-01-23,230.1
2019-01-24,214.8
2019-01-25,180.6
2019-01-26,209.6
2019-01-27,223.4
2019-01-28,224.5
2019-01-29,215.5
2019-01-30,215.7
2019-01-31,218.2
2019-02-02,221.6
2019-02-03,220.7
2019-02-04,226.7
2019-02-05,226.2
2019-02-06,228.8
2019-02-07,128.2
2019-02-08,133.8
2019-02-09,136.9
2019-02-10,146.8
2019-02-11,121.0
2019-02-12,142.8
2019-02-13,141.7
2019-02-14,205.3
2019-02-15,204.5
2019-02-16,211.1
2019-02-17,213.0
2019-02-18,217.6
2019-02-19,212.9
2019-02-20,200.4
2019-02-21,194.9
2019-02-22,214.1
2019-02-23,206.3
2019-02-24,213.1
2019-02-25,212.7
2019-02-26,198.9
2019-02-27,184.8
2019-02-28,228.3
2019-03-02,233.3
2019-03-03,235.8
2019-03-04,239.4
2019-03-05,240.7
2019-03-06,233.8
2019-03-07,217.7
2019-03-08,172.7
2019-03-09,182.3
2019-03-10,186.2
2019-03-11,191.8
2019-03-12,192.7
2019-03-13,184.8
2019-03-14,172.1
2019-03-15,196.3
2019-03-16,201.7
2019-03-17,206.8
2019-03-18,184.0
2019-03-19,189.7
2019-03-20,189.7
2019-03-21,187.9
2019-03-22,196.3
2019-03-23,182.1
2019-03-24,185.8
2019-03-25,190.8
2019-03-26,195.3
2019-03-27,190.9
2019-03-28,162.3
2019-03-29,252.5
2019-03-30,273.3
2019-03-31,256.3
2019-04-02,254.3
2019-04-03,255.8
2019-04-04,253.5
2019-04-05,232.7
2019-04-06,235.1
2019-04-07,234.5
2019-04-08,237.7
2019-04-09,246.3
2019-04-10,251.6
2019-04-11,247.3
2019-04-12,222.6
2019-04-13,191.5
2019-04-14,199.2
2019-04-15,198.1
2019-04-16,198.2
2019-04-17,195.2
2019-04-18,191.8
2019-04-19,170.3
2019-04-20,242.7
2019-04-21,250.1
2019-04-22,249.6
2019-04-23,252.0
2019-04-24,253.3
2019-04-25,248.0
2019-04-26,224.3
2019-04-27,203.7
2019-04-28,209.0
2019-04-29,204.1
2019-04-30,207.2
2019-05-02,211.6
2019-05-03,208.1
2019-05-04,193.3
2019-05-05,177.3
2019-05-06,158.3
2019-05-07,159.2
2019-05-08,154.8
2019-05-09,164.7
2019-05-10,163.0
2019-05-11,156.0
2019-05-12,171.9
2019-05-13,164.5
2019-05-14,172.9
2019-05-15,163.7
2019-05-16,174.8
2019-05-17,165.4
2019-05-18,160.8
2019-05-19,235.4
2019-05-20,230.6
2019-05-21,233.1
2019-05-22,241.9
2019-05-23,236.5
2019-05-24,236.5
2019-05-25,219.1
2019-05-26,226.4
2019-05-27,238.3
2019-05-28,231.2
2019-05-29,214.9
2019-05-30,213.6
2019-05-31,217.4
2019-06-02,214.6
2019-06-03,146.0
2019-06-04,146.2
2019-06-05,147.4
2019-06-06,147.2
2019-06-07,141.8
2019-06-08,140.1
2019-06-09,132.6
2019-06-10,211.9
2019-06-11,216.2
2019-06-12,216.0
2019-06-13,218.7
2019-06-14,219.4
2019-06-15,202.8
2019-06-16,197.3
2019-06-17,225.8
2019-06-18,221.7
2019-06-19,219.4
2019-06-20,218.9
2019-06-21,205.3
2019-06-22,194.1
2019-06-23,176.0
2019-06-24,233.6
2019-06-25,233.8
2019-06-26,234.8
2019-06-27,233.2
2019-06-28,233.6
2019-06-29,228.6
2019-06-30,214.7
2019-07-01,158.5
2019-07-02,160.1
2019-07-03,169.0
2019-07-04,168.4
2019-07-05,168.0
2019-07-06,160.0
2019-07-07,155.9
2019-07-08,196.4
2019-07-08,207.4
2019-07-09,207.2
2019-07-09,207.9
2019-07-10,205.5
2019-07-10,193.5
2019-07-11,180.4
2019-07-11,198.2
2019-07-12,183.5
2019-07-12,186.2
2019-07-13,186.2
2019-07-14,186.4
2019-07-15,188.0
2019-07-16,176.5
2019-07-17,247.7
2019-07-18,252.8
2019-07-19,250.4
2019-07-20,247.6
2019-07-21,248.4
2019-07-22,249.4
2019-07-23,240.6
2019-07-24,220.3
2019-07-25,233.1
2019-07-26,234.9
2019-07-27,231.5
2019-07-28,229.0
2019-07-29,228.6
2019-07-30,215.4
2019-07-31,218.2
2019-08-01,217.5
2019-08-02,218.4
2019-08-03,218.4
2019-08-04,203.3
2019-08-05,203.3
2019-08-06,182.3
2019-08-08,192.5
2019-08-09,169.2
2019-08-10,174.0
2019-08-11,188.0
2019-08-12,196.5
2019-08-13,201.3
2019-08-14,201.2
2019-08-15,240.0
2019-08-16,244.1
2019-08-17,247.8
2019-08-18,246.6
2019-08-19,243.4
2019-08-20,236.8
2019-08-21,230.0
2019-08-22,195.5
2019-08-23,198.9
2019-08-24,196.4
