date,load
2019-01-02,253.0
2019-01-03,253.6
2019-01-04,239.3
2019-01-05,228.2
2019-01-06,227.4
2019-01-07,230.3
2019-01-08,228.8
2019-01-09,162.5
2019-01-10,159.6
2019-01-11,154.3
2019-01-12,161.1
2019-01-13,168.6
2019-01-14,170.7
2019-01-15,170.2
2019-01-16,185.1
2019-01-17,183.7
2019-01-18,183.4
2019-01-19,183.7
2019-01-20,189.3
2019-01-21,187.9
2019-01-22,188.2
2019-01-23,219.7
2019-01-24,219.7
2019-01-25,218.4
2019-01-26,219.8
2019-01-27,212.8
2019-01-28,210.0
2019-01-29,208.6
2019-01-30,150.4
2019-01-31,155.6
2019-02-02,158.9
2019-02-03,162.7
2019-02-04,165.5
2019-02-05,165.4
2019-02-06,165.8
2019-02-07,154.6
2019-02-08,156.5
2019-02-09,166.0
2019-02-10,175.0
2019-02-11,180.7
2019-02-12,184.0
2019-02-13,181.7
2019-02-14,228.3
2019-02-15,233.3
2019-02-16,235.5
2019-02-17,237.0
2019-02-18,237.1
2019-02-19,238.5
2019-02-20,235.3
2019-02-21,224.0
2019-02-22,227.4
2019-02-23,226.3
2019-02-24,226.4
2019-02-25,226.6
2019-02-26,223.9
2019-02-27,215.2
2019-02-28,255.7
2019-03-02,258.5
2019-03-03,259.6
2019-03-04,258.0
2019-03-05,262.8
2019-03-06,264.8
2019-03-07,265.1
2019-03-08,166.9
2019-03-09,169.2
2019-03-10,175.4
2019-03-11,182.6
2019-03-12,185.6
2019-03-13,186.8
2019-03-14,184.0
2019-03-15,175.7
2019-03-16,168.3
2019-03-17,182.2
2019-03-18,186.1
2019-03-19,189.2
2019-03-20,186.9
2019-03-21,193.3
2019-03-22,248.2
2019-03-23,250.9
2019-03-24,253.4
2019-03-25,252.8
2019-03-26,250.3
2019-03-27,250.7
2019-03-28,246.0
2019-03-29,199.3
2019-03-30,200.8
2019-03-31,203.1
2019-04-02,204.8
2019-04-03,205.8
2019-04-04,208.4
2019-04-05,202.5
2019-04-06,226.5
2019-04-07,223.9
2019-04-08,212.0
2019-04-09,212.0
2019-04-10,222.6
2019-04-11,223.5
2019-04-12,203.8
2019-04-13,190.4
2019-04-14,195.1
2019-04-15,192.8
2019-04-16,191.7
2019-04-17,188.4
2019-04-18,187.4
2019-04-19,171.4
2019-04-20,252.2
2019-04-21,249.8
2019-04-22,250.4
2019-04-23,250.6
2019-04-24,252.9
2019-04-25,248.3
2019-04-26,222.4
2019-04-27,246.6
2019-04-28,239.7
2019-04-29,237.4
2019-04-30,242.8
2019-05-02,245.1
2019-05-03,246.2
2019-05-04,246.9
2019-05-05,164.0
2019-05-06,163.5
2019-05-07,166.5
2019-05-08,162.9
2019-05-09,162.4
2019-05-10,152.4
2019-05-11,154.1
2019-05-12,219.0
2019-05-13,229.2
2019-05-14,220.4
2019-05-15,197.9
2019-05-16,185.2
2019-05-17,183.2
2019-05-18,175.8
2019-05-19,206.1
2019-05-20,212.0
2019-05-21,216.4
2019-05-22,219.3
2019-05-23,221.0
2019-05-24,221.0
2019-05-25,217.3
2019-05-26,182.1
2019-05-27,183.4
2019-05-28,178.9
2019-05-29,160.0
2019-05-30,150.3
2019-05-31,131.8
2019-06-02,142.8
2019-06-03,171.0
2019-06-04,169.7
2019-06-05,164.3
2019-06-06,164.9
2019-06-07,171.3
2019-06-08,170.3
2019-06-09,162.8
2019-06-10,243.7
2019-06-11,238.3
2019-06-12,241.9
2019-06-13,235.6
2019-06-14,218.1
2019-06-15,214.8
2019-06-16,222.0
2019-06-17,219.1
2019-06-18,222.8
2019-06-19,225.1
2019-06-20,227.8
2019-06-21,223.8
2019-06-22,223.5
2019-06-23,219.1
2019-06-24,235.9
2019-06-25,243.1
2019-06-26,242.1
2019-06-27,242.8
2019-06-28,250.7
2019-06-29,255.7
2019-06-30,254.5
2019-07-01,172.3
2019-07-02,172.8
2019-07-03,174.0
2019-07-04,173.9
2019-07-05,181.0
2019-07-06,174.5
2019-07-07,165.6
2019-07-08,179.6
2019-07-08,182.2
2019-07-09,185.8
2019-07-09,189.3
2019-07-10,186.2
2019-07-10,187.9
2019-07-11,232.0
2019-07-11,183.3
2019-07-12,235.2
2019-07-12,238.4
2019-07-13,240.6
2019-07-14,244.0
2019-07-15,245.0
2019-07-16,246.0
2019-07-17,203.6
2019-07-18,207.8
2019-07-19,205.1
2019-07-20,186.3
2019-07-21,193.0
2019-07-22,198.8
2019-07-23,200.9
2019-07-24,218.2
2019-07-25,223.4
2019-07-26,227.2
2019-07-27,222.8
2019-07-28,231.0
2019-07-29,232.4
2019-07-30,229.2
2019-07-31,195.0
2019-08-01,202.7
2019-08-02,187.8
2019-08-03,196.1
2019-08-04,203.1
2019-08-05,198.1
2019-08-06,189.1
2019-08-08,204.5
2019-08-09,205.3
2019-08-10,208.3
2019-08-11,203.8
2019-08-12,207.2
2019-08-13,209.3
2019-08-14,216.6
2019-08-15,270.2
2019-08-16,272.0
2019-08-17,272.3
2019-08-18,271.7
2019-08-19,264.2
2019-08-20,255.9
2019-08-21,252.0
2019-08-22,221.8
2019-08-23,223.8
2019-08-24,224.1
2019-08-25,230.9
2019-08-26,236.3
2019-08-27,239.5
2019-08-28,240.9
2019-08-29,172.7
2019-08-30,167.7
2019-08-31,169.8
2019-09-01,174.1
2019-09-02,173.2
2019-09-03,172.9
2019-09-04,162.8
2019-09-05,202.7
2019-09-06,205.4
2019-09-08,203.4
2019-09-09,200.5
2019-09-10,195.1
2019-09-11,191.5
2019-09-12,202.0
2019-09-13,209.7
2019-09-14,216.6
2019-09-15,218.7
2019-09-16,218.6
2019-09-17,213.6
2019-09-18,209.9
2019-09-19,202.9
2019-09-20,176.6
2019-09-21,154.0
2019-09-22,181.0
2019-09-23,192.0
