date,load
2019-01-02,70.2
2019-01-03,67.9
2019-01-04,66.3
2019-01-05,65.8
2019-01-06,62.9
2019-01-07,64.0
2019-01-08,63.6
2019-01-09,86.6
2019-01-10,78.8
2019-01-11,78.4
2019-01-12,82.4
2019-01-13,84.3
2019-01-14,85.7
2019-01-15,82.1
2019-01-16,82.6
2019-01-17,85.9
2019-01-18,89.1
2019-01-19,98.1
2019-01-20,96.5
2019-01-21,97.6
2019-01-22,97.2
2019-01-23,97.1
2019-01-24,98.0
2019-01-25,97.1
2019-01-26,87.7
2019-01-27,51.1
2019-01-28,55.8
2019-01-29,62.0
2019-01-30,80.1
2019-01-31,76.1
2019-02-02,77.3
2019-02-03,73.2
2019-02-04,72.8
2019-02-05,70.7
2019-02-06,70.3
2019-02-07,76.6
2019-02-08,77.4
2019-02-09,80.1
2019-02-10,78.3
2019-02-11,83.3
2019-02-12,84.1
2019-02-13,84.0
2019-02-14,82.3
2019-02-15,80.3
2019-02-16,76.4
2019-02-17,75.6
2019-02-18,73.5
2019-02-19,74.4
2019-02-20,73.3
2019-02-21,96.5
2019-02-22,89.5
2019-02-23,86.6
2019-02-24,91.6
2019-02-25,96.6
2019-02-26,96.8
2019-02-27,85.8
2019-02-28,70.1
2019-03-02,71.0
2019-03-03,71.5
2019-03-04,71.2
2019-03-05,70.1
2019-03-06,70.1
2019-03-07,75.1
2019-03-08,87.6
2019-03-09,88.5
2019-03-10,84.8
2019-03-11,89.2
2019-03-12,94.8
2019-03-13,95.7
2019-03-14,96.9
2019-03-15,59.5
2019-03-16,63.0
2019-03-17,66.1
2019-03-18,65.5
2019-03-19,67.5
2019-03-20,67.4
2019-03-21,70.2
2019-03-22,72.1
2019-03-23,74.4
2019-03-24,73.8
2019-03-25,74.5
2019-03-26,74.9
2019-03-27,77.5
2019-03-28,83.8
2019-03-29,87.1
2019-03-30,98.4
2019-03-31,98.7
2019-04-02,90.5
2019-04-03,90.8
2019-04-04,91.3
2019-04-05,83.1
2019-04-06,76.4
2019-04-07,75.0
2019-04-08,77.4
2019-04-09,75.9
2019-04-10,75.3
2019-04-11,86.2
2019-04-12,86.8
2019-04-13,91.1
2019-04-14,92.9
2019-04-15,97.7
2019-04-16,96.4
2019-04-17,88.4
2019-04-18,90.4
2019-04-19,88.4
2019-04-20,70.3
2019-04-21,71.7
2019-04-22,70.0
2019-04-23,67.5
2019-04-24,69.5
2019-04-25,69.2
2019-04-26,67.4
2019-04-27,65.7
2019-04-28,66.9
2019-04-29,65.6
2019-04-30,65.3
2019-05-02,66.2
2019-05-03,70.3
2019-05-04,71.6
2019-05-05,89.7
2019-05-06,95.0
2019-05-07,89.4
2019-05-08,87.6
2019-05-09,84.1
2019-05-10,83.2
2019-05-11,78.9
2019-05-12,98.7
2019-05-13,102.5
2019-05-14,97.4
2019-05-15,86.9
2019-05-16,86.2
2019-05-17,87.9
2019-05-18,89.0
2019-05-19,79.9
2019-05-20,90.8
2019-05-21,92.0
2019-05-22,95.4
2019-05-23,96.5
2019-05-24,96.5
2019-05-25,94.6
2019-05-26,66.5
2019-05-27,69.1
2019-05-28,74.7
2019-05-29,79.1
2019-05-30,82.7
2019-05-31,80.7
2019-06-02,82.8
2019-06-03,83.8
2019-06-04,85.8
2019-06-05,79.8
2019-06-06,70.8
2019-06-07,70.5
2019-06-08,73.9
2019-06-09,76.1
2019-06-10,67.6
2019-06-11,81.9
2019-06-12,81.8
2019-06-13,73.5
2019-06-14,75.4
2019-06-15,84.1
2019-06-16,82.2
2019-06-17,93.9
2019-06-18,85.0
2019-06-19,81.5
2019-06-20,94.3
2019-06-21,92.0
2019-06-22,91.0
2019-06-23,90.7
2019-06-24,69.0
2019-06-25,68.4
2019-06-26,70.3
2019-06-27,71.0
2019-06-28,69.5
2019-06-29,70.4
2019-06-30,70.1
2019-07-01,89.8
2019-07-02,96.4
2019-07-03,107.0
2019-07-04,99.8
2019-07-05,95.2
2019-07-06,94.0
2019-07-07,87.8
2019-07-08,69.7
2019-07-08,78.2
2019-07-09,64.7
2019-07-09,63.6
2019-07-10,67.3
2019-07-10,56.5
2019-07-11,66.7
2019-07-11,55.0
2019-07-12,73.6
2019-07-12,74.9
2019-07-13,74.8
2019-07-14,74.1
2019-07-15,73.8
2019-07-16,72.1
2019-07-17,75.7
2019-07-18,85.3
2019-07-19,85.1
2019-07-20,81.6
2019-07-21,80.0
2019-07-22,83.3
2019-07-23,84.9
2019-07-24,74.6
2019-07-25,76.8
2019-07-26,77.0
2019-07-27,78.0
2019-07-28,80.6
2019-07-29,83.1
2019-07-30,82.0
2019-07-31,87.4
2019-08-01,82.8
2019-08-02,92.9
2019-08-03,102.3
2019-08-04,82.2
2019-08-05,79.8
2019-08-06,84.3
2019-08-08,81.3
2019-08-09,83.4
2019-08-10,74.2
2019-08-11,57.4
2019-08-12,70.0
2019-08-13,77.2
2019-08-14,84.5
2019-08-15,71.6
2019-08-16,71.1
2019-08-17,73.3
2019-08-18,74.6
2019-08-19,71.5
2019-08-20,71.6
2019-08-21,70.6
2019-08-22,68.4
2019-08-23,68.9
2019-08-24,69.3
2019-08-25,66.7
2019-08-26,67.0
2019-08-27,65.8
2019-08-28,66.4
2019-08-29,105.3
2019-08-30,103.0
2019-08-31,105.7
2019-09-01,109.6
2019-09-02,105.0
2019-09-03,93.3
2019-09-04,86.8
2019-09-05,79.4
2019-09-06,79.6
2019-09-08,80.3
2019-09-09,69.3
2019-09-10,64.8
2019-09-11,71.6
2019-09-12,107.6
2019-09-13,103.0
2019-09-14,91.6
2019-09-15,101.1
