date,load
2019-01-02,234.1
2019-01-03,240.2
2019-01-04,239.8
2019-01-05,239.1
2019-01-06,240.4
2019-01-07,241.9
2019-01-08,237.2
2019-01-09,197.0
2019-01-10,199.9
2019-01-11,187.7
2019-01-12,189.9
2019-01-13,186.9
2019-01-14,195.2
2019-01-15,185.4
2019-01-16,175.3
2019-01-17,197.2
2019-01-18,209.8
2019-01-19,197.6
2019-01-20,197.6
2019-01-21,189.7
2019-01-22,191.9
2019-01-23,227.2
2019-01-24,231.6
2019-01-25,232.4
2019-01-26,229.6
2019-01-27,226.9
2019-01-28,222.4
2019-01-29,223.8
2019-01-30,131.8
2019-01-31,141.4
2019-02-02,141.3
2019-02-03,145.1
2019-02-04,147.7
2019-02-05,149.0
2019-02-06,148.9
2019-02-07,175.3
2019-02-08,188.1
2019-02-09,201.3
2019-02-10,209.7
2019-02-11,210.8
2019-02-12,205.0
2019-02-13,202.4
2019-02-14,232.8
2019-02-15,236.7
2019-02-16,237.0
2019-02-17,235.2
2019-02-18,236.6
2019-02-19,234.3
2019-02-20,232.0
2019-02-21,248.1
2019-02-22,257.9
2019-02-23,256.2
2019-02-24,250.0
2019-02-25,255.7
2019-02-26,261.6
2019-02-27,260.2
2019-02-28,238.4
2019-03-02,240.6
2019-03-03,240.9
2019-03-04,240.9
2019-03-05,243.6
2019-03-06,243.7
2019-03-07,242.5
2019-03-08,229.7
2019-03-09,232.4
2019-03-10,221.0
2019-03-11,217.3
2019-03-12,212.7
2019-03-13,214.6
2019-03-14,203.9
2019-03-15,164.0
2019-03-16,165.4
2019-03-17,180.1
2019-03-18,188.8
2019-03-19,190.9
2019-03-20,198.4
2019-03-21,206.6
2019-03-22,216.7
2019-03-23,214.5
2019-03-24,218.6
2019-03-25,213.0
2019-03-26,212.3
2019-03-27,213.3
2019-03-28,210.3
2019-03-29,209.5
2019-03-30,216.3
2019-03-31,215.4
2019-04-02,214.8
2019-04-03,222.9
2019-04-04,220.4
2019-04-05,217.5
2019-04-06,232.4
2019-04-07,228.8
2019-04-08,222.5
2019-04-09,222.5
2019-04-10,231.3
2019-04-11,223.6
2019-04-12,212.0
2019-04-13,240.6
2019-04-14,242.9
2019-04-15,248.5
2019-04-16,249.5
2019-04-17,254.7
2019-04-18,255.7
2019-04-19,246.4
2019-04-20,242.6
2019-04-21,244.8
2019-04-22,245.1
2019-04-23,245.7
2019-04-24,246.2
2019-04-25,236.0
2019-04-26,230.1
2019-04-27,232.5
2019-04-28,232.8
2019-04-29,235.6
2019-04-30,232.7
2019-05-02,235.0
2019-05-03,234.6
2019-05-04,231.0
2019-05-05,225.8
2019-05-06,228.5
2019-05-07,225.0
2019-05-08,226.6
2019-05-09,222.0
2019-05-10,210.8
2019-05-11,197.9
2019-05-12,242.2
2019-05-13,251.4
