date,load
2019-01-02,204.2
2019-01-03,204.5
2019-01-04,201.2
2019-01-05,201.7
2019-01-06,194.9
2019-01-07,191.9
2019-01-08,190.8
2019-01-09,167.5
2019-01-10,173.4
2019-01-11,166.7
2019-01-12,173.2
2019-01-13,176.9
2019-01-14,177.0
2019-01-15,174.3
2019-01-16,161.3
2019-01-17,156.5
2019-01-18,169.4
2019-01-19,171.8
2019-01-20,152.0
2019-01-21,144.5
2019-01-22,150.3
2019-01-23,175.0
2019-01-24,177.3
2019-01-25,160.9
2019-01-26,165.2
2019-01-27,168.4
2019-01-28,168.8
2019-01-29,163.0
2019-01-30,206.5
2019-01-31,203.2
2019-02-02,204.8
2019-02-03,200.5
2019-02-04,202.4
2019-02-05,194.0
2019-02-06,189.8
2019-02-07,144.5
2019-02-08,145.3
2019-02-09,145.8
2019-02-10,148.6
2019-02-11,150.8
2019-02-12,150.5
2019-02-13,147.6
2019-02-14,141.7
2019-02-15,157.0
2019-02-16,162.6
2019-02-17,166.8
2019-02-18,167.8
2019-02-19,169.7
2019-02-20,172.1
2019-02-21,176.0
2019-02-22,181.8
2019-02-23,186.6
2019-02-24,177.5
2019-02-25,181.2
2019-02-26,170.9
2019-02-27,167.0
2019-02-28,215.0
2019-03-02,218.5
2019-03-03,219.7
2019-03-04,219.4
2019-03-05,224.4
2019-03-06,210.8
2019-03-07,204.6
2019-03-08,218.1
2019-03-09,225.4
2019-03-10,235.2
2019-03-11,241.7
2019-03-12,239.4
2019-03-13,205.2
2019-03-14,170.6
2019-03-15,140.0
2019-03-16,137.0
2019-03-17,131.8
2019-03-18,130.5
2019-03-19,140.2
2019-03-20,133.8
2019-03-21,137.0
2019-03-22,178.7
2019-03-23,180.8
2019-03-24,170.8
2019-03-25,169.0
2019-03-26,168.6
2019-03-27,167.3
2019-03-28,159.2
2019-03-29,223.9
2019-03-30,229.2
2019-03-31,226.8
2019-04-02,225.6
2019-04-03,227.8
2019-04-04,229.1
2019-04-05,219.1
2019-04-06,217.3
2019-04-07,218.5
2019-04-08,219.5
2019-04-09,215.5
2019-04-10,218.9
2019-04-11,214.6
2019-04-12,218.4
2019-04-13,151.8
2019-04-14,156.6
2019-04-15,162.2
2019-04-16,165.6
2019-04-17,163.5
2019-04-18,147.0
2019-04-19,136.3
2019-04-20,255.1
2019-04-21,255.2
2019-04-22,253.3
2019-04-23,249.7
2019-04-24,254.0
2019-04-25,255.9
2019-04-26,247.7
2019-04-27,218.6
2019-04-28,223.4
