date,load
2019-01-02,3.4
2019-01-03,3.6
2019-01-04,3.5
2019-01-05,3.5
2019-01-06,3.3
2019-01-07,3.3
2019-01-08,3.3
2019-01-09,4.2
2019-01-10,4.3
2019-01-11,4.3
2019-01-12,4.6
2019-01-13,4.8
2019-01-14,5.0
2019-01-15,4.8
2019-01-16,5.8
2019-01-17,4.2
2019-01-18,4.3
2019-01-19,4.8
2019-01-20,5.5
2019-01-21,5.4
2019-01-22,4.9
2019-01-23,5.5
2019-01-24,4.5
2019-01-25,4.9
2019-01-26,5.4
2019-01-27,4.1
2019-01-28,2.4
2019-01-29,3.4
2019-01-30,3.4
2019-01-31,3.9
2019-02-02,3.9
2019-02-03,3.8
2019-02-04,3.6
2019-02-05,2.6
2019-02-06,3.1
2019-02-07,4.2
2019-02-08,4.2
2019-02-09,4.0
2019-02-10,3.8
2019-02-11,4.1
2019-02-12,4.1
2019-02-13,4.1
2019-02-14,3.9
2019-02-15,3.6
2019-02-16,3.7
2019-02-17,3.7
2019-02-18,3.8
2019-02-19,4.3
2019-02-20,3.6
2019-02-21,5.0
2019-02-22,5.0
2019-02-23,5.6
2019-02-24,5.3
2019-02-25,4.8
2019-02-26,3.3
2019-02-27,4.4
2019-02-28,3.4
2019-03-02,3.6
2019-03-03,4.2
2019-03-04,3.9
2019-03-05,3.9
2019-03-06,4.0
2019-03-07,3.6
2019-03-08,5.1
2019-03-09,5.6
2019-03-10,5.3
2019-03-11,5.4
2019-03-12,6.0
2019-03-13,4.7
2019-03-14,4.7
2019-03-15,2.8
2019-03-16,3.4
2019-03-17,3.4
2019-03-18,3.4
2019-03-19,3.1
2019-03-20,3.7
2019-03-21,4.5
2019-03-22,3.5
2019-03-23,3.4
2019-03-24,3.6
2019-03-25,3.6
2019-03-26,3.9
2019-03-27,3.4
2019-03-28,3.4
2019-03-29,3.9
2019-03-30,3.8
2019-03-31,3.8
2019-04-02,3.9
2019-04-03,4.1
2019-04-04,4.2
2019-04-05,3.8
2019-04-06,3.7
2019-04-07,2.9
2019-04-08,3.5
2019-04-09,2.8
2019-04-10,3.4
2019-04-11,3.7
2019-04-12,3.1
2019-04-13,5.7
2019-04-14,5.4
2019-04-15,5.1
2019-04-16,6.6
2019-04-17,5.5
2019-04-18,5.4
