date,load
2019-01-02,40.7
2019-01-03,39.3
2019-01-04,38.1
2019-01-05,39.2
2019-01-06,39.2
2019-01-07,40.1
2019-01-08,37.0
2019-01-09,35.9
2019-01-10,35.3
2019-01-11,30.1
2019-01-12,34.7
2019-01-13,36.7
2019-01-14,35.5
2019-01-15,34.3
2019-01-16,41.0
2019-01-17,41.7
2019-01-18,40.3
2019-01-19,42.4
2019-01-20,42.4
2019-01-21,39.8
2019-01-22,38.8
2019-01-23,41.5
2019-01-24,41.8
2019-01-25,40.2
2019-01-26,35.5
2019-01-27,37.9
2019-01-28,41.8
2019-01-29,37.8
2019-01-30,16.8
2019-01-31,17.3
2019-02-02,17.8
2019-02-03,18.2
2019-02-04,18.3
2019-02-05,18.9
2019-02-06,18.5
2019-02-07,24.6
2019-02-08,27.7
2019-02-09,30.9
2019-02-10,31.9
2019-02-11,33.3
2019-02-12,33.2
2019-02-13,30.3
2019-02-14,38.5
2019-02-15,38.6
2019-02-16,40.2
2019-02-17,40.5
2019-02-18,35.7
2019-02-19,39.6
2019-02-20,36.6
2019-02-21,45.0
2019-02-22,46.5
2019-02-23,46.3
2019-02-24,46.7
2019-02-25,47.8
2019-02-26,47.7
2019-02-27,43.0
2019-02-28,38.9
2019-03-02,38.7
2019-03-03,38.5
2019-03-04,39.3
2019-03-05,39.6
2019-03-06,39.2
2019-03-07,36.3
2019-03-08,39.8
2019-03-09,43.6
2019-03-10,45.7
2019-03-11,44.2
2019-03-12,44.3
2019-03-13,43.4
2019-03-14,34.9
2019-03-15,19.2
2019-03-16,20.1
2019-03-17,21.6
2019-03-18,22.6
2019-03-19,22.4
2019-03-20,21.7
2019-03-21,23.3
2019-03-22,33.1
2019-03-23,34.1
2019-03-24,34.6
2019-03-25,30.2
2019-03-26,34.2
2019-03-27,34.2
2019-03-28,30.9
2019-03-29,35.2
2019-03-30,35.2
2019-03-31,35.8
2019-04-02,24.0
2019-04-03,36.9
2019-04-04,36.8
2019-04-05,34.1
2019-04-06,35.9
2019-04-07,36.2
2019-04-08,37.0
2019-04-09,37.0
2019-04-10,37.0
2019-04-11,36.8
2019-04-12,31.7
2019-04-13,40.1
2019-04-14,44.4
2019-04-15,46.5
2019-04-16,46.7
2019-04-17,47.2
2019-04-18,48.6
2019-04-19,44.9
2019-04-20,34.9
2019-04-21,35.3
2019-04-22,35.6
2019-04-23,36.0
