date,load
2019-01-02,108.2
2019-01-03,110.2
2019-01-04,106.8
2019-01-05,107.0
2019-01-06,106.4
2019-01-07,109.3
2019-01-08,102.9
2019-01-09,131.7
2019-01-10,140.1
2019-01-11,149.8
2019-01-12,154.7
2019-01-13,155.3
2019-01-14,143.9
2019-01-15,143.4
2019-01-16,152.9
2019-01-17,167.7
2019-01-18,175.9
2019-01-19,180.6
2019-01-20,178.9
2019-01-21,178.9
2019-01-22,173.0
2019-01-23,183.4
2019-01-24,175.5
2019-01-25,161.2
2019-01-26,169.5
2019-01-27,135.6
2019-01-28,103.6
2019-01-29,131.5
2019-01-30,125.7
2019-01-31,126.1
2019-02-02,128.0
2019-02-03,127.6
2019-02-04,131.6
2019-02-05,136.8
2019-02-06,138.9
2019-02-07,115.4
2019-02-08,115.1
2019-02-09,117.4
2019-02-10,123.7
2019-02-11,124.9
2019-02-12,123.3
2019-02-13,116.8
2019-02-14,124.4
2019-02-15,125.4
2019-02-16,126.8
2019-02-17,128.6
2019-02-18,132.4
2019-02-19,127.1
2019-02-20,119.8
2019-02-21,185.5
2019-02-22,186.1
2019-02-23,198.1
2019-02-24,189.0
2019-02-25,175.9
2019-02-26,176.0
2019-02-27,153.4
2019-02-28,113.9
2019-03-02,119.5
2019-03-03,114.1
2019-03-04,120.5
2019-03-05,118.9
2019-03-06,119.8
2019-03-07,111.4
2019-03-08,163.7
2019-03-09,167.1
2019-03-10,170.3
2019-03-11,173.5
2019-03-12,178.5
2019-03-13,177.2
2019-03-14,165.2
2019-03-15,98.4
2019-03-16,97.7
2019-03-17,91.6
2019-03-18,97.1
2019-03-19,106.8
2019-03-20,101.9
2019-03-21,95.6
2019-03-22,107.5
2019-03-23,110.8
2019-03-24,113.4
2019-03-25,113.0
2019-03-26,114.1
2019-03-27,115.6
2019-03-28,102.1
2019-03-29,152.1
2019-03-30,145.2
2019-03-31,145.8
2019-04-02,160.1
2019-04-03,172.7
2019-04-04,164.2
2019-04-05,158.4
2019-04-06,111.8
2019-04-07,112.5
2019-04-08,109.7
2019-04-09,109.3
2019-04-10,115.4
2019-04-11,113.0
2019-04-12,109.4
2019-04-13,183.4
2019-04-14,195.2
2019-04-15,181.6
2019-04-16,182.4
2019-04-17,175.9
2019-04-18,176.3
2019-04-19,162.5
2019-04-20,116.3
2019-04-21,113.5
2019-04-22,115.4
2019-04-23,119.7
2019-04-24,119.9
2019-04-25,120.5
2019-04-26,111.1
2019-04-27,106.8
2019-04-28,111.8
2019-04-29,110.3
2019-04-30,109.6
2019-05-02,107.0
2019-05-03,111.1
2019-05-04,100.7
2019-05-05,166.7
2019-05-06,153.1
