date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,163.0,160.8,164.6,166.29999999999998,9,1,2
2019-01-10,168.8,163.0,170.1,166.11428571428573,10,1,3
2019-01-11,167.7,168.8,165.2,166.47142857142856,11,1,4
2019-01-12,168.1,167.7,167.4,166.57142857142858,12,1,5
2019-01-13,164.9,168.1,171.2,165.67142857142858,13,1,6
2019-01-14,163.3,164.9,166.4,165.22857142857143,14,1,0
2019-01-15,160.7,163.3,160.8,165.21428571428572,15,1,1
2019-01-16,155.2,160.7,163.0,164.1,16,1,2
2019-01-17,161.8,155.2,168.8,163.1,17,1,3
2019-01-18,169.9,161.8,167.7,163.41428571428568,18,1,4
2019-01-19,166.0,169.9,168.1,163.1142857142857,19,1,5
2019-01-20,153.9,166.0,164.9,161.54285714285714,20,1,6
2019-01-21,153.3,153.9,163.3,160.1142857142857,21,1,0
2019-01-22,152.6,153.3,160.7,158.95714285714286,22,1,1
2019-01-23,194.9,152.6,155.2,164.62857142857143,23,1,2
2019-01-24,193.7,194.9,161.8,169.1857142857143,24,1,3
2019-01-25,176.4,193.7,169.9,170.1142857142857,25,1,4
2019-01-26,172.4,176.4,166.0,171.02857142857144,26,1,5
2019-01-27,181.0,172.4,153.9,174.90000000000003,27,1,6
2019-01-28,189.4,181.0,153.3,180.05714285714285,28,1,0
2019-01-29,189.8,189.4,152.6,185.3714285714286,29,1,1
2019-01-30,160.4,189.8,194.9,180.44285714285712,30,1,2
2019-01-31,162.7,160.4,193.7,176.01428571428573,31,1,3
2019-02-02,164.2,162.7,176.4,174.27142857142857,2,2,5
2019-02-03,163.7,164.2,172.4,173.0285714285714,3,2,6
2019-02-04,165.8,163.7,181.0,170.85714285714286,4,2,0
2019-02-05,165.2,165.8,189.4,167.4,5,2,1
2019-02-06,163.2,165.2,189.8,163.6,6,2,2
2019-02-07,152.8,163.2,160.4,162.5142857142857,7,2,3
2019-02-08,156.7,152.8,162.7,161.65714285714284,8,2,4
2019-02-09,149.8,156.7,164.2,159.59999999999997,9,2,5
2019-02-10,148.7,149.8,163.7,157.45714285714286,10,2,6
2019-02-11,153.8,148.7,165.8,155.74285714285716,11,2,0
2019-02-12,155.2,153.8,165.2,154.31428571428572,12,2,1
2019-02-13,157.5,155.2,163.2,153.5,13,2,2
2019-02-14,149.2,157.5,152.8,152.9857142857143,14,2,3
2019-02-15,148.1,149.2,156.7,151.75714285714284,15,2,4
2019-02-16,151.5,148.1,149.8,152.0,16,2,5
2019-02-17,150.5,151.5,148.7,152.25714285714284,17,2,6
2019-02-18,159.5,150.5,153.8,153.07142857142858,18,2,0
2019-02-19,160.8,159.5,155.2,153.87142857142857,19,2,1
2019-02-20,159.1,160.8,157.5,154.09999999999997,20,2,2
2019-02-21,197.0,159.1,149.2,160.92857142857142,21,2,3
2019-02-22,201.0,197.0,148.1,168.4857142857143,22,2,4
2019-02-23,197.1,201.0,151.5,175.0,23,2,5
2019-02-24,183.2,197.1,150.5,179.67142857142858,24,2,6
2019-02-25,196.3,183.2,159.5,184.92857142857142,25,2,0
2019-02-26,197.3,196.3,160.8,190.14285714285714,26,2,1
2019-02-27,194.2,197.3,159.1,195.15714285714287,27,2,2
2019-02-28,182.9,194.2,197.0,193.14285714285714,28,2,3
2019-03-02,187.8,182.9,201.0,191.25714285714284,2,3,5
2019-03-03,191.0,187.8,197.1,190.3857142857143,3,3,6
2019-03-04,191.8,191.0,183.2,191.6142857142857,4,3,0
2019-03-05,190.0,191.8,196.3,190.71428571428572,5,3,1
2019-03-06,188.6,190.0,197.3,189.47142857142856,6,3,2
2019-03-07,182.7,188.6,194.2,187.82857142857142,7,3,3
2019-03-08,175.5,182.7,182.9,186.77142857142857,8,3,4
2019-03-09,184.6,175.5,187.8,186.3142857142857,9,3,5
2019-03-10,187.2,184.6,191.0,185.77142857142854,10,3,6
2019-03-11,194.8,187.2,191.8,186.20000000000002,11,3,0
2019-03-12,190.4,194.8,190.0,186.25714285714284,12,3,1
2019-03-13,182.7,190.4,188.6,185.41428571428574,13,3,2
2019-03-14,167.9,182.7,182.7,183.29999999999998,14,3,3
2019-03-15,148.6,167.9,175.5,179.45714285714286,15,3,4
2019-03-16,150.9,148.6,184.6,174.64285714285714,16,3,5
2019-03-17,155.8,150.9,187.2,170.15714285714287,17,3,6
2019-03-18,142.2,155.8,194.8,162.64285714285714,18,3,0
2019-03-19,151.3,142.2,190.4,157.05714285714288,19,3,1
2019-03-20,151.8,151.3,182.7,152.64285714285714,20,3,2
2019-03-21,157.9,151.8,167.9,151.21428571428572,21,3,3
2019-03-22,169.5,157.9,148.6,154.20000000000002,22,3,4
2019-03-23,169.5,169.5,150.9,156.85714285714286,23,3,5
2019-03-24,169.9,169.5,155.8,158.8714285714286,24,3,6
2019-03-25,168.6,169.9,142.2,162.64285714285714,25,3,0
2019-03-26,167.7,168.6,151.3,164.9857142857143,26,3,1
2019-03-27,170.0,167.7,151.8,167.58571428571426,27,3,2
2019-03-28,151.7,170.0,157.9,166.70000000000002,28,3,3
2019-03-29,197.7,151.7,169.5,170.72857142857143,29,3,4
2019-03-30,197.6,197.7,169.5,174.74285714285716,30,3,5
2019-03-31,198.1,197.6,169.9,178.77142857142854,31,3,6
