date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,2.1,2.3,2.1,2.2,9,1,2
2019-01-10,2.1,2.1,2.2,2.185714285714286,10,1,3
2019-01-11,2.1,2.1,2.2,2.1714285714285717,11,1,4
2019-01-12,2.1,2.1,2.2,2.157142857142857,12,1,5
2019-01-13,2.1,2.1,2.2,2.142857142857143,13,1,6
2019-01-14,2.1,2.1,2.2,2.1285714285714286,14,1,0
2019-01-15,2.2,2.1,2.3,2.1142857142857143,15,1,1
2019-01-16,2.2,2.2,2.1,2.1285714285714286,16,1,2
2019-01-17,2.2,2.2,2.1,2.142857142857143,17,1,3
2019-01-18,2.5,2.2,2.1,2.2,18,1,4
2019-01-19,2.4,2.5,2.1,2.242857142857143,19,1,5
2019-01-20,2.1,2.4,2.1,2.242857142857143,20,1,6
2019-01-21,2.2,2.1,2.1,2.257142857142857,21,1,0
2019-01-22,2.3,2.2,2.2,2.2714285714285714,22,1,1
2019-01-23,2.2,2.3,2.2,2.2714285714285714,23,1,2
2019-01-24,2.3,2.2,2.2,2.2857142857142856,24,1,3
2019-01-25,2.2,2.3,2.5,2.242857142857143,25,1,4
2019-01-26,2.2,2.2,2.4,2.2142857142857144,26,1,5
2019-01-27,2.2,2.2,2.1,2.2285714285714286,27,1,6
2019-01-28,2.0,2.2,2.2,2.2,28,1,0
2019-01-29,1.8,2.0,2.3,2.1285714285714286,29,1,1
2019-01-30,1.8,1.8,2.2,2.0714285714285716,30,1,2
2019-01-31,2.0,1.8,2.3,2.028571428571429,31,1,3
2019-02-02,1.5,2.0,2.2,1.9285714285714286,2,2,5
2019-02-03,1.5,1.5,2.2,1.8285714285714287,3,2,6
2019-02-04,1.5,1.5,2.2,1.7285714285714284,4,2,0
2019-02-05,1.4,1.5,2.0,1.6428571428571428,5,2,1
2019-02-06,1.5,1.4,1.8,1.6,6,2,2
2019-02-07,2.2,1.5,1.8,1.657142857142857,7,2,3
2019-02-08,2.0,2.2,2.0,1.657142857142857,8,2,4
2019-02-09,2.0,2.0,1.5,1.7285714285714284,9,2,5
2019-02-10,1.8,2.0,1.5,1.7714285714285716,10,2,6
2019-02-11,2.1,1.8,1.5,1.8571428571428572,11,2,0
2019-02-12,2.1,2.1,1.4,1.957142857142857,12,2,1
2019-02-13,1.9,2.1,1.5,2.0142857142857142,13,2,2
2019-02-14,2.2,1.9,2.2,2.0142857142857147,14,2,3
2019-02-15,2.1,2.2,2.0,2.028571428571429,15,2,4
2019-02-16,2.2,2.1,2.0,2.0571428571428574,16,2,5
2019-02-17,2.2,2.2,1.8,2.1142857142857143,17,2,6
2019-02-18,2.2,2.2,2.1,2.1285714285714286,18,2,0
2019-02-19,2.2,2.2,2.1,2.1428571428571432,19,2,1
2019-02-20,2.2,2.2,1.9,2.185714285714286,20,2,2
2019-02-21,2.2,2.2,2.2,2.185714285714286,21,2,3
2019-02-22,2.1,2.2,2.1,2.185714285714286,22,2,4
2019-02-23,2.2,2.1,2.2,2.185714285714286,23,2,5
2019-02-24,2.1,2.2,2.2,2.1714285714285717,24,2,6
2019-02-25,2.1,2.1,2.2,2.1571428571428575,25,2,0
2019-02-26,2.2,2.1,2.2,2.1571428571428575,26,2,1
2019-02-27,2.0,2.2,2.2,2.128571428571429,27,2,2
2019-02-28,2.2,2.0,2.2,2.1285714285714286,28,2,3
2019-03-02,2.2,2.2,2.1,2.142857142857143,2,3,5
2019-03-03,2.1,2.2,2.2,2.128571428571429,3,3,6
2019-03-04,2.1,2.1,2.1,2.1285714285714286,4,3,0
2019-03-05,2.5,2.1,2.1,2.185714285714286,5,3,1
2019-03-06,2.2,2.5,2.2,2.185714285714286,6,3,2
2019-03-07,2.2,2.2,2.0,2.2142857142857144,7,3,3
2019-03-08,2.3,2.2,2.2,2.2285714285714286,8,3,4
2019-03-09,2.3,2.3,2.2,2.242857142857143,9,3,5
2019-03-10,2.2,2.3,2.1,2.257142857142857,10,3,6
2019-03-11,2.2,2.2,2.1,2.2714285714285714,11,3,0
2019-03-12,2.3,2.2,2.5,2.242857142857143,12,3,1
2019-03-13,2.4,2.3,2.2,2.2714285714285714,13,3,2
2019-03-14,2.1,2.4,2.2,2.257142857142857,14,3,3
2019-03-15,1.4,2.1,2.3,2.1285714285714286,15,3,4
2019-03-16,2.0,1.4,2.3,2.085714285714286,16,3,5
2019-03-17,1.5,2.0,2.2,1.9857142857142855,17,3,6
2019-03-18,1.5,1.5,2.2,1.8857142857142857,18,3,0
2019-03-19,1.4,1.5,2.3,1.757142857142857,19,3,1
2019-03-20,1.5,1.4,2.4,1.6285714285714286,20,3,2
2019-03-21,1.7,1.5,2.1,1.5714285714285714,21,3,3
2019-03-22,2.2,1.7,1.4,1.6857142857142857,22,3,4
2019-03-23,2.1,2.2,2.0,1.7,23,3,5
2019-03-24,2.0,2.1,1.5,1.7714285714285716,24,3,6
2019-03-25,2.1,2.0,1.5,1.8571428571428572,25,3,0
2019-03-26,2.1,2.1,1.4,1.9571428571428573,26,3,1
2019-03-27,2.2,2.1,1.5,2.0571428571428574,27,3,2
2019-03-28,2.1,2.2,1.7,2.1142857142857143,28,3,3
