date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,56.4,76.2,82.3,75.17142857142858,9,1,2
2019-01-10,69.9,56.4,82.0,73.44285714285715,10,1,3
2019-01-11,76.2,69.9,82.9,72.4857142857143,11,1,4
2019-01-12,82.3,76.2,77.0,73.24285714285715,12,1,5
2019-01-13,87.7,82.3,76.4,74.85714285714286,13,1,6
2019-01-14,88.2,87.7,75.3,76.70000000000002,14,1,0
2019-01-15,93.7,88.2,76.2,79.2,15,1,1
2019-01-16,93.5,93.7,56.4,84.5,16,1,2
2019-01-17,98.9,93.5,69.9,88.64285714285714,17,1,3
2019-01-18,106.1,98.9,76.2,92.91428571428571,18,1,4
2019-01-19,105.5,106.1,82.3,96.22857142857143,19,1,5
2019-01-20,106.7,105.5,87.7,98.94285714285715,20,1,6
2019-01-21,109.1,106.7,88.2,101.92857142857143,21,1,0
2019-01-22,111.0,109.1,93.7,104.39999999999999,22,1,1
2019-01-23,101.7,111.0,93.5,105.57142857142857,23,1,2
2019-01-24,105.0,101.7,98.9,106.44285714285715,24,1,3
2019-01-25,102.1,105.0,106.1,105.87142857142858,25,1,4
2019-01-26,100.1,102.1,105.5,105.10000000000001,26,1,5
2019-01-27,82.8,100.1,106.7,101.68571428571428,27,1,6
2019-01-28,80.4,82.8,109.1,97.58571428571429,28,1,0
2019-01-29,87.9,80.4,111.0,94.28571428571429,29,1,1
2019-01-30,65.3,87.9,101.7,89.08571428571429,30,1,2
2019-01-31,69.4,65.3,105.0,84.0,31,1,3
2019-02-02,71.2,69.4,102.1,79.58571428571429,2,2,5
2019-02-03,77.4,71.2,100.1,76.34285714285716,3,2,6
2019-02-04,78.3,77.4,82.8,75.7,4,2,0
2019-02-05,76.1,78.3,80.4,75.08571428571429,5,2,1
2019-02-06,75.1,76.1,87.9,73.25714285714285,6,2,2
2019-02-07,79.7,75.1,65.3,75.31428571428572,7,2,3
2019-02-08,80.0,79.7,69.4,76.82857142857142,8,2,4
2019-02-09,79.4,80.0,71.2,78.0,9,2,5
2019-02-10,82.6,79.4,77.4,78.74285714285715,10,2,6
2019-02-11,82.7,82.6,78.3,79.37142857142858,11,2,0
2019-02-12,79.5,82.7,76.1,79.85714285714286,12,2,1
2019-02-13,77.9,79.5,75.1,80.25714285714285,13,2,2
2019-02-14,72.2,77.9,79.7,79.18571428571428,14,2,3
2019-02-15,72.6,72.2,80.0,78.12857142857142,15,2,4
2019-02-16,74.7,72.6,79.4,77.45714285714287,16,2,5
2019-02-17,73.6,74.7,82.6,76.17142857142858,17,2,6
2019-02-18,73.3,73.6,82.7,74.82857142857142,18,2,0
2019-02-19,74.1,73.3,79.5,74.05714285714285,19,2,1
2019-02-20,74.0,74.1,77.9,73.5,20,2,2
2019-02-21,105.3,74.0,72.2,78.22857142857143,21,2,3
2019-02-22,108.7,105.3,72.6,83.38571428571427,22,2,4
2019-02-23,107.7,108.7,74.7,88.1,23,2,5
