date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,18.0,18.1,18.6,17.928571428571427,9,1,2
2019-01-10,17.8,18.0,18.2,17.871428571428574,10,1,3
2019-01-11,16.9,17.8,16.7,17.900000000000002,11,1,4
2019-01-12,17.6,16.9,17.6,17.900000000000002,12,1,5
2019-01-13,17.6,17.6,18.6,17.75714285714286,13,1,6
2019-01-14,18.5,17.6,18.3,17.785714285714285,14,1,0
2019-01-15,17.3,18.5,18.1,17.67142857142857,15,1,1
2019-01-16,18.9,17.3,18.0,17.8,16,1,2
2019-01-17,18.4,18.9,17.8,17.885714285714286,17,1,3
2019-01-18,18.3,18.4,16.9,18.085714285714285,18,1,4
2019-01-19,18.1,18.3,17.6,18.157142857142855,19,1,5
2019-01-20,17.7,18.1,17.6,18.17142857142857,20,1,6
2019-01-21,17.9,17.7,18.5,18.085714285714285,21,1,0
2019-01-22,16.3,17.9,17.3,17.942857142857143,22,1,1
2019-01-23,18.9,16.3,18.9,17.942857142857143,23,1,2
2019-01-24,18.8,18.9,18.4,18.0,24,1,3
2019-01-25,17.4,18.8,18.3,17.87142857142857,25,1,4
2019-01-26,18.1,17.4,18.1,17.871428571428574,26,1,5
2019-01-27,18.2,18.1,17.7,17.942857142857143,27,1,6
2019-01-28,18.3,18.2,17.9,18.0,28,1,0
2019-01-29,18.2,18.3,16.3,18.271428571428572,29,1,1
2019-01-30,1.6,18.2,18.9,15.799999999999999,30,1,2
2019-01-31,1.7,1.6,18.8,13.357142857142858,31,1,3
2019-02-02,1.3,1.7,17.4,11.057142857142859,2,2,5
2019-02-03,1.7,1.3,18.1,8.714285714285714,3,2,6
2019-02-04,1.7,1.7,18.2,6.357142857142857,4,2,0
2019-02-05,1.8,1.7,18.3,4.0,5,2,1
2019-02-06,1.8,1.8,18.2,1.657142857142857,6,2,2
2019-02-07,11.4,1.8,1.6,3.057142857142857,7,2,3
2019-02-08,14.0,11.4,1.7,4.814285714285715,8,2,4
2019-02-09,15.3,14.0,1.3,6.814285714285714,9,2,5
2019-02-10,17.0,15.3,1.7,9.0,10,2,6
2019-02-11,17.2,17.0,1.7,11.214285714285714,11,2,0
2019-02-12,17.2,17.2,1.8,13.414285714285715,12,2,1
2019-02-13,17.2,17.2,1.8,15.614285714285714,13,2,2
2019-02-14,17.9,17.2,11.4,16.54285714285714,14,2,3
