date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,89.2,69.0,85.8,79.15714285714286,9,1,2
2019-01-10,92.8,89.2,85.5,80.2,10,1,3
2019-01-11,79.5,92.8,83.5,79.62857142857142,11,1,4
2019-01-12,92.6,79.5,79.2,81.54285714285713,12,1,5
2019-01-13,89.4,92.6,76.6,83.37142857142855,13,1,6
2019-01-14,82.2,89.4,71.1,84.95714285714287,14,1,0
2019-01-15,77.8,82.2,69.0,86.21428571428571,15,1,1
2019-01-16,111.8,77.8,89.2,89.44285714285715,16,1,2
2019-01-17,115.6,111.8,92.8,92.7,17,1,3
2019-01-18,117.9,115.6,79.5,98.1857142857143,18,1,4
2019-01-19,121.9,117.9,92.6,102.37142857142858,19,1,5
2019-01-20,121.7,121.9,89.4,106.9857142857143,20,1,6
2019-01-21,112.2,121.7,82.2,111.27142857142857,21,1,0
2019-01-22,108.0,112.2,77.8,115.58571428571427,22,1,1
2019-01-23,109.3,108.0,111.8,115.22857142857143,23,1,2
2019-01-24,111.9,109.3,115.6,114.7,24,1,3
2019-01-25,114.2,111.9,117.9,114.17142857142858,25,1,4
2019-01-26,112.7,114.2,121.9,112.85714285714286,26,1,5
2019-01-27,105.0,112.7,121.7,110.47142857142856,27,1,6
2019-01-28,100.5,105.0,112.2,108.8,28,1,0
2019-01-29,96.4,100.5,108.0,107.14285714285714,29,1,1
2019-01-30,41.8,96.4,109.3,97.5,30,1,2
2019-01-31,43.1,41.8,111.9,87.67142857142858,31,1,3
2019-02-02,42.9,43.1,114.2,77.48571428571428,2,2,5
2019-02-03,44.9,42.9,112.7,67.8,3,2,6
2019-02-04,43.8,44.9,105.0,59.057142857142864,4,2,0
2019-02-05,43.5,43.8,100.5,50.91428571428571,5,2,1
2019-02-06,44.1,43.5,96.4,43.44285714285714,6,2,2
2019-02-07,60.3,44.1,41.8,46.08571428571428,7,2,3
2019-02-08,63.2,60.3,43.1,48.95714285714286,8,2,4
2019-02-09,68.4,63.2,42.9,52.6,9,2,5
2019-02-10,67.6,68.4,44.9,55.84285714285714,10,2,6
2019-02-11,69.0,67.6,43.8,59.44285714285714,11,2,0
2019-02-12,64.8,69.0,43.5,62.48571428571428,12,2,1
2019-02-13,61.2,64.8,44.1,64.92857142857143,13,2,2
2019-02-14,71.8,61.2,60.3,66.57142857142857,14,2,3
2019-02-15,71.7,71.8,63.2,67.78571428571429,15,2,4
2019-02-16,72.7,71.7,68.4,68.4,16,2,5
2019-02-17,71.6,72.7,67.6,68.97142857142858,17,2,6
2019-02-18,71.3,71.6,69.0,69.3,18,2,0
2019-02-19,69.2,71.3,64.8,69.92857142857143,19,2,1
2019-02-20,67.0,69.2,61.2,70.75714285714285,20,2,2
2019-02-21,111.8,67.0,71.8,76.47142857142856,21,2,3
2019-02-22,114.9,111.8,71.7,82.64285714285714,22,2,4
2019-02-23,121.6,114.9,72.7,89.62857142857142,23,2,5
2019-02-24,128.1,121.6,71.6,97.7,24,2,6
2019-02-25,131.6,128.1,71.3,106.31428571428572,25,2,0
2019-02-26,132.2,131.6,69.2,115.3142857142857,26,2,1
2019-02-27,132.7,132.2,67.0,124.69999999999997,27,2,2
2019-02-28,69.0,132.7,111.8,118.58571428571427,28,2,3
2019-03-02,72.1,69.0,114.9,112.47142857142856,2,3,5
2019-03-03,71.8,72.1,121.6,105.35714285714286,3,3,6
2019-03-04,71.1,71.8,128.1,97.2142857142857,4,3,0
2019-03-05,73.0,71.1,131.6,88.84285714285713,5,3,1
2019-03-06,68.0,73.0,132.2,79.67142857142856,6,3,2
2019-03-07,67.3,68.0,132.7,70.32857142857142,7,3,3
2019-03-08,111.7,67.3,69.0,76.42857142857143,8,3,4
2019-03-09,121.6,111.7,72.1,83.5,9,3,5
2019-03-10,128.0,121.6,71.8,91.52857142857144,10,3,6
2019-03-11,132.7,128.0,71.1,100.32857142857142,11,3,0
2019-03-12,132.6,132.7,73.0,108.84285714285714,12,3,1
2019-03-13,129.7,132.6,68.0,117.65714285714284,13,3,2
2019-03-14,113.9,129.7,67.3,124.31428571428572,14,3,3
2019-03-15,57.8,113.9,111.7,116.61428571428571,15,3,4
2019-03-16,51.2,57.8,121.6,106.55714285714284,16,3,5
2019-03-17,58.4,51.2,128.0,96.61428571428571,17,3,6
2019-03-18,63.0,58.4,132.7,86.65714285714286,18,3,0
2019-03-19,66.1,63.0,132.6,77.15714285714284,19,3,1
2019-03-20,69.6,66.1,129.7,68.57142857142857,20,3,2
2019-03-21,68.3,69.6,113.9,62.05714285714286,21,3,3
2019-03-22,62.5,68.3,57.8,62.72857142857142,22,3,4
2019-03-23,63.5,62.5,51.2,64.48571428571428,23,3,5
2019-03-24,62.6,63.5,58.4,65.08571428571429,24,3,6
2019-03-25,62.4,62.6,63.0,65.0,25,3,0
2019-03-26,63.5,62.4,66.1,64.62857142857142,26,3,1
2019-03-27,60.4,63.5,69.6,63.31428571428571,27,3,2
2019-03-28,57.2,60.4,68.3,61.728571428571435,28,3,3
2019-03-29,61.7,57.2,62.5,61.614285714285714,29,3,4
2019-03-30,64.3,61.7,63.5,61.728571428571435,30,3,5
2019-03-31,65.9,64.3,62.6,62.199999999999996,31,3,6
2019-04-02,67.4,65.9,62.4,62.91428571428572,2,4,1
2019-04-03,71.8,67.4,63.5,64.10000000000001,3,4,2
2019-04-04,73.9,71.8,60.4,66.02857142857142,4,4,3
2019-04-05,69.1,73.9,57.2,67.72857142857143,5,4,4
2019-04-06,61.4,69.1,61.7,67.68571428571428,6,4,5
2019-04-07,64.1,61.4,64.3,67.65714285714286,7,4,6
2019-04-08,66.1,64.1,65.9,67.68571428571428,8,4,0
2019-04-09,66.1,66.1,67.4,67.5,9,4,1
2019-04-10,65.4,66.1,71.8,66.58571428571427,10,4,2
2019-04-11,63.0,65.4,73.9,65.02857142857142,11,4,3
2019-04-12,60.2,63.0,69.1,63.75714285714285,12,4,4
2019-04-13,123.2,60.2,61.4,72.58571428571429,13,4,5
