date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,12.1,10.9,12.8,12.557142857142859,9,1,2
2019-01-10,12.1,12.1,13.7,12.328571428571427,10,1,3
2019-01-11,12.1,12.1,12.6,12.257142857142858,11,1,4
2019-01-12,12.2,12.1,13.0,12.142857142857142,12,1,5
2019-01-13,12.4,12.2,12.9,12.071428571428571,13,1,6
2019-01-14,12.4,12.4,12.7,12.028571428571427,14,1,0
2019-01-15,12.4,12.4,10.9,12.242857142857144,15,1,1
2019-01-16,11.3,12.4,12.1,12.128571428571428,16,1,2
2019-01-17,11.3,11.3,12.1,12.014285714285716,17,1,3
2019-01-18,11.3,11.3,12.1,11.9,18,1,4
2019-01-19,11.8,11.3,12.2,11.842857142857143,19,1,5
2019-01-20,11.8,11.8,12.4,11.757142857142856,20,1,6
2019-01-21,11.8,11.8,12.4,11.671428571428574,21,1,0
2019-01-22,8.2,11.8,12.4,11.071428571428571,22,1,1
2019-01-23,13.5,8.2,11.3,11.385714285714286,23,1,2
2019-01-24,13.5,13.5,11.3,11.7,24,1,3
2019-01-25,13.5,13.5,11.3,12.014285714285714,25,1,4
2019-01-26,13.5,13.5,11.8,12.257142857142856,26,1,5
2019-01-27,13.5,13.5,11.8,12.5,27,1,6
2019-01-28,11.6,13.5,11.8,12.471428571428572,28,1,0
2019-01-29,10.7,11.6,8.2,12.828571428571431,29,1,1
2019-01-30,6.9,10.7,13.5,11.885714285714286,30,1,2
2019-01-31,6.7,6.9,13.5,10.914285714285715,31,1,3
2019-02-02,7.1,6.7,13.5,10.0,2,2,5
2019-02-03,7.2,7.1,13.5,9.1,3,2,6
2019-02-04,7.2,7.2,13.5,8.2,4,2,0
2019-02-05,7.2,7.2,11.6,7.571428571428571,5,2,1
2019-02-06,7.2,7.2,10.7,7.071428571428571,6,2,2
2019-02-07,10.1,7.2,6.9,7.528571428571429,7,2,3
2019-02-08,10.1,10.1,6.7,8.014285714285714,8,2,4
2019-02-09,10.1,10.1,7.1,8.442857142857141,9,2,5
2019-02-10,12.3,10.1,7.2,9.171428571428573,10,2,6
2019-02-11,12.3,12.3,7.2,9.9,11,2,0
2019-02-12,12.3,12.3,7.2,10.62857142857143,12,2,1
