date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,260.0,307.9,319.5,305.68571428571425,9,1,2
2019-01-10,268.3,260.0,316.7,298.77142857142854,10,1,3
2019-01-11,275.0,268.3,301.9,294.92857142857144,11,1,4
2019-01-12,294.1,275.0,313.2,292.2,12,1,5
2019-01-13,301.2,294.1,320.7,289.4142857142857,13,1,6
2019-01-14,305.6,301.2,319.4,287.4428571428572,14,1,0
2019-01-15,290.5,305.6,307.9,284.95714285714286,15,1,1
2019-01-16,299.5,290.5,260.0,290.6,16,1,2
2019-01-17,282.0,299.5,268.3,292.5571428571429,17,1,3
2019-01-18,269.1,282.0,275.0,291.7142857142857,18,1,4
2019-01-19,260.2,269.1,294.1,286.87142857142857,19,1,5
2019-01-20,273.8,260.2,301.2,282.95714285714286,20,1,6
2019-01-21,276.7,273.8,305.6,278.8285714285714,21,1,0
2019-01-22,263.5,276.7,290.5,274.9714285714286,22,1,1
2019-01-23,391.4,263.5,299.5,288.09999999999997,23,1,2
2019-01-24,385.3,391.4,282.0,302.85714285714283,24,1,3
2019-01-25,380.2,385.3,269.1,318.7285714285714,25,1,4
2019-01-26,380.6,380.2,260.2,335.92857142857144,26,1,5
2019-01-27,379.4,380.6,273.8,351.0142857142857,27,1,6
2019-01-28,377.9,379.4,276.7,365.4714285714286,28,1,0
2019-01-29,362.8,377.9,263.5,379.65714285714284,29,1,1
2019-01-30,203.5,362.8,391.4,352.8142857142857,30,1,2
2019-01-31,212.0,203.5,385.3,328.0571428571429,31,1,3
2019-02-02,217.1,212.0,380.2,304.7571428571428,2,2,5
2019-02-03,221.5,217.1,380.6,282.0285714285714,3,2,6
2019-02-04,224.0,221.5,379.4,259.8285714285715,4,2,0
2019-02-05,229.7,224.0,377.9,238.65714285714284,5,2,1
2019-02-06,232.2,229.7,362.8,220.0,6,2,2
2019-02-07,215.2,232.2,203.5,221.67142857142858,7,2,3
2019-02-08,229.6,215.2,212.0,224.18571428571428,8,2,4
2019-02-09,234.9,229.6,217.1,226.72857142857143,9,2,5
2019-02-10,261.5,234.9,221.5,232.44285714285712,10,2,6
2019-02-11,282.1,261.5,224.0,240.7428571428571,11,2,0
2019-02-12,278.5,282.1,229.7,247.71428571428572,12,2,1
2019-02-13,261.9,278.5,232.2,251.95714285714286,13,2,2
2019-02-14,317.3,261.9,215.2,266.54285714285714,14,2,3
2019-02-15,322.3,317.3,229.6,279.7857142857143,15,2,4
2019-02-16,321.8,322.3,234.9,292.2,16,2,5
2019-02-17,326.9,321.8,261.5,301.54285714285714,17,2,6
2019-02-18,322.6,326.9,282.1,307.3285714285715,18,2,0
2019-02-19,319.9,322.6,278.5,313.2428571428572,19,2,1
2019-02-20,312.3,319.9,261.9,320.4428571428571,20,2,2
