date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,148.2,121.4,130.3,131.92857142857142,9,1,2
2019-01-10,157.0,148.2,133.5,135.28571428571428,10,1,3
2019-01-11,145.3,157.0,128.2,137.72857142857143,11,1,4
2019-01-12,151.9,145.3,127.5,141.21428571428572,12,1,5
2019-01-13,141.4,151.9,132.6,142.47142857142856,13,1,6
2019-01-14,143.8,141.4,132.1,144.14285714285717,14,1,0
2019-01-15,142.9,143.8,121.4,147.21428571428572,15,1,1
2019-01-16,180.5,142.9,148.2,151.82857142857145,16,1,2
2019-01-17,196.4,180.5,157.0,157.45714285714286,17,1,3
2019-01-18,193.9,196.4,145.3,164.4,18,1,4
2019-01-19,201.8,193.9,151.9,171.52857142857144,19,1,5
2019-01-20,192.3,201.8,141.4,178.79999999999998,20,1,6
2019-01-21,182.9,192.3,143.8,184.3857142857143,21,1,0
2019-01-22,178.2,182.9,142.9,189.42857142857147,22,1,1
2019-01-23,150.5,178.2,180.5,185.14285714285714,23,1,2
2019-01-24,154.7,150.5,196.4,179.18571428571428,24,1,3
2019-01-25,155.2,154.7,193.9,173.65714285714284,25,1,4
2019-01-26,143.2,155.2,201.8,165.28571428571428,26,1,5
2019-01-27,138.9,143.2,192.3,157.65714285714284,27,1,6
2019-01-28,148.6,138.9,182.9,152.75714285714284,28,1,0
2019-01-29,141.8,148.6,178.2,147.55714285714288,29,1,1
2019-01-30,66.5,141.8,150.5,135.55714285714285,30,1,2
2019-01-31,68.1,66.5,154.7,123.18571428571428,31,1,3
2019-02-02,66.7,68.1,155.2,110.54285714285716,2,2,5
2019-02-03,66.8,66.7,143.2,99.62857142857142,3,2,6
2019-02-04,71.3,66.8,138.9,89.97142857142856,4,2,0
2019-02-05,70.3,71.3,148.6,78.78571428571429,5,2,1
2019-02-06,71.2,70.3,141.8,68.7,6,2,2
2019-02-07,96.2,71.2,66.5,72.94285714285714,7,2,3
2019-02-08,105.6,96.2,68.1,78.3,8,2,4
2019-02-09,116.2,105.6,66.7,85.37142857142858,9,2,5
2019-02-10,119.5,116.2,66.8,92.89999999999999,10,2,6
2019-02-11,122.5,119.5,71.3,100.21428571428571,11,2,0
2019-02-12,117.4,122.5,70.3,106.94285714285715,12,2,1
2019-02-13,104.3,117.4,71.2,111.67142857142858,13,2,2
2019-02-14,118.9,104.3,96.2,114.91428571428571,14,2,3
2019-02-15,125.6,118.9,105.6,117.77142857142859,15,2,4
2019-02-16,129.1,125.6,116.2,119.61428571428571,16,2,5
2019-02-17,126.4,129.1,119.5,120.60000000000001,17,2,6
2019-02-18,125.1,126.4,122.5,120.97142857142856,18,2,0
2019-02-19,127.3,125.1,117.4,122.38571428571429,19,2,1
2019-02-20,118.2,127.3,104.3,124.37142857142858,20,2,2
2019-02-21,165.3,118.2,118.9,131.0,21,2,3
2019-02-22,173.6,165.3,125.6,137.85714285714286,22,2,4
2019-02-23,179.3,173.6,129.1,145.02857142857144,23,2,5
2019-02-24,185.9,179.3,126.4,153.52857142857144,24,2,6
2019-02-25,189.1,185.9,125.1,162.67142857142858,25,2,0
2019-02-26,188.4,189.1,127.3,171.4,26,2,1
2019-02-27,182.0,188.4,118.2,180.5142857142857,27,2,2
2019-02-28,123.5,182.0,165.3,174.54285714285714,28,2,3
2019-03-02,116.3,123.5,173.6,166.35714285714286,2,3,5
2019-03-03,123.1,116.3,179.3,158.32857142857142,3,3,6
2019-03-04,124.0,123.1,185.9,149.4857142857143,4,3,0
2019-03-05,125.6,124.0,189.1,140.4142857142857,5,3,1
2019-03-06,124.7,125.6,188.4,131.31428571428572,6,3,2
2019-03-07,116.3,124.7,182.0,121.92857142857143,7,3,3
