date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,25.3,29.2,30.0,29.428571428571427,9,1,2
2019-01-10,26.5,25.3,30.1,28.914285714285715,10,1,3
2019-01-11,23.9,26.5,30.1,28.028571428571432,11,1,4
2019-01-12,26.4,23.9,30.2,27.485714285714288,12,1,5
2019-01-13,26.4,26.4,31.0,26.828571428571426,13,1,6
2019-01-14,26.9,26.4,30.1,26.37142857142857,14,1,0
2019-01-15,25.6,26.9,29.2,25.857142857142854,15,1,1
2019-01-16,29.4,25.6,25.3,26.442857142857143,16,1,2
2019-01-17,29.8,29.4,26.5,26.914285714285715,17,1,3
2019-01-18,27.9,29.8,23.9,27.485714285714284,18,1,4
2019-01-19,28.7,27.9,26.4,27.814285714285713,19,1,5
2019-01-20,28.1,28.7,26.4,28.057142857142857,20,1,6
2019-01-21,28.8,28.1,26.9,28.32857142857143,21,1,0
2019-01-22,26.5,28.8,25.6,28.45714285714286,22,1,1
2019-01-23,27.3,26.5,29.4,28.157142857142855,23,1,2
2019-01-24,27.6,27.3,29.8,27.842857142857145,24,1,3
2019-01-25,25.7,27.6,27.9,27.52857142857143,25,1,4
2019-01-26,26.2,25.7,28.7,27.17142857142857,26,1,5
2019-01-27,27.0,26.2,28.1,27.014285714285712,27,1,6
2019-01-28,26.9,27.0,28.8,26.74285714285714,28,1,0
2019-01-29,24.7,26.9,26.5,26.485714285714284,29,1,1
2019-01-30,12.7,24.7,27.3,24.400000000000002,30,1,2
2019-01-31,12.5,12.7,27.6,22.24285714285714,31,1,3
2019-02-02,13.0,12.5,25.7,20.428571428571427,2,2,5
2019-02-03,12.6,13.0,26.2,18.485714285714288,3,2,6
2019-02-04,12.4,12.6,27.0,16.4,4,2,0
2019-02-05,13.3,12.4,26.9,14.457142857142857,5,2,1
2019-02-06,12.5,13.3,24.7,12.714285714285714,6,2,2
2019-02-07,17.0,12.5,12.7,13.328571428571427,7,2,3
2019-02-08,21.5,17.0,12.5,14.614285714285714,8,2,4
2019-02-09,25.2,21.5,13.0,16.357142857142858,9,2,5
2019-02-10,26.4,25.2,12.6,18.32857142857143,10,2,6
2019-02-11,27.1,26.4,12.4,20.428571428571427,11,2,0
2019-02-12,26.7,27.1,13.3,22.342857142857138,12,2,1
2019-02-13,24.9,26.7,12.5,24.11428571428571,13,2,2
2019-02-14,29.6,24.9,17.0,25.914285714285715,14,2,3
2019-02-15,30.2,29.6,21.5,27.157142857142855,15,2,4
2019-02-16,31.5,30.2,25.2,28.057142857142857,16,2,5
2019-02-17,30.9,31.5,26.4,28.699999999999996,17,2,6
2019-02-18,30.4,30.9,27.1,29.17142857142857,18,2,0
2019-02-19,29.8,30.4,26.7,29.614285714285717,19,2,1
2019-02-20,27.4,29.8,24.9,29.97142857142857,20,2,2
2019-02-21,28.9,27.4,29.6,29.87142857142857,21,2,3
2019-02-22,29.4,28.9,30.2,29.757142857142856,22,2,4
2019-02-23,29.2,29.4,31.5,29.428571428571423,23,2,5
2019-02-24,30.3,29.2,30.9,29.342857142857145,24,2,6
2019-02-25,30.5,30.3,30.4,29.357142857142858,25,2,0
2019-02-26,28.8,30.5,29.8,29.214285714285715,26,2,1
2019-02-27,27.0,28.8,27.4,29.157142857142862,27,2,2
2019-02-28,28.4,27.0,28.9,29.085714285714285,28,2,3
2019-03-02,28.6,28.4,29.4,28.97142857142857,2,3,5
2019-03-03,29.2,28.6,29.2,28.97142857142857,3,3,6
2019-03-04,30.8,29.2,30.3,29.042857142857144,4,3,0
2019-03-05,31.8,30.8,30.5,29.228571428571428,5,3,1
2019-03-06,30.8,31.8,28.8,29.514285714285712,6,3,2
2019-03-07,27.7,30.8,27.0,29.61428571428571,7,3,3
