date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,19.2,23.3,24.8,23.41428571428571,9,1,2
2019-01-10,21.8,19.2,25.6,22.87142857142857,10,1,3
2019-01-11,23.3,21.8,26.3,22.442857142857147,11,1,4
2019-01-12,24.3,23.3,23.0,22.62857142857143,12,1,5
2019-01-13,24.8,24.3,22.6,22.942857142857143,13,1,6
2019-01-14,24.8,24.8,23.9,23.071428571428573,14,1,0
2019-01-15,24.8,24.8,23.3,23.285714285714285,15,1,1
2019-01-16,22.1,24.8,19.2,23.700000000000006,16,1,2
2019-01-17,22.3,22.1,21.8,23.771428571428572,17,1,3
2019-01-18,24.1,22.3,23.3,23.885714285714283,18,1,4
2019-01-19,23.8,24.1,24.3,23.814285714285717,19,1,5
2019-01-20,25.0,23.8,24.8,23.842857142857145,20,1,6
2019-01-21,24.8,25.0,24.8,23.842857142857145,21,1,0
2019-01-22,23.8,24.8,24.8,23.7,22,1,1
2019-01-23,27.5,23.8,22.1,24.47142857142857,23,1,2
2019-01-24,25.9,27.5,22.3,24.985714285714288,24,1,3
2019-01-25,23.2,25.9,24.1,24.857142857142858,25,1,4
2019-01-26,25.0,23.2,23.8,25.02857142857143,26,1,5
2019-01-27,21.4,25.0,25.0,24.514285714285712,27,1,6
2019-01-28,18.7,21.4,24.8,23.642857142857142,28,1,0
2019-01-29,23.8,18.7,23.8,23.642857142857142,29,1,1
2019-01-30,21.9,23.8,27.5,22.842857142857145,30,1,2
2019-01-31,22.8,21.9,25.9,22.400000000000002,31,1,3
2019-02-02,23.4,22.8,23.2,22.428571428571427,2,2,5
2019-02-03,23.0,23.4,25.0,22.142857142857142,3,2,6
2019-02-04,23.3,23.0,21.4,22.414285714285715,4,2,0
2019-02-05,24.0,23.3,18.7,23.17142857142857,5,2,1
2019-02-06,24.1,24.0,23.8,23.214285714285715,6,2,2
2019-02-07,24.3,24.1,21.9,23.557142857142857,7,2,3
2019-02-08,23.6,24.3,22.8,23.671428571428574,8,2,4
2019-02-09,22.7,23.6,23.4,23.571428571428573,9,2,5
2019-02-10,23.8,22.7,23.0,23.685714285714287,10,2,6
2019-02-11,24.4,23.8,23.3,23.842857142857145,11,2,0
2019-02-12,23.9,24.4,24.0,23.82857142857143,12,2,1
2019-02-13,23.6,23.9,24.1,23.75714285714286,13,2,2
2019-02-14,21.6,23.6,24.3,23.37142857142857,14,2,3
2019-02-15,23.9,21.6,23.6,23.414285714285715,15,2,4
2019-02-16,24.3,23.9,22.7,23.642857142857142,16,2,5
2019-02-17,25.0,24.3,23.8,23.814285714285713,17,2,6
2019-02-18,24.8,25.0,24.4,23.87142857142857,18,2,0
2019-02-19,24.4,24.8,23.9,23.942857142857143,19,2,1
2019-02-20,23.4,24.4,23.6,23.91428571428571,20,2,2
2019-02-21,28.2,23.4,21.6,24.857142857142858,21,2,3
2019-02-22,28.5,28.2,23.9,25.514285714285712,22,2,4
2019-02-23,28.2,28.5,24.3,26.071428571428573,23,2,5
2019-02-24,26.3,28.2,25.0,26.25714285714286,24,2,6
2019-02-25,24.8,26.3,24.8,26.25714285714286,25,2,0
2019-02-26,25.3,24.8,24.4,26.385714285714283,26,2,1
2019-02-27,25.1,25.3,23.4,26.62857142857143,27,2,2
2019-02-28,26.3,25.1,28.2,26.357142857142858,28,2,3
2019-03-02,26.3,26.3,28.5,26.042857142857144,2,3,5
2019-03-03,24.2,26.3,28.2,25.47142857142857,3,3,6
2019-03-04,26.1,24.2,26.3,25.442857142857143,4,3,0
2019-03-05,25.6,26.1,24.8,25.55714285714286,5,3,1
2019-03-06,24.1,25.6,25.3,25.38571428571429,6,3,2
2019-03-07,24.7,24.1,25.1,25.32857142857143,7,3,3
2019-03-08,23.9,24.7,26.3,24.985714285714288,8,3,4
2019-03-09,24.8,23.9,26.3,24.77142857142857,9,3,5
2019-03-10,25.3,24.8,24.2,24.928571428571427,10,3,6
2019-03-11,24.9,25.3,26.1,24.75714285714286,11,3,0
2019-03-12,27.8,24.9,25.6,25.071428571428573,12,3,1
2019-03-13,27.0,27.8,24.1,25.485714285714284,13,3,2
2019-03-14,25.9,27.0,24.7,25.657142857142855,14,3,3
2019-03-15,20.4,25.9,23.9,25.157142857142855,15,3,4
2019-03-16,20.4,20.4,24.8,24.528571428571432,16,3,5
2019-03-17,20.3,20.4,25.3,23.814285714285713,17,3,6
2019-03-18,21.4,20.3,24.9,23.314285714285713,18,3,0
2019-03-19,22.5,21.4,27.8,22.557142857142853,19,3,1
2019-03-20,21.8,22.5,27.0,21.814285714285713,20,3,2
2019-03-21,22.0,21.8,25.9,21.25714285714286,21,3,3
2019-03-22,24.4,22.0,20.4,21.82857142857143,22,3,4
2019-03-23,24.7,24.4,20.4,22.442857142857143,23,3,5
2019-03-24,24.2,24.7,20.3,23.0,24,3,6
2019-03-25,24.1,24.2,21.4,23.385714285714283,25,3,0
2019-03-26,24.3,24.1,22.5,23.642857142857142,26,3,1
2019-03-27,24.5,24.3,21.8,24.02857142857143,27,3,2
2019-03-28,23.6,24.5,22.0,24.257142857142856,28,3,3
2019-03-29,24.7,23.6,24.4,24.3,29,3,4
2019-03-30,23.1,24.7,24.7,24.071428571428573,30,3,5
2019-03-31,23.9,23.1,24.2,24.028571428571432,31,3,6
2019-04-02,23.8,23.9,24.1,23.985714285714288,2,4,1
2019-04-03,23.8,23.8,24.3,23.914285714285715,3,4,2
2019-04-04,23.8,23.8,24.5,23.814285714285717,4,4,3
2019-04-05,24.0,23.8,23.6,23.871428571428574,5,4,4
2019-04-06,17.4,24.0,24.7,22.828571428571426,6,4,5
2019-04-07,21.1,17.4,23.1,22.542857142857144,7,4,6
2019-04-08,21.1,21.1,23.9,22.142857142857142,8,4,0
2019-04-09,20.7,21.1,23.8,21.7,9,4,1
2019-04-10,21.0,20.7,23.8,21.3,10,4,2
2019-04-11,23.3,21.0,23.8,21.228571428571428,11,4,3
2019-04-12,22.9,23.3,24.0,21.071428571428573,12,4,4
2019-04-13,25.3,22.9,17.4,22.2,13,4,5
2019-04-14,25.6,25.3,21.1,22.842857142857145,14,4,6
2019-04-15,24.3,25.6,21.1,23.300000000000004,15,4,0
2019-04-16,21.6,24.3,20.7,23.428571428571427,16,4,1
2019-04-17,25.2,21.6,21.0,24.02857142857143,17,4,2
2019-04-18,25.3,25.2,23.3,24.314285714285717,18,4,3
2019-04-19,25.7,25.3,22.9,24.714285714285715,19,4,4
2019-04-20,22.2,25.7,25.3,24.271428571428572,20,4,5
2019-04-21,21.0,22.2,25.6,23.614285714285717,21,4,6
2019-04-22,22.1,21.0,24.3,23.3,22,4,0
2019-04-23,22.3,22.1,21.6,23.400000000000002,23,4,1
2019-04-24,23.8,22.3,25.2,23.2,24,4,2
2019-04-25,24.1,23.8,25.3,23.02857142857143,25,4,3
2019-04-26,23.9,24.1,25.7,22.771428571428572,26,4,4
2019-04-27,25.9,23.9,22.2,23.3,27,4,5
2019-04-28,24.1,25.9,21.0,23.74285714285714,28,4,6
2019-04-29,25.1,24.1,22.1,24.17142857142857,29,4,0
2019-04-30,24.0,25.1,22.3,24.41428571428571,30,4,1
2019-05-02,25.1,24.0,23.8,24.6,2,5,3
2019-05-03,24.5,25.1,24.1,24.657142857142862,3,5,4
2019-05-04,25.2,24.5,23.9,24.842857142857145,4,5,5
2019-05-05,26.6,25.2,25.9,24.942857142857143,5,5,6
2019-05-06,24.1,26.6,24.1,24.942857142857147,6,5,0
2019-05-07,22.4,24.1,25.1,24.557142857142857,7,5,1
2019-05-08,21.8,22.4,24.0,24.242857142857144,8,5,2
2019-05-09,22.1,21.8,25.1,23.814285714285713,9,5,3
2019-05-10,20.1,22.1,24.5,23.185714285714283,10,5,4
2019-05-11,19.0,20.1,25.2,22.3,11,5,5
2019-05-12,27.1,19.0,26.6,22.371428571428574,12,5,6
2019-05-13,24.8,27.1,24.1,22.471428571428568,13,5,0
2019-05-14,22.5,24.8,22.4,22.485714285714288,14,5,1
2019-05-15,22.7,22.5,21.8,22.614285714285717,15,5,2
2019-05-16,23.2,22.7,22.1,22.771428571428572,16,5,3
2019-05-17,22.2,23.2,20.1,23.071428571428573,17,5,4
2019-05-18,21.8,22.2,19.0,23.47142857142857,18,5,5
2019-05-19,23.4,21.8,27.1,22.942857142857143,19,5,6
2019-05-20,24.1,23.4,24.8,22.842857142857145,20,5,0
2019-05-21,25.1,24.1,22.5,23.214285714285715,21,5,1
2019-05-22,26.5,25.1,22.7,23.757142857142856,22,5,2
2019-05-23,27.4,26.5,23.2,24.357142857142858,23,5,3
2019-05-24,27.4,27.4,22.2,25.1,24,5,4
2019-05-25,26.5,27.4,21.8,25.771428571428572,25,5,5
2019-05-26,21.5,26.5,23.4,25.5,26,5,6
2019-05-27,23.2,21.5,24.1,25.37142857142857,27,5,0
