date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,173.6,201.0,206.3,205.62857142857143,9,1,2
2019-01-10,176.0,173.6,212.2,200.45714285714286,10,1,3
2019-01-11,157.0,176.0,205.3,193.55714285714288,11,1,4
2019-01-12,163.5,157.0,212.4,186.57142857142858,12,1,5
2019-01-13,162.4,163.5,217.5,178.70000000000002,13,1,6
2019-01-14,156.7,162.4,217.4,170.0285714285714,14,1,0
2019-01-15,138.7,156.7,201.0,161.12857142857143,15,1,1
2019-01-16,175.2,138.7,173.6,161.35714285714286,16,1,2
2019-01-17,167.1,175.2,176.0,160.08571428571426,17,1,3
2019-01-18,182.5,167.1,157.0,163.72857142857143,18,1,4
2019-01-19,185.0,182.5,163.5,166.79999999999998,19,1,5
2019-01-20,184.7,185.0,162.4,169.98571428571427,20,1,6
2019-01-21,179.9,184.7,156.7,173.29999999999998,21,1,0
2019-01-22,157.5,179.9,138.7,175.9857142857143,22,1,1
2019-01-23,230.1,157.5,175.2,183.82857142857142,23,1,2
2019-01-24,214.8,230.1,167.1,190.64285714285714,24,1,3
2019-01-25,180.6,214.8,182.5,190.37142857142857,25,1,4
2019-01-26,209.6,180.6,185.0,193.88571428571427,26,1,5
2019-01-27,223.4,209.6,184.7,199.41428571428574,27,1,6
2019-01-28,224.5,223.4,179.9,205.78571428571428,28,1,0
2019-01-29,215.5,224.5,157.5,214.07142857142858,29,1,1
2019-01-30,215.7,215.5,230.1,212.01428571428573,30,1,2
2019-01-31,218.2,215.7,214.8,212.5,31,1,3
2019-02-02,221.6,218.2,180.6,218.35714285714286,2,2,5
2019-02-03,220.7,221.6,209.6,219.94285714285715,3,2,6
2019-02-04,226.7,220.7,223.4,220.41428571428568,4,2,0
2019-02-05,226.2,226.7,224.5,220.65714285714284,5,2,1
2019-02-06,228.8,226.2,215.5,222.55714285714285,6,2,2
2019-02-07,128.2,228.8,215.7,210.05714285714285,7,2,3
2019-02-08,133.8,128.2,218.2,197.99999999999997,8,2,4
2019-02-09,136.9,133.8,221.6,185.9,9,2,5
2019-02-10,146.8,136.9,220.7,175.34285714285713,10,2,6
2019-02-11,121.0,146.8,226.7,160.24285714285716,11,2,0
2019-02-12,142.8,121.0,226.2,148.32857142857145,12,2,1
2019-02-13,141.7,142.8,228.8,135.8857142857143,13,2,2
2019-02-14,205.3,141.7,128.2,146.90000000000003,14,2,3
2019-02-15,204.5,205.3,133.8,157.0,15,2,4
2019-02-16,211.1,204.5,136.9,167.6,16,2,5
2019-02-17,213.0,211.1,146.8,177.05714285714288,17,2,6
2019-02-18,217.6,213.0,121.0,190.85714285714286,18,2,0
2019-02-19,212.9,217.6,142.8,200.87142857142857,19,2,1
2019-02-20,200.4,212.9,141.7,209.2571428571429,20,2,2
2019-02-21,194.9,200.4,205.3,207.77142857142854,21,2,3
2019-02-22,214.1,194.9,204.5,209.14285714285714,22,2,4
2019-02-23,206.3,214.1,211.1,208.45714285714286,23,2,5
2019-02-24,213.1,206.3,213.0,208.47142857142856,24,2,6
2019-02-25,212.7,213.1,217.6,207.77142857142857,25,2,0
2019-02-26,198.9,212.7,212.9,205.77142857142857,26,2,1
2019-02-27,184.8,198.9,200.4,203.54285714285714,27,2,2
2019-02-28,228.3,184.8,194.9,208.31428571428572,28,2,3
2019-03-02,233.3,228.3,214.1,211.05714285714285,2,3,5
2019-03-03,235.8,233.3,206.3,215.27142857142857,3,3,6
2019-03-04,239.4,235.8,213.1,219.02857142857144,4,3,0
2019-03-05,240.7,239.4,212.7,223.02857142857144,5,3,1
2019-03-06,233.8,240.7,198.9,228.01428571428573,6,3,2
2019-03-07,217.7,233.8,184.8,232.71428571428572,7,3,3
2019-03-08,172.7,217.7,228.3,224.77142857142857,8,3,4
2019-03-09,182.3,172.7,233.3,217.4857142857143,9,3,5
2019-03-10,186.2,182.3,235.8,210.4,10,3,6
2019-03-11,191.8,186.2,239.4,203.6,11,3,0
2019-03-12,192.7,191.8,240.7,196.74285714285716,12,3,1
2019-03-13,184.8,192.7,233.8,189.74285714285716,13,3,2
2019-03-14,172.1,184.8,217.7,183.22857142857143,14,3,3
2019-03-15,196.3,172.1,172.7,186.59999999999997,15,3,4
2019-03-16,201.7,196.3,182.3,189.37142857142857,16,3,5
2019-03-17,206.8,201.7,186.2,192.3142857142857,17,3,6
2019-03-18,184.0,206.8,191.8,191.20000000000002,18,3,0
2019-03-19,189.7,184.0,192.7,190.77142857142854,19,3,1
2019-03-20,189.7,189.7,184.8,191.47142857142856,20,3,2
2019-03-21,187.9,189.7,172.1,193.72857142857146,21,3,3
2019-03-22,196.3,187.9,196.3,193.72857142857146,22,3,4
2019-03-23,182.1,196.3,201.7,190.92857142857142,23,3,5
2019-03-24,185.8,182.1,206.8,187.92857142857142,24,3,6
2019-03-25,190.8,185.8,184.0,188.9,25,3,0
2019-03-26,195.3,190.8,189.7,189.70000000000002,26,3,1
2019-03-27,190.9,195.3,189.7,189.8714285714286,27,3,2
2019-03-28,162.3,190.9,187.9,186.21428571428572,28,3,3
2019-03-29,252.5,162.3,196.3,194.24285714285716,29,3,4
2019-03-30,273.3,252.5,182.1,207.27142857142857,30,3,5
2019-03-31,256.3,273.3,185.8,217.34285714285713,31,3,6
2019-04-02,254.3,256.3,190.8,226.41428571428574,2,4,1
2019-04-03,255.8,254.3,195.3,235.05714285714288,3,4,2
2019-04-04,253.5,255.8,190.9,244.0,4,4,3
2019-04-05,232.7,253.5,162.3,254.05714285714288,5,4,4
2019-04-06,235.1,232.7,252.5,251.57142857142858,6,4,5
2019-04-07,234.5,235.1,273.3,246.02857142857144,7,4,6
2019-04-08,237.7,234.5,256.3,243.3714285714286,8,4,0
2019-04-09,246.3,237.7,254.3,242.22857142857146,9,4,1
2019-04-10,251.6,246.3,255.8,241.6285714285714,10,4,2
2019-04-11,247.3,251.6,253.5,240.7428571428571,11,4,3
2019-04-12,222.6,247.3,232.7,239.3,12,4,4
2019-04-13,191.5,222.6,235.1,233.07142857142858,13,4,5
2019-04-14,199.2,191.5,234.5,228.02857142857144,14,4,6
2019-04-15,198.1,199.2,237.7,222.37142857142857,15,4,0
2019-04-16,198.2,198.1,246.3,215.5,16,4,1
2019-04-17,195.2,198.2,251.6,207.44285714285712,17,4,2
2019-04-18,191.8,195.2,247.3,199.5142857142857,18,4,3
2019-04-19,170.3,191.8,222.6,192.04285714285714,19,4,4
2019-04-20,242.7,170.3,191.5,199.35714285714286,20,4,5
2019-04-21,250.1,242.7,199.2,206.6285714285714,21,4,6
2019-04-22,249.6,250.1,198.1,213.9857142857143,22,4,0
2019-04-23,252.0,249.6,198.2,221.67142857142855,23,4,1
2019-04-24,253.3,252.0,195.2,229.9714285714286,24,4,2
2019-04-25,248.0,253.3,191.8,238.0,25,4,3
2019-04-26,224.3,248.0,170.3,245.71428571428572,26,4,4
2019-04-27,203.7,224.3,242.7,240.14285714285714,27,4,5
2019-04-28,209.0,203.7,250.1,234.27142857142857,28,4,6
2019-04-29,204.1,209.0,249.6,227.77142857142857,29,4,0
2019-04-30,207.2,204.1,252.0,221.3714285714286,30,4,1
2019-05-02,211.6,207.2,253.3,215.41428571428568,2,5,3
2019-05-03,208.1,211.6,248.0,209.71428571428572,3,5,4
2019-05-04,193.3,208.1,224.3,205.28571428571428,4,5,5
2019-05-05,177.3,193.3,203.7,201.5142857142857,5,5,6
2019-05-06,158.3,177.3,209.0,194.27142857142854,6,5,0
2019-05-07,159.2,158.3,204.1,187.85714285714286,7,5,1
2019-05-08,154.8,159.2,207.2,180.37142857142857,8,5,2
2019-05-09,164.7,154.8,211.6,173.67142857142858,9,5,3
2019-05-10,163.0,164.7,208.1,167.22857142857146,10,5,4
2019-05-11,156.0,163.0,193.3,161.9,11,5,5
2019-05-12,171.9,156.0,177.3,161.12857142857143,12,5,6
2019-05-13,164.5,171.9,158.3,162.0142857142857,13,5,0
2019-05-14,172.9,164.5,159.2,163.97142857142856,14,5,1
2019-05-15,163.7,172.9,154.8,165.24285714285716,15,5,2
2019-05-16,174.8,163.7,164.7,166.68571428571428,16,5,3
2019-05-17,165.4,174.8,163.0,167.02857142857144,17,5,4
2019-05-18,160.8,165.4,156.0,167.71428571428572,18,5,5
2019-05-19,235.4,160.8,171.9,176.78571428571428,19,5,6
2019-05-20,230.6,235.4,164.5,186.22857142857143,20,5,0
2019-05-21,233.1,230.6,172.9,194.82857142857145,21,5,1
2019-05-22,241.9,233.1,163.7,206.0,22,5,2
2019-05-23,236.5,241.9,174.8,214.81428571428572,23,5,3
2019-05-24,236.5,236.5,165.4,224.97142857142856,24,5,4
2019-05-25,219.1,236.5,160.8,233.3,25,5,5
