date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,67.9,68.2,72.7,72.6857142857143,9,1,2
2019-01-10,68.9,67.9,73.6,72.01428571428572,10,1,3
2019-01-11,67.4,68.9,73.4,71.15714285714286,11,1,4
2019-01-12,69.9,67.4,75.4,70.37142857142858,12,1,5
2019-01-13,72.4,69.9,75.4,69.94285714285715,13,1,6
2019-01-14,69.6,72.4,74.9,69.18571428571428,14,1,0
2019-01-15,64.2,69.6,68.2,68.61428571428571,15,1,1
2019-01-16,68.5,64.2,67.9,68.7,16,1,2
2019-01-17,70.3,68.5,68.9,68.9,17,1,3
2019-01-18,71.6,70.3,67.4,69.5,18,1,4
2019-01-19,72.6,71.6,69.9,69.88571428571429,19,1,5
2019-01-20,72.4,72.6,72.4,69.88571428571427,20,1,6
2019-01-21,72.1,72.4,69.6,70.24285714285715,21,1,0
2019-01-22,65.5,72.1,64.2,70.42857142857143,22,1,1
2019-01-23,82.3,65.5,68.5,72.4,23,1,2
2019-01-24,79.5,82.3,70.3,73.71428571428571,24,1,3
2019-01-25,74.8,79.5,71.6,74.17142857142856,25,1,4
2019-01-26,80.7,74.8,72.6,75.32857142857142,26,1,5
2019-01-27,81.9,80.7,72.4,76.6857142857143,27,1,6
2019-01-28,80.8,81.9,72.1,77.92857142857143,28,1,0
2019-01-29,75.3,80.8,65.5,79.32857142857142,29,1,1
2019-01-30,67.8,75.3,82.3,77.25714285714285,30,1,2
2019-01-31,69.3,67.8,79.5,75.8,31,1,3
2019-02-02,70.2,69.3,74.8,75.14285714285714,2,2,5
2019-02-03,70.3,70.2,80.7,73.65714285714286,3,2,6
2019-02-04,71.4,70.3,81.9,72.15714285714286,4,2,0
2019-02-05,71.4,71.4,80.8,70.81428571428572,5,2,1
2019-02-06,71.7,71.4,75.3,70.3,6,2,2
2019-02-07,64.6,71.7,67.8,69.84285714285714,7,2,3
2019-02-08,64.4,64.6,69.3,69.14285714285714,8,2,4
2019-02-09,63.5,64.4,70.2,68.18571428571428,9,2,5
2019-02-10,60.6,63.5,70.3,66.8,10,2,6
2019-02-11,62.3,60.6,71.4,65.5,11,2,0
2019-02-12,65.0,62.3,71.4,64.58571428571429,12,2,1
2019-02-13,60.3,65.0,71.7,62.957142857142856,13,2,2
2019-02-14,68.8,60.3,64.6,63.55714285714286,14,2,3
2019-02-15,70.1,68.8,64.4,64.37142857142858,15,2,4
2019-02-16,70.9,70.1,63.5,65.42857142857143,16,2,5
2019-02-17,70.8,70.9,60.6,66.88571428571429,17,2,6
2019-02-18,70.6,70.8,62.3,68.07142857142857,18,2,0
2019-02-19,70.2,70.6,65.0,68.81428571428572,19,2,1
2019-02-20,64.3,70.2,60.3,69.38571428571429,20,2,2
2019-02-21,85.6,64.3,68.8,71.78571428571428,21,2,3
2019-02-22,88.1,85.6,70.1,74.35714285714286,22,2,4
2019-02-23,79.6,88.1,70.9,75.60000000000001,23,2,5
2019-02-24,85.1,79.6,70.8,77.64285714285714,24,2,6
2019-02-25,84.1,85.1,70.6,79.57142857142857,25,2,0
2019-02-26,81.7,84.1,70.2,81.21428571428571,26,2,1
2019-02-27,77.6,81.7,64.3,83.11428571428571,27,2,2
2019-02-28,72.1,77.6,85.6,81.18571428571428,28,2,3
2019-03-02,74.2,72.1,88.1,79.2,2,3,5
2019-03-03,75.0,74.2,79.6,78.54285714285713,3,3,6
2019-03-04,74.1,75.0,85.1,76.97142857142856,4,3,0
2019-03-05,75.0,74.1,84.1,75.67142857142858,5,3,1
2019-03-06,73.7,75.0,81.7,74.52857142857142,6,3,2
2019-03-07,67.0,73.7,77.6,73.01428571428572,7,3,3
2019-03-08,62.9,67.0,72.1,71.7,8,3,4
2019-03-09,63.4,62.9,74.2,70.15714285714286,9,3,5
2019-03-10,61.7,63.4,75.0,68.25714285714285,10,3,6
2019-03-11,65.6,61.7,74.1,67.04285714285714,11,3,0
2019-03-12,65.6,65.6,75.0,65.7,12,3,1
2019-03-13,66.1,65.6,73.7,64.61428571428571,13,3,2
2019-03-14,60.2,66.1,67.0,63.64285714285713,14,3,3
2019-03-15,63.9,60.2,62.9,63.785714285714285,15,3,4
2019-03-16,66.2,63.9,63.4,64.18571428571428,16,3,5
2019-03-17,68.5,66.2,61.7,65.15714285714286,17,3,6
2019-03-18,65.4,68.5,65.6,65.12857142857142,18,3,0
2019-03-19,67.7,65.4,65.6,65.42857142857143,19,3,1
2019-03-20,67.5,67.7,66.1,65.62857142857143,20,3,2
2019-03-21,70.5,67.5,60.2,67.10000000000001,21,3,3
2019-03-22,72.0,70.5,63.9,68.25714285714285,22,3,4
2019-03-23,73.0,72.0,66.2,69.22857142857143,23,3,5
2019-03-24,73.5,73.0,68.5,69.94285714285715,24,3,6
2019-03-25,73.8,73.5,65.4,71.14285714285714,25,3,0
