date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,162.5,228.8,253.0,224.29999999999998,9,1,2
2019-01-10,159.6,162.5,253.6,210.8714285714286,10,1,3
2019-01-11,154.3,159.6,239.3,198.72857142857143,11,1,4
2019-01-12,161.1,154.3,228.2,189.14285714285714,12,1,5
2019-01-13,168.6,161.1,227.4,180.74285714285716,13,1,6
2019-01-14,170.7,168.6,230.3,172.22857142857146,14,1,0
2019-01-15,170.2,170.7,228.8,163.85714285714286,15,1,1
2019-01-16,185.1,170.2,162.5,167.08571428571426,16,1,2
2019-01-17,183.7,185.1,159.6,170.5285714285714,17,1,3
2019-01-18,183.4,183.7,154.3,174.68571428571428,18,1,4
2019-01-19,183.7,183.4,161.1,177.91428571428568,19,1,5
2019-01-20,189.3,183.7,168.6,180.87142857142857,20,1,6
2019-01-21,187.9,189.3,170.7,183.32857142857142,21,1,0
2019-01-22,188.2,187.9,170.2,185.90000000000003,22,1,1
2019-01-23,219.7,188.2,185.1,190.84285714285713,23,1,2
2019-01-24,219.7,219.7,183.7,195.98571428571427,24,1,3
2019-01-25,218.4,219.7,183.4,200.9857142857143,25,1,4
2019-01-26,219.8,218.4,183.7,206.14285714285714,26,1,5
2019-01-27,212.8,219.8,189.3,209.5,27,1,6
2019-01-28,210.0,212.8,187.9,212.65714285714284,28,1,0
2019-01-29,208.6,210.0,188.2,215.57142857142858,29,1,1
2019-01-30,150.4,208.6,219.7,205.67142857142858,30,1,2
2019-01-31,155.6,150.4,219.7,196.5142857142857,31,1,3
2019-02-02,158.9,155.6,218.4,188.0142857142857,2,2,5
2019-02-03,162.7,158.9,219.8,179.85714285714286,3,2,6
2019-02-04,165.5,162.7,212.8,173.1,4,2,0
2019-02-05,165.4,165.5,210.0,166.72857142857143,5,2,1
2019-02-06,165.8,165.4,208.6,160.6142857142857,6,2,2
2019-02-07,154.6,165.8,150.4,161.21428571428572,7,2,3
2019-02-08,156.5,154.6,155.6,161.34285714285716,8,2,4
2019-02-09,166.0,156.5,158.9,162.35714285714286,9,2,5
2019-02-10,175.0,166.0,162.7,164.1142857142857,10,2,6
2019-02-11,180.7,175.0,165.5,166.28571428571428,11,2,0
2019-02-12,184.0,180.7,165.4,168.94285714285712,12,2,1
2019-02-13,181.7,184.0,165.8,171.21428571428572,13,2,2
2019-02-14,228.3,181.7,154.6,181.7428571428571,14,2,3
2019-02-15,233.3,228.3,156.5,192.71428571428572,15,2,4
2019-02-16,235.5,233.3,166.0,202.64285714285714,16,2,5
2019-02-17,237.0,235.5,175.0,211.5,17,2,6
2019-02-18,237.1,237.0,180.7,219.55714285714288,18,2,0
2019-02-19,238.5,237.1,184.0,227.34285714285716,19,2,1
2019-02-20,235.3,238.5,181.7,235.0,20,2,2
2019-02-21,224.0,235.3,228.3,234.3857142857143,21,2,3
2019-02-22,227.4,224.0,233.3,233.54285714285714,22,2,4
2019-02-23,226.3,227.4,235.5,232.22857142857143,23,2,5
2019-02-24,226.4,226.3,237.0,230.71428571428572,24,2,6
2019-02-25,226.6,226.4,237.1,229.21428571428572,25,2,0
2019-02-26,223.9,226.6,238.5,227.12857142857143,26,2,1
2019-02-27,215.2,223.9,235.3,224.2571428571429,27,2,2
2019-02-28,255.7,215.2,224.0,228.78571428571428,28,2,3
2019-03-02,258.5,255.7,227.4,233.22857142857143,2,3,5
2019-03-03,259.6,258.5,226.3,237.9857142857143,3,3,6
2019-03-04,258.0,259.6,226.4,242.5,4,3,0
2019-03-05,262.8,258.0,226.6,247.67142857142858,5,3,1
2019-03-06,264.8,262.8,223.9,253.5142857142857,6,3,2
2019-03-07,265.1,264.8,215.2,260.64285714285717,7,3,3
2019-03-08,166.9,265.1,255.7,247.95714285714286,8,3,4
2019-03-09,169.2,166.9,258.5,235.20000000000002,9,3,5
2019-03-10,175.4,169.2,259.6,223.17142857142858,10,3,6
2019-03-11,182.6,175.4,258.0,212.4,11,3,0
2019-03-12,185.6,182.6,262.8,201.37142857142857,12,3,1
2019-03-13,186.8,185.6,264.8,190.22857142857146,13,3,2
2019-03-14,184.0,186.8,265.1,178.64285714285714,14,3,3
2019-03-15,175.7,184.0,166.9,179.90000000000003,15,3,4
2019-03-16,168.3,175.7,169.2,179.77142857142857,16,3,5
2019-03-17,182.2,168.3,175.4,180.7428571428571,17,3,6
2019-03-18,186.1,182.2,182.6,181.24285714285716,18,3,0
2019-03-19,189.2,186.1,185.6,181.75714285714284,19,3,1
2019-03-20,186.9,189.2,186.8,181.77142857142854,20,3,2
2019-03-21,193.3,186.9,184.0,183.09999999999997,21,3,3
2019-03-22,248.2,193.3,175.7,193.45714285714286,22,3,4
2019-03-23,250.9,248.2,168.3,205.25714285714284,23,3,5
2019-03-24,253.4,250.9,182.2,215.42857142857142,24,3,6
2019-03-25,252.8,253.4,186.1,224.95714285714286,25,3,0
2019-03-26,250.3,252.8,189.2,233.68571428571428,26,3,1
2019-03-27,250.7,250.3,186.9,242.8,27,3,2
2019-03-28,246.0,250.7,193.3,250.32857142857145,28,3,3
2019-03-29,199.3,246.0,248.2,243.34285714285716,29,3,4
2019-03-30,200.8,199.3,250.9,236.18571428571428,30,3,5
2019-03-31,203.1,200.8,253.4,229.00000000000003,31,3,6
2019-04-02,204.8,203.1,252.8,222.14285714285714,2,4,1
2019-04-03,205.8,204.8,250.3,215.78571428571428,3,4,2
2019-04-04,208.4,205.8,250.7,209.74285714285716,4,4,3
2019-04-05,202.5,208.4,246.0,203.52857142857144,5,4,4
2019-04-06,226.5,202.5,199.3,207.41428571428574,6,4,5
2019-04-07,223.9,226.5,200.8,210.71428571428572,7,4,6
2019-04-08,212.0,223.9,203.1,211.98571428571427,8,4,0
2019-04-09,212.0,212.0,204.8,213.0142857142857,9,4,1
2019-04-10,222.6,212.0,205.8,215.41428571428574,10,4,2
2019-04-11,223.5,222.6,208.4,217.57142857142858,11,4,3
2019-04-12,203.8,223.5,202.5,217.75714285714284,12,4,4
2019-04-13,190.4,203.8,226.5,212.6,13,4,5
2019-04-14,195.1,190.4,223.9,208.4857142857143,14,4,6
2019-04-15,192.8,195.1,212.0,205.74285714285716,15,4,0
2019-04-16,191.7,192.8,212.0,202.84285714285716,16,4,1
2019-04-17,188.4,191.7,222.6,197.95714285714286,17,4,2
2019-04-18,187.4,188.4,223.5,192.79999999999998,18,4,3
2019-04-19,171.4,187.4,203.8,188.17142857142858,19,4,4
2019-04-20,252.2,171.4,190.4,197.0,20,4,5
2019-04-21,249.8,252.2,195.1,204.81428571428572,21,4,6
2019-04-22,250.4,249.8,192.8,213.04285714285717,22,4,0
2019-04-23,250.6,250.4,191.7,221.45714285714286,23,4,1
2019-04-24,252.9,250.6,188.4,230.67142857142855,24,4,2
2019-04-25,248.3,252.9,187.4,239.3714285714286,25,4,3
2019-04-26,222.4,248.3,171.4,246.65714285714284,26,4,4
2019-04-27,246.6,222.4,252.2,245.85714285714286,27,4,5
2019-04-28,239.7,246.6,249.8,244.41428571428574,28,4,6
2019-04-29,237.4,239.7,250.4,242.55714285714285,29,4,0
2019-04-30,242.8,237.4,250.6,241.44285714285712,30,4,1
2019-05-02,245.1,242.8,252.9,240.32857142857142,2,5,3
2019-05-03,246.2,245.1,248.3,240.0285714285714,3,5,4
2019-05-04,246.9,246.2,222.4,243.52857142857144,4,5,5
2019-05-05,164.0,246.9,246.6,231.72857142857143,5,5,6
2019-05-06,163.5,164.0,239.7,220.84285714285716,6,5,0
2019-05-07,166.5,163.5,237.4,210.71428571428572,7,5,1
2019-05-08,162.9,166.5,242.8,199.3,8,5,2
2019-05-09,162.4,162.9,245.1,187.48571428571427,9,5,3
2019-05-10,152.4,162.4,246.2,174.08571428571426,10,5,4
2019-05-11,154.1,152.4,246.9,160.82857142857142,11,5,5
2019-05-12,219.0,154.1,164.0,168.68571428571428,12,5,6
2019-05-13,229.2,219.0,163.5,178.07142857142858,13,5,0
2019-05-14,220.4,229.2,166.5,185.77142857142857,14,5,1
2019-05-15,197.9,220.4,162.9,190.77142857142854,15,5,2
2019-05-16,185.2,197.9,162.4,194.02857142857144,16,5,3
2019-05-17,183.2,185.2,152.4,198.42857142857142,17,5,4
2019-05-18,175.8,183.2,154.1,201.52857142857144,18,5,5
2019-05-19,206.1,175.8,219.0,199.6857142857143,19,5,6
2019-05-20,212.0,206.1,229.2,197.22857142857143,20,5,0
2019-05-21,216.4,212.0,220.4,196.65714285714284,21,5,1
2019-05-22,219.3,216.4,197.9,199.71428571428572,22,5,2
2019-05-23,221.0,219.3,185.2,204.82857142857142,23,5,3
2019-05-24,221.0,221.0,183.2,210.22857142857143,24,5,4
2019-05-25,217.3,221.0,175.8,216.15714285714287,25,5,5
2019-05-26,182.1,217.3,206.1,212.72857142857143,26,5,6
2019-05-27,183.4,182.1,212.0,208.64285714285714,27,5,0
2019-05-28,178.9,183.4,216.4,203.28571428571428,28,5,1
2019-05-29,160.0,178.9,219.3,194.81428571428572,29,5,2
2019-05-30,150.3,160.0,221.0,184.71428571428572,30,5,3
2019-05-31,131.8,150.3,221.0,171.9714285714286,31,5,4
2019-06-02,142.8,131.8,217.3,161.32857142857145,2,6,6
2019-06-03,171.0,142.8,182.1,159.74285714285716,3,6,0
2019-06-04,169.7,171.0,183.4,157.78571428571428,4,6,1
2019-06-05,164.3,169.7,178.9,155.70000000000002,5,6,2
2019-06-06,164.9,164.3,160.0,156.4,6,6,3
2019-06-07,171.3,164.9,150.3,159.4,7,6,4
2019-06-08,170.3,171.3,131.8,164.90000000000003,8,6,5
2019-06-09,162.8,170.3,142.8,167.75714285714284,9,6,6
2019-06-10,243.7,162.8,171.0,178.14285714285714,10,6,0
2019-06-11,238.3,243.7,169.7,187.94285714285712,11,6,1
2019-06-12,241.9,238.3,164.3,199.02857142857144,12,6,2
2019-06-13,235.6,241.9,164.9,209.1285714285714,13,6,3
2019-06-14,218.1,235.6,171.3,215.81428571428572,14,6,4
2019-06-15,214.8,218.1,170.3,222.17142857142858,15,6,5
2019-06-16,222.0,214.8,162.8,230.62857142857143,16,6,6
2019-06-17,219.1,222.0,243.7,227.1142857142857,17,6,0
2019-06-18,222.8,219.1,238.3,224.90000000000003,18,6,1
2019-06-19,225.1,222.8,241.9,222.5,19,6,2
2019-06-20,227.8,225.1,235.6,221.3857142857143,20,6,3
2019-06-21,223.8,227.8,218.1,222.20000000000002,21,6,4
2019-06-22,223.5,223.8,214.8,223.44285714285712,22,6,5
2019-06-23,219.1,223.5,222.0,223.02857142857144,23,6,6
2019-06-24,235.9,219.1,219.1,225.42857142857142,24,6,0
2019-06-25,243.1,235.9,222.8,228.32857142857142,25,6,1
2019-06-26,242.1,243.1,225.1,230.75714285714284,26,6,2
2019-06-27,242.8,242.1,227.8,232.90000000000003,27,6,3
2019-06-28,250.7,242.8,223.8,236.7428571428571,28,6,4
2019-06-29,255.7,250.7,223.5,241.34285714285713,29,6,5
2019-06-30,254.5,255.7,219.1,246.4,30,6,6
2019-07-01,172.3,254.5,235.9,237.31428571428572,1,7,0
2019-07-02,172.8,172.3,243.1,227.27142857142857,2,7,1
2019-07-03,174.0,172.8,242.1,217.54285714285717,3,7,2
2019-07-04,173.9,174.0,242.8,207.7,4,7,3
2019-07-05,181.0,173.9,250.7,197.74285714285716,5,7,4
2019-07-06,174.5,181.0,255.7,186.14285714285714,6,7,5
2019-07-07,165.6,174.5,254.5,173.44285714285712,7,7,6
2019-07-08,179.6,165.6,172.3,174.4857142857143,8,7,0
2019-07-08,182.2,179.6,172.8,175.82857142857142,8,7,0
2019-07-09,185.8,182.2,174.0,177.51428571428573,9,7,1
2019-07-09,189.3,185.8,173.9,179.71428571428572,9,7,1
2019-07-10,186.2,189.3,181.0,180.45714285714286,10,7,2
2019-07-10,187.9,186.2,174.5,182.37142857142857,10,7,2
2019-07-11,183.3,187.9,165.6,184.90000000000003,11,7,3
2019-07-11,232.0,183.3,179.6,192.3857142857143,11,7,3
2019-07-12,235.2,232.0,182.2,199.95714285714283,12,7,4
2019-07-12,238.4,235.2,185.8,207.47142857142856,12,7,4
2019-07-13,240.6,238.4,189.3,214.79999999999998,13,7,5
2019-07-14,244.0,240.6,186.2,223.05714285714288,14,7,6
2019-07-15,245.0,244.0,187.9,231.21428571428572,15,7,0
2019-07-16,246.0,245.0,183.3,240.17142857142855,16,7,1
2019-07-17,203.6,246.0,232.0,236.1142857142857,17,7,2
2019-07-18,207.8,203.6,235.2,232.2,18,7,3
2019-07-19,205.1,207.8,238.4,227.44285714285712,19,7,4
2019-07-20,186.3,205.1,240.6,219.6857142857143,20,7,5
2019-07-21,193.0,186.3,244.0,212.40000000000003,21,7,6
2019-07-22,198.8,193.0,245.0,205.8,22,7,0
2019-07-23,200.9,198.8,246.0,199.35714285714286,23,7,1
2019-07-24,218.2,200.9,203.6,201.44285714285712,24,7,2
2019-07-25,223.4,218.2,207.8,203.67142857142858,25,7,3
2019-07-26,227.2,223.4,205.1,206.82857142857142,26,7,4
2019-07-27,222.8,227.2,186.3,212.04285714285714,27,7,5
2019-07-28,231.0,222.8,193.0,217.47142857142856,28,7,6
2019-07-29,232.4,231.0,198.8,222.27142857142857,29,7,0
2019-07-30,229.2,232.4,200.9,226.3142857142857,30,7,1
2019-07-31,195.0,229.2,218.2,223.0,31,7,2
2019-08-01,202.7,195.0,223.4,220.04285714285714,1,8,3
2019-08-02,187.8,202.7,227.2,214.41428571428568,2,8,4
2019-08-03,196.1,187.8,222.8,210.6,3,8,5
2019-08-04,203.1,196.1,231.0,206.6142857142857,4,8,6
2019-08-05,198.1,203.1,232.4,201.71428571428572,5,8,0
2019-08-06,189.1,198.1,229.2,195.9857142857143,6,8,1
2019-08-08,204.5,189.1,195.0,197.34285714285716,8,8,3
2019-08-09,205.3,204.5,202.7,197.71428571428572,9,8,4
2019-08-10,208.3,205.3,187.8,200.64285714285714,10,8,5
2019-08-11,203.8,208.3,196.1,201.74285714285716,11,8,6
2019-08-12,207.2,203.8,203.1,202.32857142857142,12,8,0
2019-08-13,209.3,207.2,198.1,203.92857142857142,13,8,1
2019-08-14,216.6,209.3,189.1,207.85714285714286,14,8,2
2019-08-15,270.2,216.6,204.5,217.24285714285716,15,8,3
2019-08-16,272.0,270.2,205.3,226.77142857142857,16,8,4
2019-08-17,272.3,272.0,208.3,235.91428571428574,17,8,5
2019-08-18,271.7,272.3,203.8,245.6142857142857,18,8,6
2019-08-19,264.2,271.7,207.2,253.7571428571429,19,8,0
2019-08-20,255.9,264.2,209.3,260.4142857142857,20,8,1
2019-08-21,252.0,255.9,216.6,265.4714285714286,21,8,2
2019-08-22,221.8,252.0,270.2,258.5571428571428,22,8,3
