date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,400.9,398.2,428.6,406.04285714285714,9,1,2
2019-01-10,409.7,400.9,419.6,404.6285714285714,10,1,3
2019-01-11,405.2,409.7,395.8,405.9714285714286,11,1,4
2019-01-12,421.8,405.2,411.1,407.5,12,1,5
2019-01-13,408.3,421.8,408.6,407.45714285714286,13,1,6
2019-01-14,406.3,408.3,408.1,407.2,14,1,0
2019-01-15,392.1,406.3,398.2,406.3285714285715,15,1,1
2019-01-16,377.1,392.1,400.9,402.92857142857144,16,1,2
2019-01-17,368.4,377.1,409.7,397.02857142857147,17,1,3
2019-01-18,360.8,368.4,405.2,390.6857142857143,18,1,4
2019-01-19,371.2,360.8,421.8,383.4571428571429,19,1,5
2019-01-20,362.4,371.2,408.3,376.90000000000003,20,1,6
2019-01-21,356.6,362.4,406.3,369.8,21,1,0
2019-01-22,330.8,356.6,392.1,361.04285714285714,22,1,1
2019-01-23,499.4,330.8,377.1,378.5142857142857,23,1,2
2019-01-24,508.9,499.4,368.4,398.5857142857143,24,1,3
2019-01-25,456.0,508.9,360.8,412.1857142857143,25,1,4
2019-01-26,485.9,456.0,371.2,428.57142857142856,26,1,5
2019-01-27,485.2,485.9,362.4,446.1142857142857,27,1,6
2019-01-28,485.1,485.2,356.6,464.47142857142853,28,1,0
2019-01-29,475.9,485.1,330.8,485.2,29,1,1
2019-01-30,348.4,475.9,499.4,463.62857142857143,30,1,2
2019-01-31,345.2,348.4,508.9,440.24285714285713,31,1,3
2019-02-02,344.3,345.2,456.0,424.2857142857143,2,2,5
2019-02-03,353.3,344.3,485.9,405.3428571428571,3,2,6
2019-02-04,369.8,353.3,485.2,388.85714285714283,4,2,0
2019-02-05,376.0,369.8,485.1,373.2714285714286,5,2,1
2019-02-06,378.0,376.0,475.9,359.2857142857143,6,2,2
2019-02-07,305.6,378.0,348.4,353.1714285714285,7,2,3
2019-02-08,320.1,305.6,345.2,349.58571428571435,8,2,4
2019-02-09,350.4,320.1,344.3,350.45714285714286,9,2,5
2019-02-10,360.6,350.4,353.3,351.5,10,2,6
2019-02-11,362.2,360.6,369.8,350.4142857142857,11,2,0
2019-02-12,360.6,362.2,376.0,348.2142857142857,12,2,1
2019-02-13,357.5,360.6,378.0,345.2857142857143,13,2,2
2019-02-14,394.1,357.5,305.6,357.92857142857144,14,2,3
2019-02-15,399.5,394.1,320.1,369.27142857142854,15,2,4
2019-02-16,405.3,399.5,350.4,377.11428571428576,16,2,5
2019-02-17,403.4,405.3,360.6,383.2285714285714,17,2,6
2019-02-18,399.3,403.4,362.2,388.5285714285714,18,2,0
2019-02-19,403.5,399.3,360.6,394.6571428571429,19,2,1
2019-02-20,392.4,403.5,357.5,399.64285714285717,20,2,2
2019-02-21,509.5,392.4,394.1,416.1285714285714,21,2,3
2019-02-22,516.4,509.5,399.5,432.82857142857137,22,2,4
2019-02-23,515.8,516.4,405.3,448.61428571428576,23,2,5
2019-02-24,509.6,515.8,403.4,463.7857142857143,24,2,6
2019-02-25,505.9,509.6,399.3,479.0142857142856,25,2,0
2019-02-26,500.6,505.9,403.5,492.88571428571424,26,2,1
2019-02-27,489.6,500.6,392.4,506.7714285714286,27,2,2
2019-02-28,454.7,489.6,509.5,498.9428571428571,28,2,3
2019-03-02,467.0,454.7,516.4,491.88571428571424,2,3,5
2019-03-03,461.9,467.0,515.8,484.18571428571425,3,3,6
2019-03-04,454.7,461.9,509.6,476.3428571428571,4,3,0
2019-03-05,448.3,454.7,505.9,468.11428571428576,5,3,1
2019-03-06,443.4,448.3,500.6,459.9428571428571,6,3,2
2019-03-07,435.6,443.4,489.6,452.2285714285714,7,3,3
2019-03-08,423.5,435.6,454.7,447.7714285714286,8,3,4
2019-03-09,429.0,423.5,467.0,442.34285714285716,9,3,5
2019-03-10,439.3,429.0,461.9,439.11428571428576,10,3,6
2019-03-11,449.4,439.3,454.7,438.35714285714283,11,3,0
2019-03-12,431.4,449.4,448.3,435.9428571428571,12,3,1
2019-03-13,402.8,431.4,443.4,430.14285714285717,13,3,2
2019-03-14,374.7,402.8,435.6,421.4428571428571,14,3,3
2019-03-15,404.6,374.7,423.5,418.74285714285713,15,3,4
2019-03-16,405.7,404.6,429.0,415.4142857142857,16,3,5
2019-03-17,408.1,405.7,439.3,410.95714285714286,17,3,6
2019-03-18,408.8,408.1,449.4,405.1571428571429,18,3,0
2019-03-19,405.1,408.8,431.4,401.40000000000003,19,3,1
2019-03-20,400.2,405.1,402.8,401.0285714285714,20,3,2
2019-03-21,409.9,400.2,374.7,406.0571428571429,21,3,3
2019-03-22,438.0,409.9,404.6,410.8285714285715,22,3,4
2019-03-23,442.3,438.0,405.7,416.0571428571429,23,3,5
2019-03-24,441.0,442.3,408.1,420.75714285714287,24,3,6
2019-03-25,443.7,441.0,408.8,425.74285714285713,25,3,0
2019-03-26,443.7,443.7,405.1,431.25714285714287,26,3,1
2019-03-27,445.0,443.7,400.2,437.6571428571429,27,3,2
2019-03-28,424.4,445.0,409.9,439.7285714285714,28,3,3
2019-03-29,471.3,424.4,438.0,444.4857142857143,29,3,4
2019-03-30,484.0,471.3,442.3,450.4428571428571,30,3,5
2019-03-31,489.6,484.0,441.0,457.38571428571424,31,3,6
2019-04-02,487.7,489.6,443.7,463.6714285714285,2,4,1
2019-04-03,483.3,487.7,443.7,469.3285714285715,3,4,2
2019-04-04,484.0,483.3,445.0,474.90000000000003,4,4,3
2019-04-05,462.0,484.0,424.4,480.2714285714286,5,4,4
2019-04-06,439.4,462.0,471.3,475.7142857142857,6,4,5
2019-04-07,433.9,439.4,484.0,468.5571428571429,7,4,6
2019-04-08,432.9,433.9,489.6,460.45714285714286,8,4,0
2019-04-09,432.9,432.9,487.7,452.62857142857143,9,4,1
2019-04-10,420.9,432.9,483.3,443.7142857142857,10,4,2
2019-04-11,431.1,420.9,484.0,436.15714285714284,11,4,3
2019-04-12,419.7,431.1,462.0,430.11428571428576,12,4,4
2019-04-13,436.2,419.7,439.4,429.65714285714284,13,4,5
2019-04-14,451.0,436.2,433.9,432.09999999999997,14,4,6
2019-04-15,458.8,451.0,432.9,435.80000000000007,15,4,0
2019-04-16,448.7,458.8,432.9,438.0571428571429,16,4,1
2019-04-17,407.6,448.7,420.9,436.15714285714284,17,4,2
2019-04-18,388.5,407.6,431.1,430.07142857142856,18,4,3
2019-04-19,371.1,388.5,419.7,423.12857142857143,19,4,4
2019-04-20,495.9,371.1,436.2,431.65714285714284,20,4,5
2019-04-21,494.2,495.9,451.0,437.8285714285715,21,4,6
2019-04-22,491.4,494.2,458.8,442.4857142857142,22,4,0
2019-04-23,493.4,491.4,448.7,448.87142857142857,23,4,1
2019-04-24,492.9,493.4,407.6,461.0571428571429,24,4,2
2019-04-25,484.8,492.9,388.5,474.8142857142857,25,4,3
