date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,2.3,2.6,2.7,2.5142857142857147,9,1,2
2019-01-10,2.4,2.3,2.4,2.5142857142857147,10,1,3
2019-01-11,2.4,2.4,2.4,2.5142857142857147,11,1,4
2019-01-12,2.5,2.4,2.7,2.485714285714286,12,1,5
2019-01-13,2.5,2.5,2.7,2.457142857142857,13,1,6
2019-01-14,2.5,2.5,2.5,2.457142857142857,14,1,0
2019-01-15,2.5,2.5,2.6,2.442857142857143,15,1,1
2019-01-16,2.3,2.5,2.3,2.4428571428571426,16,1,2
2019-01-17,2.5,2.3,2.4,2.457142857142857,17,1,3
2019-01-18,2.5,2.5,2.4,2.4714285714285715,18,1,4
2019-01-19,2.6,2.5,2.5,2.4857142857142853,19,1,5
2019-01-20,2.6,2.6,2.5,2.5,20,1,6
2019-01-21,2.7,2.6,2.5,2.5285714285714285,21,1,0
2019-01-22,2.5,2.7,2.5,2.5285714285714285,22,1,1
2019-01-23,1.8,2.5,2.3,2.457142857142857,23,1,2
2019-01-24,2.5,1.8,2.5,2.457142857142857,24,1,3
2019-01-25,2.4,2.5,2.5,2.442857142857143,25,1,4
2019-01-26,2.4,2.4,2.6,2.414285714285714,26,1,5
2019-01-27,2.4,2.4,2.6,2.3857142857142857,27,1,6
2019-01-28,2.3,2.4,2.7,2.3285714285714287,28,1,0
2019-01-29,1.9,2.3,2.5,2.242857142857143,29,1,1
2019-01-30,2.4,1.9,1.8,2.3285714285714287,30,1,2
2019-01-31,2.5,2.4,2.5,2.3285714285714287,31,1,3
2019-02-02,2.4,2.5,2.4,2.3285714285714287,2,2,5
2019-02-03,2.4,2.4,2.4,2.3285714285714287,3,2,6
2019-02-04,2.4,2.4,2.4,2.3285714285714283,4,2,0
2019-02-05,2.3,2.4,2.3,2.3285714285714287,5,2,1
2019-02-06,2.3,2.3,1.9,2.3857142857142857,6,2,2
2019-02-07,2.5,2.3,2.4,2.3999999999999995,7,2,3
2019-02-08,2.4,2.5,2.5,2.3857142857142857,8,2,4
2019-02-09,2.5,2.4,2.4,2.4,9,2,5
2019-02-10,2.4,2.5,2.4,2.4,10,2,6
2019-02-11,2.4,2.4,2.4,2.4,11,2,0
2019-02-12,2.5,2.4,2.3,2.4285714285714284,12,2,1
2019-02-13,2.6,2.5,2.3,2.4714285714285715,13,2,2
2019-02-14,2.8,2.6,2.5,2.5142857142857147,14,2,3
2019-02-15,2.5,2.8,2.4,2.5285714285714285,15,2,4
2019-02-16,2.9,2.5,2.5,2.5857142857142854,16,2,5
2019-02-17,2.9,2.9,2.4,2.6571428571428575,17,2,6
2019-02-18,2.7,2.9,2.4,2.6999999999999997,18,2,0
2019-02-19,2.8,2.7,2.5,2.742857142857143,19,2,1
2019-02-20,2.9,2.8,2.6,2.7857142857142856,20,2,2
2019-02-21,2.5,2.9,2.8,2.742857142857143,21,2,3
2019-02-22,2.7,2.5,2.5,2.7714285714285714,22,2,4
2019-02-23,2.8,2.7,2.9,2.757142857142857,23,2,5
2019-02-24,2.5,2.8,2.9,2.6999999999999997,24,2,6
2019-02-25,2.4,2.5,2.7,2.6571428571428575,25,2,0
2019-02-26,2.2,2.4,2.8,2.5714285714285716,26,2,1
2019-02-27,2.3,2.2,2.9,2.4857142857142853,27,2,2
2019-02-28,2.9,2.3,2.5,2.542857142857143,28,2,3
2019-03-02,2.9,2.9,2.7,2.5714285714285716,2,3,5
2019-03-03,2.6,2.9,2.8,2.542857142857143,3,3,6
2019-03-04,2.6,2.6,2.5,2.557142857142857,4,3,0
2019-03-05,2.6,2.6,2.4,2.585714285714286,5,3,1
2019-03-06,2.6,2.6,2.2,2.642857142857143,6,3,2
