date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,6.0,6.2,6.1,6.142857142857143,9,1,2
2019-01-10,6.2,6.0,6.5,6.1,10,1,3
2019-01-11,6.2,6.2,6.3,6.085714285714286,11,1,4
2019-01-12,6.0,6.2,5.7,6.128571428571428,12,1,5
2019-01-13,5.9,6.0,6.2,6.085714285714286,13,1,6
2019-01-14,5.4,5.9,6.1,5.985714285714287,14,1,0
2019-01-15,5.2,5.4,6.2,5.8428571428571425,15,1,1
2019-01-16,5.6,5.2,6.0,5.785714285714286,16,1,2
2019-01-17,5.5,5.6,6.2,5.685714285714286,17,1,3
2019-01-18,5.8,5.5,6.2,5.628571428571428,18,1,4
2019-01-19,5.6,5.8,6.0,5.571428571428571,19,1,5
2019-01-20,5.6,5.6,5.9,5.528571428571429,20,1,6
2019-01-21,5.7,5.6,5.4,5.57142857142857,21,1,0
2019-01-22,5.7,5.7,5.2,5.642857142857143,22,1,1
2019-01-23,5.6,5.7,5.6,5.642857142857143,23,1,2
2019-01-24,5.6,5.6,5.5,5.657142857142857,24,1,3
2019-01-25,4.9,5.6,5.8,5.528571428571429,25,1,4
2019-01-26,5.6,4.9,5.6,5.528571428571429,26,1,5
2019-01-27,5.6,5.6,5.6,5.528571428571428,27,1,6
2019-01-28,4.7,5.6,5.7,5.385714285714286,28,1,0
2019-01-29,5.0,4.7,5.7,5.285714285714286,29,1,1
2019-01-30,3.4,5.0,5.6,4.971428571428571,30,1,2
2019-01-31,3.4,3.4,5.6,4.6571428571428575,31,1,3
2019-02-02,3.4,3.4,4.9,4.442857142857143,2,2,5
2019-02-03,3.4,3.4,5.6,4.128571428571428,3,2,6
2019-02-04,3.4,3.4,5.6,3.814285714285714,4,2,0
2019-02-05,3.6,3.4,4.7,3.657142857142857,5,2,1
2019-02-06,3.8,3.6,5.0,3.4857142857142853,6,2,2
2019-02-07,5.5,3.8,3.4,3.7857142857142856,7,2,3
2019-02-08,5.7,5.5,3.4,4.114285714285715,8,2,4
2019-02-09,5.8,5.7,3.4,4.457142857142857,9,2,5
2019-02-10,6.0,5.8,3.4,4.828571428571428,10,2,6
2019-02-11,5.8,6.0,3.4,5.171428571428571,11,2,0
2019-02-12,5.8,5.8,3.6,5.485714285714286,12,2,1
2019-02-13,5.9,5.8,3.8,5.785714285714286,13,2,2
2019-02-14,6.3,5.9,5.5,5.8999999999999995,14,2,3
2019-02-15,6.3,6.3,5.7,5.985714285714286,15,2,4
2019-02-16,5.9,6.3,5.8,6.0,16,2,5
2019-02-17,6.2,5.9,6.0,6.028571428571429,17,2,6
2019-02-18,6.3,6.2,5.8,6.1000000000000005,18,2,0
2019-02-19,6.2,6.3,5.8,6.1571428571428575,19,2,1
2019-02-20,6.2,6.2,5.9,6.2,20,2,2
2019-02-21,4.7,6.2,6.3,5.971428571428572,21,2,3
2019-02-22,5.0,4.7,6.3,5.785714285714286,22,2,4
2019-02-23,5.3,5.0,5.9,5.7,23,2,5
2019-02-24,4.9,5.3,6.2,5.514285714285713,24,2,6
2019-02-25,4.9,4.9,6.3,5.314285714285715,25,2,0
2019-02-26,5.5,4.9,6.2,5.214285714285714,26,2,1
2019-02-27,5.9,5.5,6.2,5.171428571428572,27,2,2
2019-02-28,6.7,5.9,4.7,5.457142857142857,28,2,3
2019-03-02,6.6,6.7,5.0,5.685714285714285,2,3,5
2019-03-03,6.6,6.6,5.3,5.871428571428572,3,3,6
2019-03-04,6.5,6.6,4.9,6.1000000000000005,4,3,0
2019-03-05,6.4,6.5,4.9,6.314285714285714,5,3,1
2019-03-06,6.6,6.4,5.5,6.471428571428571,6,3,2
2019-03-07,6.7,6.6,5.9,6.585714285714286,7,3,3
2019-03-08,5.5,6.7,6.7,6.414285714285714,8,3,4
2019-03-09,5.2,5.5,6.6,6.214285714285714,9,3,5
2019-03-10,5.7,5.2,6.6,6.085714285714286,10,3,6
2019-03-11,5.6,5.7,6.5,5.957142857142857,11,3,0
2019-03-12,5.3,5.6,6.4,5.8,12,3,1
2019-03-13,5.4,5.3,6.6,5.628571428571428,13,3,2
2019-03-14,5.2,5.4,6.7,5.414285714285714,14,3,3
2019-03-15,4.3,5.2,5.5,5.242857142857142,15,3,4
2019-03-16,4.1,4.3,5.2,5.085714285714286,16,3,5
2019-03-17,4.2,4.1,5.7,4.871428571428572,17,3,6
2019-03-18,4.1,4.2,5.6,4.657142857142857,18,3,0
2019-03-19,4.4,4.1,5.3,4.528571428571429,19,3,1
2019-03-20,4.2,4.4,5.4,4.357142857142857,20,3,2
2019-03-21,4.0,4.2,5.2,4.185714285714286,21,3,3
2019-03-22,5.9,4.0,4.3,4.414285714285714,22,3,4
2019-03-23,5.7,5.9,4.1,4.642857142857143,23,3,5
2019-03-24,5.8,5.7,4.2,4.871428571428572,24,3,6
2019-03-25,5.5,5.8,4.1,5.071428571428571,25,3,0
2019-03-26,5.5,5.5,4.4,5.228571428571429,26,3,1
2019-03-27,6.0,5.5,4.2,5.485714285714286,27,3,2
2019-03-28,5.9,6.0,4.0,5.757142857142857,28,3,3
2019-03-29,5.7,5.9,5.9,5.728571428571429,29,3,4
2019-03-30,5.5,5.7,5.7,5.7,30,3,5
2019-03-31,5.6,5.5,5.8,5.671428571428572,31,3,6
2019-04-02,5.7,5.6,5.5,5.7,2,4,1
2019-04-03,6.0,5.7,5.5,5.771428571428571,3,4,2
2019-04-04,5.6,6.0,6.0,5.714285714285714,4,4,3
2019-04-05,5.4,5.6,5.9,5.642857142857143,5,4,4
2019-04-06,6.5,5.4,5.7,5.757142857142857,6,4,5
2019-04-07,6.6,6.5,5.5,5.914285714285714,7,4,6
2019-04-08,6.4,6.6,5.6,6.028571428571428,8,4,0
2019-04-09,6.6,6.4,5.7,6.1571428571428575,9,4,1
2019-04-10,6.7,6.6,6.0,6.257142857142858,10,4,2
2019-04-11,6.8,6.7,5.6,6.428571428571429,11,4,3
2019-04-12,6.4,6.8,5.4,6.571428571428571,12,4,4
2019-04-13,5.6,6.4,6.5,6.442857142857143,13,4,5
2019-04-14,5.7,5.6,6.6,6.314285714285715,14,4,6
2019-04-15,5.3,5.7,6.4,6.1571428571428575,15,4,0
2019-04-16,5.8,5.3,6.6,6.042857142857143,16,4,1
2019-04-17,5.4,5.8,6.7,5.857142857142857,17,4,2
2019-04-18,5.8,5.4,6.8,5.714285714285714,18,4,3
2019-04-19,6.0,5.8,6.4,5.6571428571428575,19,4,4
2019-04-20,5.5,6.0,5.6,5.642857142857143,20,4,5
2019-04-21,6.0,5.5,5.7,5.685714285714285,21,4,6
2019-04-22,5.9,6.0,5.3,5.771428571428571,22,4,0
2019-04-23,5.7,5.9,5.8,5.757142857142857,23,4,1
2019-04-24,5.8,5.7,5.4,5.814285714285714,24,4,2
2019-04-25,5.9,5.8,5.8,5.828571428571429,25,4,3
2019-04-26,5.5,5.9,6.0,5.757142857142858,26,4,4
2019-04-27,6.0,5.5,5.5,5.828571428571429,27,4,5
2019-04-28,6.0,6.0,6.0,5.828571428571429,28,4,6
2019-04-29,6.4,6.0,5.9,5.9,29,4,0
2019-04-30,6.3,6.4,5.7,5.985714285714286,30,4,1
2019-05-02,6.2,6.3,5.8,6.042857142857144,2,5,3
2019-05-03,6.4,6.2,5.9,6.114285714285714,3,5,4
2019-05-04,6.2,6.4,5.5,6.214285714285714,4,5,5
2019-05-05,5.8,6.2,6.0,6.185714285714285,5,5,6
2019-05-06,5.7,5.8,6.0,6.142857142857143,6,5,0
2019-05-07,6.1,5.7,6.4,6.1000000000000005,7,5,1
2019-05-08,6.4,6.1,6.3,6.114285714285715,8,5,2
2019-05-09,6.1,6.4,6.2,6.1000000000000005,9,5,3
2019-05-10,6.1,6.1,6.4,6.057142857142857,10,5,4
2019-05-11,6.1,6.1,6.2,6.042857142857143,11,5,5
2019-05-12,5.8,6.1,5.8,6.042857142857143,12,5,6
2019-05-13,5.4,5.8,5.7,6.0,13,5,0
2019-05-14,5.4,5.4,6.1,5.9,14,5,1
2019-05-15,5.6,5.4,6.4,5.785714285714286,15,5,2
2019-05-16,5.6,5.6,6.1,5.714285714285714,16,5,3
2019-05-17,5.7,5.6,6.1,5.6571428571428575,17,5,4
2019-05-18,5.5,5.7,6.1,5.571428571428571,18,5,5
2019-05-19,5.0,5.5,5.8,5.457142857142857,19,5,6
2019-05-20,5.5,5.0,5.4,5.471428571428571,20,5,0
2019-05-21,5.4,5.5,5.4,5.471428571428571,21,5,1
2019-05-22,5.0,5.4,5.6,5.385714285714285,22,5,2
2019-05-23,5.3,5.0,5.6,5.342857142857143,23,5,3
2019-05-24,5.3,5.3,5.7,5.285714285714286,24,5,4
2019-05-25,5.3,5.3,5.5,5.257142857142857,25,5,5
2019-05-26,5.6,5.3,5.0,5.3428571428571425,26,5,6
2019-05-27,5.8,5.6,5.5,5.385714285714286,27,5,0
2019-05-28,5.3,5.8,5.4,5.371428571428572,28,5,1
2019-05-29,5.0,5.3,5.0,5.371428571428572,29,5,2
2019-05-30,4.7,5.0,5.3,5.285714285714286,30,5,3
2019-05-31,4.3,4.7,5.3,5.142857142857143,31,5,4
2019-06-02,3.7,4.3,5.3,4.914285714285714,2,6,6
2019-06-03,5.6,3.7,5.6,4.914285714285714,3,6,0
2019-06-04,5.9,5.6,5.8,4.928571428571429,4,6,1
2019-06-05,5.9,5.9,5.3,5.014285714285714,5,6,2
2019-06-06,6.1,5.9,5.0,5.171428571428572,6,6,3
2019-06-07,5.7,6.1,4.7,5.314285714285715,7,6,4
2019-06-08,5.5,5.7,4.3,5.485714285714287,8,6,5
2019-06-09,5.6,5.5,3.7,5.757142857142857,9,6,6
2019-06-10,6.2,5.6,5.6,5.8428571428571425,10,6,0
2019-06-11,6.2,6.2,5.9,5.885714285714286,11,6,1
2019-06-12,5.9,6.2,5.9,5.885714285714286,12,6,2
2019-06-13,6.0,5.9,6.1,5.871428571428572,13,6,3
2019-06-14,6.3,6.0,5.7,5.957142857142856,14,6,4
2019-06-15,6.3,6.3,5.5,6.071428571428571,15,6,5
2019-06-16,5.9,6.3,5.6,6.114285714285715,16,6,6
2019-06-17,5.2,5.9,6.2,5.971428571428571,17,6,0
2019-06-18,5.2,5.2,6.2,5.828571428571428,18,6,1
2019-06-19,5.2,5.2,5.9,5.728571428571429,19,6,2
2019-06-20,5.2,5.2,6.0,5.614285714285714,20,6,3
2019-06-21,5.4,5.2,6.3,5.485714285714287,21,6,4
2019-06-22,5.1,5.4,6.3,5.314285714285714,22,6,5
2019-06-23,5.3,5.1,5.9,5.228571428571429,23,6,6
2019-06-24,6.5,5.3,5.2,5.414285714285714,24,6,0
2019-06-25,6.5,6.5,5.2,5.6,25,6,1
2019-06-26,6.6,6.5,5.2,5.8,26,6,2
2019-06-27,6.5,6.6,5.2,5.985714285714286,27,6,3
2019-06-28,6.6,6.5,5.4,6.1571428571428575,28,6,4
2019-06-29,6.7,6.6,5.1,6.385714285714285,29,6,5
2019-06-30,6.5,6.7,5.3,6.557142857142857,30,6,6
2019-07-01,5.2,6.5,6.5,6.371428571428572,1,7,0
2019-07-02,5.7,5.2,6.5,6.257142857142858,2,7,1
2019-07-03,5.4,5.7,6.6,6.085714285714286,3,7,2
2019-07-04,5.4,5.4,6.5,5.928571428571429,4,7,3
2019-07-05,5.5,5.4,6.6,5.771428571428571,5,7,4
2019-07-06,5.5,5.5,6.7,5.6000000000000005,6,7,5
2019-07-07,5.4,5.5,6.5,5.442857142857143,7,7,6
2019-07-08,4.0,5.4,5.2,5.271428571428571,8,7,0
2019-07-08,3.7,4.0,5.7,4.985714285714287,8,7,0
2019-07-09,3.8,3.7,5.4,4.757142857142857,9,7,1
2019-07-09,4.0,3.8,5.4,4.557142857142858,9,7,1
2019-07-10,4.1,4.0,5.5,4.357142857142857,10,7,2
2019-07-10,4.1,4.1,5.5,4.1571428571428575,10,7,2
2019-07-11,4.3,4.1,5.4,4.0,11,7,3
2019-07-11,5.9,4.3,4.0,4.271428571428571,11,7,3
2019-07-12,5.9,5.9,3.7,4.585714285714286,12,7,4
2019-07-12,6.0,5.9,3.8,4.8999999999999995,12,7,4
2019-07-13,6.0,6.0,4.0,5.185714285714285,13,7,5
2019-07-14,6.0,6.0,4.1,5.457142857142856,14,7,6
2019-07-15,6.2,6.0,4.1,5.757142857142858,15,7,0
2019-07-16,6.1,6.2,4.3,6.014285714285714,16,7,1
2019-07-17,6.1,6.1,5.9,6.042857142857143,17,7,2
2019-07-18,6.0,6.1,5.9,6.057142857142857,18,7,3
2019-07-19,5.9,6.0,6.0,6.042857142857144,19,7,4
2019-07-20,5.8,5.9,6.0,6.014285714285714,20,7,5
2019-07-21,5.7,5.8,6.0,5.971428571428572,21,7,6
2019-07-22,6.1,5.7,6.2,5.957142857142856,22,7,0
2019-07-23,5.9,6.1,6.1,5.928571428571429,23,7,1
2019-07-24,6.3,5.9,6.1,5.957142857142857,24,7,2
2019-07-25,6.7,6.3,6.0,6.057142857142858,25,7,3
2019-07-26,6.5,6.7,5.9,6.142857142857143,26,7,4
2019-07-27,6.5,6.5,5.8,6.242857142857143,27,7,5
2019-07-28,6.4,6.5,5.7,6.3428571428571425,28,7,6
2019-07-29,6.3,6.4,6.1,6.371428571428572,29,7,0
2019-07-30,6.1,6.3,5.9,6.3999999999999995,30,7,1
2019-07-31,5.1,6.1,6.3,6.228571428571429,31,7,2
2019-08-01,5.7,5.1,6.7,6.0857142857142845,1,8,3
2019-08-02,6.0,5.7,6.5,6.014285714285713,2,8,4
2019-08-03,5.9,6.0,6.5,5.928571428571429,3,8,5
2019-08-04,6.0,5.9,6.4,5.871428571428572,4,8,6
2019-08-05,5.7,6.0,6.3,5.785714285714286,5,8,0
2019-08-06,6.0,5.7,6.1,5.771428571428571,6,8,1
2019-08-08,4.8,6.0,5.1,5.728571428571429,8,8,3
2019-08-09,5.0,4.8,5.7,5.628571428571429,9,8,4
2019-08-10,5.2,5.0,6.0,5.514285714285714,10,8,5
2019-08-11,5.0,5.2,5.9,5.385714285714285,11,8,6
2019-08-12,4.4,5.0,6.0,5.1571428571428575,12,8,0
2019-08-13,4.7,4.4,5.7,5.014285714285714,13,8,1
2019-08-14,5.1,4.7,6.0,4.885714285714285,14,8,2
2019-08-15,6.7,5.1,4.8,5.1571428571428575,15,8,3
2019-08-16,6.2,6.7,5.0,5.328571428571429,16,8,4
2019-08-17,6.3,6.2,5.2,5.485714285714286,17,8,5
2019-08-18,6.3,6.3,5.0,5.671428571428571,18,8,6
2019-08-19,6.1,6.3,4.4,5.914285714285714,19,8,0
2019-08-20,6.0,6.1,4.7,6.1,20,8,1
2019-08-21,5.9,6.0,5.1,6.214285714285714,21,8,2
2019-08-22,6.0,5.9,6.7,6.114285714285714,22,8,3
2019-08-23,5.9,6.0,6.2,6.071428571428571,23,8,4
2019-08-24,6.0,5.9,6.3,6.028571428571429,24,8,5
2019-08-25,6.0,6.0,6.3,5.985714285714287,25,8,6
2019-08-26,6.1,6.0,6.1,5.985714285714286,26,8,0
2019-08-27,6.2,6.1,6.0,6.014285714285714,27,8,1
2019-08-28,5.9,6.2,5.9,6.014285714285714,28,8,2
