date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,1.7,1.8,1.9,1.7857142857142858,9,1,2
2019-01-10,1.7,1.7,1.8,1.7714285714285716,10,1,3
2019-01-11,1.8,1.7,1.7,1.7857142857142858,11,1,4
2019-01-12,1.8,1.8,1.8,1.7857142857142858,12,1,5
2019-01-13,1.8,1.8,1.9,1.7714285714285716,13,1,6
2019-01-14,1.8,1.8,1.8,1.7714285714285716,14,1,0
2019-01-15,1.7,1.8,1.8,1.7571428571428573,15,1,1
2019-01-16,1.8,1.7,1.7,1.7714285714285716,16,1,2
2019-01-17,1.8,1.8,1.7,1.7857142857142858,17,1,3
2019-01-18,1.6,1.8,1.8,1.7571428571428573,18,1,4
2019-01-19,1.6,1.6,1.8,1.7285714285714289,19,1,5
2019-01-20,1.7,1.6,1.8,1.7142857142857142,20,1,6
2019-01-21,1.8,1.7,1.8,1.7142857142857142,21,1,0
2019-01-22,1.8,1.8,1.7,1.7285714285714284,22,1,1
2019-01-23,1.8,1.8,1.8,1.7285714285714284,23,1,2
2019-01-24,1.6,1.8,1.8,1.7,24,1,3
2019-01-25,1.7,1.6,1.6,1.7142857142857146,25,1,4
2019-01-26,1.6,1.7,1.6,1.7142857142857142,26,1,5
2019-01-27,1.8,1.6,1.7,1.7285714285714289,27,1,6
2019-01-28,1.5,1.8,1.8,1.6857142857142857,28,1,0
2019-01-29,1.5,1.5,1.8,1.6428571428571428,29,1,1
2019-01-30,1.6,1.5,1.8,1.6142857142857143,30,1,2
2019-01-31,1.6,1.6,1.6,1.6142857142857143,31,1,3
2019-02-02,1.6,1.6,1.7,1.5999999999999999,2,2,5
2019-02-03,1.6,1.6,1.6,1.5999999999999999,3,2,6
2019-02-04,1.5,1.6,1.8,1.557142857142857,4,2,0
2019-02-05,1.5,1.5,1.5,1.557142857142857,5,2,1
2019-02-06,1.6,1.5,1.5,1.5714285714285714,6,2,2
2019-02-07,1.7,1.6,1.6,1.5857142857142856,7,2,3
2019-02-08,1.7,1.7,1.6,1.5999999999999999,8,2,4
2019-02-09,1.8,1.7,1.6,1.6285714285714286,9,2,5
2019-02-10,1.7,1.8,1.6,1.6428571428571428,10,2,6
2019-02-11,1.6,1.7,1.5,1.6571428571428573,11,2,0
2019-02-12,1.9,1.6,1.5,1.7142857142857142,12,2,1
2019-02-13,1.7,1.9,1.6,1.7285714285714284,13,2,2
2019-02-14,1.9,1.7,1.7,1.7571428571428573,14,2,3
2019-02-15,1.8,1.9,1.7,1.7714285714285716,15,2,4
2019-02-16,1.9,1.8,1.8,1.7857142857142858,16,2,5
2019-02-17,1.9,1.9,1.7,1.8142857142857145,17,2,6
2019-02-18,1.8,1.9,1.6,1.8428571428571427,18,2,0
2019-02-19,1.9,1.8,1.9,1.842857142857143,19,2,1
2019-02-20,2.0,1.9,1.7,1.8857142857142857,20,2,2
2019-02-21,1.5,2.0,1.9,1.8285714285714285,21,2,3
2019-02-22,1.7,1.5,1.8,1.8142857142857143,22,2,4
2019-02-23,1.8,1.7,1.9,1.8,23,2,5
2019-02-24,1.7,1.8,1.9,1.7714285714285711,24,2,6
2019-02-25,1.7,1.7,1.8,1.7571428571428573,25,2,0
2019-02-26,1.8,1.7,1.9,1.7428571428571427,26,2,1
2019-02-27,1.7,1.8,2.0,1.7,27,2,2
2019-02-28,1.5,1.7,1.5,1.7,28,2,3
2019-03-02,1.7,1.5,1.7,1.7,2,3,5
2019-03-03,1.7,1.7,1.8,1.6857142857142857,3,3,6
2019-03-04,1.6,1.7,1.7,1.6714285714285715,4,3,0
2019-03-05,1.8,1.6,1.7,1.6857142857142855,5,3,1
2019-03-06,1.7,1.8,1.8,1.6714285714285715,6,3,2
2019-03-07,1.7,1.7,1.7,1.6714285714285713,7,3,3
2019-03-08,1.7,1.7,1.5,1.6999999999999997,8,3,4
2019-03-09,1.7,1.7,1.7,1.7,9,3,5
2019-03-10,1.6,1.7,1.7,1.6857142857142855,10,3,6
2019-03-11,1.8,1.6,1.6,1.7142857142857142,11,3,0
2019-03-12,1.8,1.8,1.8,1.7142857142857142,12,3,1
2019-03-13,1.8,1.8,1.7,1.7285714285714284,13,3,2
2019-03-14,1.7,1.8,1.7,1.7285714285714284,14,3,3
2019-03-15,1.5,1.7,1.7,1.6999999999999997,15,3,4
2019-03-16,1.6,1.5,1.7,1.6857142857142857,16,3,5
2019-03-17,1.4,1.6,1.6,1.657142857142857,17,3,6
2019-03-18,1.4,1.4,1.8,1.5999999999999999,18,3,0
2019-03-19,1.4,1.4,1.8,1.542857142857143,19,3,1
2019-03-20,1.4,1.4,1.8,1.4857142857142858,20,3,2
2019-03-21,1.4,1.4,1.7,1.4428571428571428,21,3,3
2019-03-22,1.7,1.4,1.5,1.4714285714285715,22,3,4
2019-03-23,1.7,1.7,1.6,1.4857142857142855,23,3,5
2019-03-24,1.8,1.7,1.4,1.542857142857143,24,3,6
2019-03-25,1.8,1.8,1.4,1.5999999999999999,25,3,0
2019-03-26,1.8,1.8,1.4,1.657142857142857,26,3,1
2019-03-27,1.8,1.8,1.4,1.7142857142857142,27,3,2
2019-03-28,1.8,1.8,1.4,1.7714285714285716,28,3,3
2019-03-29,1.7,1.8,1.7,1.7714285714285716,29,3,4
2019-03-30,1.9,1.7,1.7,1.8,30,3,5
2019-03-31,1.9,1.9,1.8,1.8142857142857143,31,3,6
2019-04-02,1.9,1.9,1.8,1.8285714285714287,2,4,1
2019-04-03,1.6,1.9,1.8,1.8,3,4,2
2019-04-04,1.6,1.6,1.8,1.7714285714285711,4,4,3
2019-04-05,1.4,1.6,1.8,1.7142857142857142,5,4,4
2019-04-06,1.9,1.4,1.7,1.7428571428571427,6,4,5
2019-04-07,1.7,1.9,1.9,1.7142857142857142,7,4,6
2019-04-08,1.7,1.7,1.9,1.6857142857142857,8,4,0
2019-04-09,1.8,1.7,1.9,1.6714285714285713,9,4,1
2019-04-10,1.8,1.8,1.6,1.7,10,4,2
2019-04-11,1.8,1.8,1.6,1.7285714285714289,11,4,3
2019-04-12,1.5,1.8,1.4,1.7428571428571427,12,4,4
2019-04-13,1.9,1.5,1.9,1.7428571428571427,13,4,5
2019-04-14,1.5,1.9,1.7,1.7142857142857142,14,4,6
