date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,7.6,6.5,6.3,6.828571428571429,9,1,2
2019-01-10,7.9,7.6,6.5,7.028571428571429,10,1,3
2019-01-11,7.1,7.9,6.4,7.128571428571428,11,1,4
2019-01-12,8.0,7.1,6.6,7.328571428571429,12,1,5
2019-01-13,8.4,8.0,7.2,7.5,13,1,6
2019-01-14,8.3,8.4,7.0,7.685714285714285,14,1,0
2019-01-15,7.4,8.3,6.5,7.814285714285715,15,1,1
2019-01-16,7.6,7.4,7.6,7.814285714285715,16,1,2
2019-01-17,7.7,7.6,7.9,7.785714285714286,17,1,3
2019-01-18,8.2,7.7,7.1,7.942857142857142,18,1,4
2019-01-19,8.3,8.2,8.0,7.985714285714286,19,1,5
2019-01-20,8.3,8.3,8.4,7.971428571428571,20,1,6
2019-01-21,8.0,8.3,8.3,7.928571428571429,21,1,0
2019-01-22,7.6,8.0,7.4,7.957142857142856,22,1,1
2019-01-23,8.9,7.6,7.6,8.142857142857142,23,1,2
2019-01-24,9.1,8.9,7.7,8.342857142857143,24,1,3
2019-01-25,6.6,9.1,8.2,8.114285714285716,25,1,4
2019-01-26,7.4,6.6,8.3,7.985714285714286,26,1,5
2019-01-27,8.6,7.4,8.3,8.028571428571428,27,1,6
2019-01-28,8.8,8.6,8.0,8.142857142857142,28,1,0
2019-01-29,8.4,8.8,7.6,8.257142857142858,29,1,1
2019-01-30,4.0,8.4,8.9,7.557142857142858,30,1,2
2019-01-31,4.2,4.0,9.1,6.857142857142857,31,1,3
2019-02-02,4.2,4.2,6.6,6.514285714285714,2,2,5
2019-02-03,4.2,4.2,7.4,6.057142857142858,3,2,6
2019-02-04,4.3,4.2,8.6,5.442857142857143,4,2,0
2019-02-05,4.3,4.3,8.8,4.8,5,2,1
2019-02-06,4.3,4.3,8.4,4.214285714285714,6,2,2
2019-02-07,5.5,4.3,4.0,4.428571428571429,7,2,3
2019-02-08,6.3,5.5,4.2,4.728571428571429,8,2,4
2019-02-09,6.0,6.3,4.2,4.985714285714286,9,2,5
2019-02-10,6.1,6.0,4.2,5.257142857142857,10,2,6
2019-02-11,6.4,6.1,4.3,5.557142857142858,11,2,0
2019-02-12,6.8,6.4,4.3,5.914285714285714,12,2,1
2019-02-13,6.3,6.8,4.3,6.2,13,2,2
2019-02-14,7.1,6.3,5.5,6.428571428571429,14,2,3
2019-02-15,7.3,7.1,6.3,6.571428571428571,15,2,4
2019-02-16,7.2,7.3,6.0,6.742857142857142,16,2,5
2019-02-17,7.2,7.2,6.1,6.9,17,2,6
2019-02-18,7.1,7.2,6.4,7.0,18,2,0
2019-02-19,6.6,7.1,6.8,6.971428571428571,19,2,1
2019-02-20,6.5,6.6,6.3,7.0,20,2,2
2019-02-21,9.2,6.5,7.1,7.3,21,2,3
2019-02-22,9.4,9.2,7.3,7.6,22,2,4
2019-02-23,8.9,9.4,7.2,7.8428571428571425,23,2,5
2019-02-24,9.3,8.9,7.2,8.142857142857142,24,2,6
2019-02-25,9.2,9.3,7.1,8.442857142857143,25,2,0
2019-02-26,8.6,9.2,6.6,8.72857142857143,26,2,1
2019-02-27,8.2,8.6,6.5,8.971428571428572,27,2,2
2019-02-28,7.0,8.2,9.2,8.657142857142857,28,2,3
2019-03-02,7.4,7.0,9.4,8.371428571428572,2,3,5
2019-03-03,7.9,7.4,8.9,8.22857142857143,3,3,6
2019-03-04,7.4,7.9,9.3,7.957142857142856,4,3,0
2019-03-05,7.4,7.4,9.2,7.700000000000001,5,3,1
2019-03-06,7.6,7.4,8.6,7.557142857142857,6,3,2
2019-03-07,6.7,7.6,8.2,7.342857142857143,7,3,3
2019-03-08,7.7,6.7,7.0,7.442857142857144,8,3,4
2019-03-09,8.2,7.7,7.4,7.557142857142857,9,3,5
2019-03-10,8.4,8.2,7.9,7.628571428571428,10,3,6
2019-03-11,8.6,8.4,7.4,7.8,11,3,0
2019-03-12,8.5,8.6,7.4,7.957142857142857,12,3,1
2019-03-13,8.4,8.5,7.6,8.071428571428571,13,3,2
2019-03-14,7.4,8.4,6.7,8.171428571428573,14,3,3
2019-03-15,4.5,7.4,7.7,7.714285714285714,15,3,4
2019-03-16,5.2,4.5,8.2,7.285714285714286,16,3,5
2019-03-17,5.4,5.2,8.4,6.857142857142857,17,3,6
2019-03-18,5.4,5.4,8.6,6.4,18,3,0
2019-03-19,5.7,5.4,8.5,6.0,19,3,1
2019-03-20,5.4,5.7,8.4,5.571428571428571,20,3,2
2019-03-21,6.2,5.4,7.4,5.4,21,3,3
2019-03-22,6.8,6.2,4.5,5.728571428571429,22,3,4
2019-03-23,7.0,6.8,5.2,5.985714285714286,23,3,5
2019-03-24,7.2,7.0,5.4,6.242857142857143,24,3,6
2019-03-25,7.1,7.2,5.4,6.485714285714286,25,3,0
2019-03-26,7.3,7.1,5.7,6.714285714285714,26,3,1
2019-03-27,6.9,7.3,5.4,6.928571428571429,27,3,2
2019-03-28,5.8,6.9,6.2,6.871428571428571,28,3,3
2019-03-29,8.5,5.8,6.8,7.114285714285714,29,3,4
2019-03-30,8.4,8.5,7.0,7.314285714285715,30,3,5
2019-03-31,8.4,8.4,7.2,7.485714285714286,31,3,6
2019-04-02,8.5,8.4,7.1,7.685714285714286,2,4,1
2019-04-03,8.4,8.5,7.3,7.8428571428571425,3,4,2
2019-04-04,8.4,8.4,6.9,8.057142857142859,4,4,3
2019-04-05,7.8,8.4,5.8,8.342857142857143,5,4,4
2019-04-06,7.6,7.8,8.5,8.214285714285715,6,4,5
2019-04-07,7.7,7.6,8.4,8.114285714285714,7,4,6
2019-04-08,7.9,7.7,8.4,8.042857142857143,8,4,0
2019-04-09,8.1,7.9,8.5,7.985714285714286,9,4,1
2019-04-10,8.1,8.1,8.4,7.942857142857143,10,4,2
2019-04-11,7.8,8.1,8.4,7.857142857142857,11,4,3
2019-04-12,7.4,7.8,7.8,7.8,12,4,4
2019-04-13,8.4,7.4,7.6,7.914285714285714,13,4,5
2019-04-14,8.8,8.4,7.7,8.071428571428571,14,4,6
2019-04-15,8.6,8.8,7.9,8.17142857142857,15,4,0
2019-04-16,8.5,8.6,8.1,8.22857142857143,16,4,1
2019-04-17,8.6,8.5,8.1,8.3,17,4,2
2019-04-18,8.6,8.6,7.8,8.414285714285715,18,4,3
2019-04-19,8.1,8.6,7.4,8.514285714285714,19,4,4
2019-04-20,7.5,8.1,8.4,8.385714285714286,20,4,5
2019-04-21,7.9,7.5,8.8,8.257142857142858,21,4,6
2019-04-22,8.0,7.9,8.6,8.171428571428573,22,4,0
2019-04-23,7.9,8.0,8.5,8.085714285714285,23,4,1
2019-04-24,7.8,7.9,8.6,7.971428571428571,24,4,2
2019-04-25,7.8,7.8,8.6,7.857142857142857,25,4,3
2019-04-26,7.1,7.8,8.1,7.714285714285714,26,4,4
2019-04-27,6.8,7.1,7.5,7.614285714285715,27,4,5
2019-04-28,6.7,6.8,7.9,7.442857142857142,28,4,6
2019-04-29,6.4,6.7,8.0,7.214285714285714,29,4,0
2019-04-30,6.8,6.4,7.9,7.057142857142857,30,4,1
2019-05-02,6.8,6.8,7.8,6.9142857142857155,2,5,3
2019-05-03,6.7,6.8,7.8,6.757142857142857,3,5,4
2019-05-04,6.2,6.7,7.1,6.628571428571429,4,5,5
2019-05-05,7.6,6.2,6.8,6.742857142857143,5,5,6
2019-05-06,7.5,7.6,6.7,6.857142857142857,6,5,0
2019-05-07,7.3,7.5,6.4,6.985714285714286,7,5,1
2019-05-08,7.4,7.3,6.8,7.071428571428571,8,5,2
2019-05-09,7.7,7.4,6.8,7.200000000000001,9,5,3
2019-05-10,7.8,7.7,6.7,7.357142857142857,10,5,4
2019-05-11,7.3,7.8,6.2,7.514285714285713,11,5,5
2019-05-12,7.7,7.3,7.6,7.528571428571429,12,5,6
2019-05-13,7.8,7.7,7.5,7.571428571428571,13,5,0
2019-05-14,8.5,7.8,7.3,7.742857142857143,14,5,1
2019-05-15,8.5,8.5,7.4,7.8999999999999995,15,5,2
2019-05-16,8.4,8.5,7.7,8.0,16,5,3
2019-05-17,8.0,8.4,7.8,8.028571428571428,17,5,4
2019-05-18,7.4,8.0,7.3,8.042857142857143,18,5,5
2019-05-19,8.9,7.4,7.7,8.214285714285714,19,5,6
2019-05-20,9.0,8.9,7.8,8.385714285714286,20,5,0
2019-05-21,8.9,9.0,8.5,8.442857142857145,21,5,1
2019-05-22,9.1,8.9,8.5,8.528571428571428,22,5,2
2019-05-23,9.1,9.1,8.4,8.628571428571428,23,5,3
2019-05-24,9.1,9.1,8.0,8.785714285714286,24,5,4
2019-05-25,8.3,9.1,7.4,8.914285714285715,25,5,5
2019-05-26,6.1,8.3,8.9,8.514285714285714,26,5,6
2019-05-27,7.0,6.1,9.0,8.22857142857143,27,5,0
2019-05-28,5.0,7.0,8.9,7.671428571428572,28,5,1
2019-05-29,4.2,5.0,9.1,6.971428571428572,29,5,2
2019-05-30,4.1,4.2,9.1,6.257142857142857,30,5,3
2019-05-31,4.1,4.1,9.1,5.542857142857143,31,5,4
2019-06-02,4.1,4.1,8.3,4.942857142857143,2,6,6
2019-06-03,7.0,4.1,6.1,5.071428571428571,3,6,0
2019-06-04,7.2,7.0,7.0,5.1000000000000005,4,6,1
2019-06-05,7.3,7.2,5.0,5.428571428571429,5,6,2
2019-06-06,7.1,7.3,4.2,5.8428571428571425,6,6,3
2019-06-07,7.7,7.1,4.1,6.357142857142857,7,6,4
2019-06-08,7.0,7.7,4.1,6.771428571428571,8,6,5
2019-06-09,5.3,7.0,4.1,6.942857142857143,9,6,6
2019-06-10,6.9,5.3,7.0,6.928571428571429,10,6,0
2019-06-11,7.0,6.9,7.2,6.8999999999999995,11,6,1
2019-06-12,7.0,7.0,7.3,6.857142857142857,12,6,2
2019-06-13,7.1,7.0,7.1,6.857142857142857,13,6,3
2019-06-14,7.2,7.1,7.7,6.785714285714286,14,6,4
