date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,197.0,237.2,234.1,233.65714285714287,9,1,2
2019-01-10,199.9,197.0,240.2,227.9,10,1,3
2019-01-11,187.7,199.9,239.8,220.45714285714286,11,1,4
2019-01-12,189.9,187.7,239.1,213.42857142857142,12,1,5
2019-01-13,186.9,189.9,240.4,205.78571428571428,13,1,6
2019-01-14,195.2,186.9,241.9,199.1142857142857,14,1,0
2019-01-15,185.4,195.2,237.2,191.71428571428572,15,1,1
2019-01-16,175.3,185.4,197.0,188.6142857142857,16,1,2
2019-01-17,197.2,175.3,199.9,188.22857142857146,17,1,3
2019-01-18,209.8,197.2,187.7,191.3857142857143,18,1,4
2019-01-19,197.6,209.8,189.9,192.48571428571427,19,1,5
2019-01-20,197.6,197.6,186.9,194.01428571428573,20,1,6
2019-01-21,189.7,197.6,195.2,193.22857142857143,21,1,0
2019-01-22,191.9,189.7,185.4,194.15714285714284,22,1,1
2019-01-23,227.2,191.9,175.3,201.57142857142858,23,1,2
2019-01-24,231.6,227.2,197.2,206.48571428571427,24,1,3
2019-01-25,232.4,231.6,209.8,209.71428571428572,25,1,4
2019-01-26,229.6,232.4,197.6,214.28571428571428,26,1,5
2019-01-27,226.9,229.6,197.6,218.47142857142856,27,1,6
2019-01-28,222.4,226.9,189.7,223.14285714285714,28,1,0
2019-01-29,223.8,222.4,191.9,227.70000000000002,29,1,1
2019-01-30,131.8,223.8,227.2,214.07142857142858,30,1,2
2019-01-31,141.4,131.8,231.6,201.1857142857143,31,1,3
2019-02-02,141.3,141.4,232.4,188.17142857142858,2,2,5
2019-02-03,145.1,141.3,229.6,176.1,3,2,6
2019-02-04,147.7,145.1,226.9,164.78571428571428,4,2,0
2019-02-05,149.0,147.7,222.4,154.29999999999998,5,2,1
2019-02-06,148.9,149.0,223.8,143.6,6,2,2
2019-02-07,175.3,148.9,131.8,149.81428571428572,7,2,3
2019-02-08,188.1,175.3,141.4,156.4857142857143,8,2,4
2019-02-09,201.3,188.1,141.3,165.05714285714288,9,2,5
2019-02-10,209.7,201.3,145.1,174.28571428571428,10,2,6
2019-02-11,210.8,209.7,147.7,183.29999999999998,11,2,0
2019-02-12,205.0,210.8,149.0,191.29999999999998,12,2,1
2019-02-13,202.4,205.0,148.9,198.94285714285712,13,2,2
2019-02-14,232.8,202.4,175.3,207.15714285714284,14,2,3
2019-02-15,236.7,232.8,188.1,214.1,15,2,4
2019-02-16,237.0,236.7,201.3,219.20000000000002,16,2,5
2019-02-17,235.2,237.0,209.7,222.84285714285716,17,2,6
2019-02-18,236.6,235.2,210.8,226.5285714285714,18,2,0
2019-02-19,234.3,236.6,205.0,230.71428571428572,19,2,1
2019-02-20,232.0,234.3,202.4,234.94285714285712,20,2,2
2019-02-21,248.1,232.0,232.8,237.12857142857143,21,2,3
2019-02-22,257.9,248.1,236.7,240.15714285714284,22,2,4
2019-02-23,256.2,257.9,237.0,242.9,23,2,5
2019-02-24,250.0,256.2,235.2,245.0142857142857,24,2,6
