date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,1.1,1.6,2.0,1.6857142857142857,9,1,2
2019-01-10,1.1,1.1,1.9,1.5714285714285714,10,1,3
2019-01-11,0.8,1.1,1.7,1.4428571428571428,11,1,4
2019-01-12,1.0,0.8,2.0,1.3,12,1,5
2019-01-13,1.0,1.0,2.0,1.157142857142857,13,1,6
2019-01-14,0.9,1.0,1.5,1.0714285714285714,14,1,0
2019-01-15,0.7,0.9,1.6,0.942857142857143,15,1,1
2019-01-16,0.7,0.7,1.1,0.8857142857142858,16,1,2
2019-01-17,0.8,0.7,1.1,0.8428571428571427,17,1,3
2019-01-18,0.8,0.8,0.8,0.8428571428571427,18,1,4
2019-01-19,0.9,0.8,1.0,0.8285714285714285,19,1,5
2019-01-20,0.9,0.9,1.0,0.8142857142857143,20,1,6
2019-01-21,0.8,0.9,0.9,0.8,21,1,0
2019-01-22,0.6,0.8,0.7,0.7857142857142857,22,1,1
2019-01-23,1.1,0.6,0.7,0.8428571428571429,23,1,2
2019-01-24,1.2,1.1,0.8,0.9000000000000001,24,1,3
2019-01-25,0.9,1.2,0.8,0.9142857142857144,25,1,4
2019-01-26,1.2,0.9,0.9,0.9571428571428572,26,1,5
2019-01-27,1.3,1.2,0.9,1.0142857142857142,27,1,6
2019-01-28,1.1,1.3,0.8,1.0571428571428572,28,1,0
2019-01-29,1.0,1.1,0.6,1.1142857142857143,29,1,1
2019-01-30,1.1,1.0,1.1,1.1142857142857143,30,1,2
2019-01-31,1.2,1.1,1.2,1.1142857142857143,31,1,3
2019-02-02,1.3,1.2,0.9,1.1714285714285715,2,2,5
2019-02-03,1.1,1.3,1.2,1.157142857142857,3,2,6
2019-02-04,1.0,1.1,1.3,1.1142857142857143,4,2,0
2019-02-05,1.3,1.0,1.1,1.1428571428571428,5,2,1
2019-02-06,1.2,1.3,1.0,1.1714285714285713,6,2,2
2019-02-07,0.7,1.2,1.1,1.1142857142857143,7,2,3
2019-02-08,0.7,0.7,1.2,1.042857142857143,8,2,4
2019-02-09,0.9,0.7,1.3,0.9857142857142858,9,2,5
2019-02-10,1.1,0.9,1.1,0.9857142857142858,10,2,6
2019-02-11,1.2,1.1,1.0,1.0142857142857142,11,2,0
2019-02-12,1.2,1.2,1.3,1.0,12,2,1
2019-02-13,1.1,1.2,1.2,0.9857142857142858,13,2,2
2019-02-14,1.3,1.1,0.7,1.0714285714285716,14,2,3
2019-02-15,1.5,1.3,0.7,1.1857142857142857,15,2,4
2019-02-16,1.6,1.5,0.9,1.2857142857142858,16,2,5
2019-02-17,1.5,1.6,1.1,1.342857142857143,17,2,6
2019-02-18,1.5,1.5,1.2,1.3857142857142857,18,2,0
2019-02-19,1.4,1.5,1.2,1.4142857142857144,19,2,1
2019-02-20,1.2,1.4,1.1,1.4285714285714286,20,2,2
2019-02-21,1.3,1.2,1.3,1.4285714285714286,21,2,3
2019-02-22,1.3,1.3,1.5,1.4000000000000001,22,2,4
2019-02-23,1.1,1.3,1.6,1.3285714285714287,23,2,5
2019-02-24,1.0,1.1,1.5,1.2571428571428573,24,2,6
2019-02-25,1.2,1.0,1.5,1.2142857142857142,25,2,0
2019-02-26,1.2,1.2,1.4,1.1857142857142857,26,2,1
2019-02-27,0.9,1.2,1.2,1.1428571428571428,27,2,2
2019-02-28,2.1,0.9,1.3,1.2571428571428573,28,2,3
2019-03-02,2.2,2.1,1.3,1.3857142857142857,2,3,5
2019-03-03,2.2,2.2,1.1,1.542857142857143,3,3,6
2019-03-04,2.0,2.2,1.0,1.6857142857142857,4,3,0
2019-03-05,2.0,2.0,1.2,1.8,5,3,1
2019-03-06,2.1,2.0,1.2,1.9285714285714286,6,3,2
2019-03-07,1.9,2.1,0.9,2.0714285714285716,7,3,3
2019-03-08,0.8,1.9,2.1,1.885714285714286,8,3,4
2019-03-09,0.9,0.8,2.2,1.6999999999999997,9,3,5
2019-03-10,0.9,0.9,2.2,1.5142857142857142,10,3,6
2019-03-11,1.0,0.9,2.0,1.3714285714285714,11,3,0
2019-03-12,1.0,1.0,2.0,1.2285714285714284,12,3,1
2019-03-13,0.9,1.0,2.1,1.0571428571428572,13,3,2
2019-03-14,0.6,0.9,1.9,0.8714285714285713,14,3,3
2019-03-15,1.1,0.6,0.8,0.9142857142857144,15,3,4
2019-03-16,1.4,1.1,0.9,0.9857142857142858,16,3,5
2019-03-17,1.3,1.4,0.9,1.042857142857143,17,3,6
2019-03-18,1.3,1.3,1.0,1.0857142857142859,18,3,0
2019-03-19,1.3,1.3,1.0,1.1285714285714286,19,3,1
2019-03-20,1.0,1.3,0.9,1.1428571428571428,20,3,2
2019-03-21,1.3,1.0,0.6,1.242857142857143,21,3,3
2019-03-22,1.5,1.3,1.1,1.3,22,3,4
2019-03-23,1.6,1.5,1.4,1.3285714285714287,23,3,5
2019-03-24,1.6,1.6,1.3,1.3714285714285717,24,3,6
2019-03-25,1.6,1.6,1.3,1.4142857142857144,25,3,0
2019-03-26,1.5,1.6,1.3,1.4428571428571428,26,3,1
2019-03-27,1.4,1.5,1.0,1.5,27,3,2
2019-03-28,1.2,1.4,1.3,1.4857142857142858,28,3,3
2019-03-29,1.3,1.2,1.5,1.4571428571428573,29,3,4
2019-03-30,1.5,1.3,1.6,1.442857142857143,30,3,5
2019-03-31,1.5,1.5,1.6,1.4285714285714286,31,3,6
2019-04-02,1.4,1.5,1.6,1.4000000000000001,2,4,1
2019-04-03,1.3,1.4,1.5,1.3714285714285714,3,4,2
2019-04-04,1.3,1.3,1.4,1.3571428571428572,4,4,3
2019-04-05,0.8,1.3,1.2,1.3,5,4,4
2019-04-06,1.2,0.8,1.3,1.2857142857142858,6,4,5
2019-04-07,1.3,1.2,1.5,1.257142857142857,7,4,6
2019-04-08,1.6,1.3,1.5,1.2714285714285716,8,4,0
2019-04-09,1.2,1.6,1.4,1.2428571428571427,9,4,1
2019-04-10,1.4,1.2,1.3,1.2571428571428573,10,4,2
2019-04-11,1.5,1.4,1.3,1.2857142857142858,11,4,3
2019-04-12,1.3,1.5,0.8,1.3571428571428572,12,4,4
2019-04-13,1.2,1.3,1.2,1.3571428571428572,13,4,5
2019-04-14,1.1,1.2,1.3,1.3285714285714287,14,4,6
2019-04-15,1.2,1.1,1.6,1.2714285714285716,15,4,0
2019-04-16,1.3,1.2,1.2,1.2857142857142858,16,4,1
2019-04-17,1.3,1.3,1.4,1.2714285714285716,17,4,2
2019-04-18,1.2,1.3,1.5,1.2285714285714284,18,4,3
2019-04-19,1.0,1.2,1.3,1.1857142857142857,19,4,4
2019-04-20,1.4,1.0,1.2,1.2142857142857142,20,4,5
2019-04-21,1.6,1.4,1.1,1.2857142857142858,21,4,6
2019-04-22,1.7,1.6,1.2,1.3571428571428572,22,4,0
2019-04-23,1.5,1.7,1.3,1.3857142857142857,23,4,1
2019-04-24,1.6,1.5,1.3,1.4285714285714286,24,4,2
2019-04-25,1.6,1.6,1.2,1.4857142857142858,25,4,3
2019-04-26,1.3,1.6,1.0,1.5285714285714285,26,4,4
2019-04-27,1.9,1.3,1.4,1.6,27,4,5
2019-04-28,2.0,1.9,1.6,1.6571428571428573,28,4,6
2019-04-29,2.0,2.0,1.7,1.7,29,4,0
2019-04-30,2.2,2.0,1.5,1.8,30,4,1
2019-05-02,2.1,2.2,1.6,1.8714285714285717,2,5,3
2019-05-03,2.1,2.1,1.6,1.942857142857143,3,5,4
2019-05-04,1.9,2.1,1.3,2.0285714285714285,4,5,5
2019-05-05,1.0,1.9,1.9,1.9000000000000001,5,5,6
2019-05-06,0.9,1.0,2.0,1.7428571428571427,6,5,0
2019-05-07,1.0,0.9,2.0,1.5999999999999999,7,5,1
2019-05-08,1.0,1.0,2.2,1.4285714285714286,8,5,2
2019-05-09,1.0,1.0,2.1,1.2714285714285716,9,5,3
2019-05-10,1.2,1.0,2.1,1.1428571428571428,10,5,4
2019-05-11,1.2,1.2,1.9,1.042857142857143,11,5,5
2019-05-12,1.3,1.2,1.0,1.0857142857142856,12,5,6
2019-05-13,1.2,1.3,0.9,1.1285714285714286,13,5,0
2019-05-14,1.2,1.2,1.0,1.157142857142857,14,5,1
2019-05-15,0.9,1.2,1.0,1.1428571428571428,15,5,2
2019-05-16,0.9,0.9,1.0,1.1285714285714286,16,5,3
2019-05-17,0.8,0.9,1.2,1.0714285714285714,17,5,4
2019-05-18,0.5,0.8,1.2,0.9714285714285714,18,5,5
2019-05-19,1.2,0.5,1.3,0.9571428571428572,19,5,6
2019-05-20,1.3,1.2,1.2,0.9714285714285714,20,5,0
2019-05-21,1.4,1.3,1.2,1.0,21,5,1
2019-05-22,1.4,1.4,0.9,1.0714285714285714,22,5,2
2019-05-23,1.2,1.4,0.9,1.1142857142857143,23,5,3
2019-05-24,1.2,1.2,0.8,1.1714285714285713,24,5,4
2019-05-25,1.0,1.2,0.5,1.2428571428571427,25,5,5
2019-05-26,1.0,1.0,1.2,1.2142857142857142,26,5,6
2019-05-27,1.4,1.0,1.3,1.2285714285714284,27,5,0
2019-05-28,1.5,1.4,1.4,1.2428571428571427,28,5,1
2019-05-29,1.4,1.5,1.4,1.2428571428571427,29,5,2
2019-05-30,1.3,1.4,1.2,1.2571428571428573,30,5,3
2019-05-31,1.3,1.3,1.2,1.2714285714285716,31,5,4
2019-06-02,1.3,1.3,1.0,1.3142857142857143,2,6,6
2019-06-03,0.9,1.3,1.0,1.3,3,6,0
2019-06-04,1.1,0.9,1.4,1.257142857142857,4,6,1
2019-06-05,1.1,1.1,1.5,1.1999999999999997,5,6,2
2019-06-06,1.2,1.1,1.4,1.1714285714285713,6,6,3
2019-06-07,1.2,1.2,1.3,1.157142857142857,7,6,4
2019-06-08,1.0,1.2,1.3,1.114285714285714,8,6,5
2019-06-09,0.8,1.0,1.3,1.042857142857143,9,6,6
2019-06-10,1.3,0.8,0.9,1.1,10,6,0
2019-06-11,1.7,1.3,1.1,1.1857142857142855,11,6,1
2019-06-12,1.4,1.7,1.1,1.2285714285714284,12,6,2
2019-06-13,1.3,1.4,1.2,1.2428571428571427,13,6,3
2019-06-14,1.4,1.3,1.2,1.2714285714285711,14,6,4
2019-06-15,1.2,1.4,1.0,1.3,15,6,5
2019-06-16,1.1,1.2,0.8,1.3428571428571427,16,6,6
2019-06-17,1.1,1.1,1.3,1.3142857142857143,17,6,0
2019-06-18,1.1,1.1,1.7,1.2285714285714284,18,6,1
2019-06-19,1.0,1.1,1.4,1.1714285714285713,19,6,2
2019-06-20,1.1,1.0,1.3,1.1428571428571428,20,6,3
2019-06-21,1.1,1.1,1.4,1.0999999999999999,21,6,4
2019-06-22,1.2,1.1,1.2,1.1,22,6,5
