date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,280.4,279.2,268.3,284.9142857142857,9,1,2
2019-01-10,290.8,280.4,285.2,285.7142857142857,10,1,3
2019-01-11,270.5,290.8,270.3,285.74285714285713,11,1,4
2019-01-12,298.4,270.5,286.8,287.40000000000003,12,1,5
2019-01-13,314.1,298.4,298.3,289.65714285714284,13,1,6
2019-01-14,305.9,314.1,294.2,291.3285714285715,14,1,0
2019-01-15,288.7,305.9,279.2,292.6857142857143,15,1,1
2019-01-16,301.4,288.7,280.4,295.68571428571425,16,1,2
2019-01-17,313.9,301.4,290.8,298.9857142857143,17,1,3
2019-01-18,321.5,313.9,270.5,306.2714285714286,18,1,4
2019-01-19,325.8,321.5,298.4,310.18571428571425,19,1,5
2019-01-20,325.4,325.8,314.1,311.8,20,1,6
2019-01-21,311.5,325.4,305.9,312.59999999999997,21,1,0
2019-01-22,295.3,311.5,288.7,313.54285714285714,22,1,1
2019-01-23,340.6,295.3,301.4,319.14285714285717,23,1,2
2019-01-24,332.7,340.6,313.9,321.8285714285715,24,1,3
2019-01-25,298.4,332.7,321.5,318.5285714285714,25,1,4
2019-01-26,330.0,298.4,325.8,319.1285714285714,26,1,5
2019-01-27,347.2,330.0,325.4,322.24285714285713,27,1,6
2019-01-28,346.6,347.2,311.5,327.25714285714287,28,1,0
2019-01-29,329.5,346.6,295.3,332.14285714285717,29,1,1
2019-01-30,242.7,329.5,340.6,318.15714285714284,30,1,2
2019-01-31,244.1,242.7,332.7,305.5,31,1,3
2019-02-02,245.2,244.1,298.4,297.90000000000003,2,2,5
2019-02-03,243.9,245.2,330.0,285.6,3,2,6
2019-02-04,246.5,243.9,347.2,271.2142857142857,4,2,0
2019-02-05,250.2,246.5,346.6,257.4428571428571,5,2,1
2019-02-06,250.6,250.2,329.5,246.17142857142858,6,2,2
2019-02-07,201.2,250.6,242.7,240.24285714285716,7,2,3
2019-02-08,218.6,201.2,244.1,236.6,8,2,4
2019-02-09,221.8,218.6,245.2,233.25714285714284,9,2,5
2019-02-10,230.7,221.8,243.9,231.37142857142857,10,2,6
2019-02-11,245.8,230.7,246.5,231.27142857142854,11,2,0
2019-02-12,253.6,245.8,250.2,231.75714285714284,12,2,1
2019-02-13,243.0,253.6,250.6,230.67142857142858,13,2,2
2019-02-14,295.0,243.0,201.2,244.07142857142858,14,2,3
2019-02-15,297.2,295.0,218.6,255.29999999999998,15,2,4
