date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,167.5,190.8,204.2,193.21428571428572,9,1,2
2019-01-10,173.4,167.5,204.5,188.77142857142854,10,1,3
2019-01-11,166.7,173.4,201.2,183.84285714285713,11,1,4
2019-01-12,173.2,166.7,201.7,179.77142857142857,12,1,5
2019-01-13,176.9,173.2,194.9,177.20000000000002,13,1,6
2019-01-14,177.0,176.9,191.9,175.07142857142858,14,1,0
2019-01-15,174.3,177.0,190.8,172.71428571428572,15,1,1
2019-01-16,161.3,174.3,167.5,171.82857142857142,16,1,2
2019-01-17,156.5,161.3,173.4,169.41428571428574,17,1,3
2019-01-18,169.4,156.5,166.7,169.8,18,1,4
2019-01-19,171.8,169.4,173.2,169.6,19,1,5
2019-01-20,152.0,171.8,176.9,166.04285714285714,20,1,6
2019-01-21,144.5,152.0,177.0,161.4,21,1,0
2019-01-22,150.3,144.5,174.3,157.9714285714286,22,1,1
2019-01-23,175.0,150.3,161.3,159.92857142857142,23,1,2
2019-01-24,177.3,175.0,156.5,162.9,24,1,3
2019-01-25,160.9,177.3,169.4,161.6857142857143,25,1,4
2019-01-26,165.2,160.9,171.8,160.74285714285716,26,1,5
2019-01-27,168.4,165.2,152.0,163.08571428571426,27,1,6
2019-01-28,168.8,168.4,144.5,166.55714285714288,28,1,0
2019-01-29,163.0,168.8,150.3,168.3714285714286,29,1,1
2019-01-30,206.5,163.0,175.0,172.8714285714286,30,1,2
2019-01-31,203.2,206.5,177.3,176.57142857142858,31,1,3
2019-02-02,204.8,203.2,160.9,182.84285714285716,2,2,5
2019-02-03,200.5,204.8,165.2,187.8857142857143,3,2,6
2019-02-04,202.4,200.5,168.4,192.74285714285716,4,2,0
2019-02-05,194.0,202.4,168.8,196.34285714285713,5,2,1
2019-02-06,189.8,194.0,163.0,200.17142857142855,6,2,2
2019-02-07,144.5,189.8,206.5,191.3142857142857,7,2,3
2019-02-08,145.3,144.5,203.2,183.04285714285717,8,2,4
2019-02-09,145.8,145.3,204.8,174.6142857142857,9,2,5
2019-02-10,148.6,145.8,200.5,167.20000000000002,10,2,6
2019-02-11,150.8,148.6,202.4,159.82857142857142,11,2,0
2019-02-12,150.5,150.8,194.0,153.6142857142857,12,2,1
2019-02-13,147.6,150.5,189.8,147.58571428571426,13,2,2
2019-02-14,141.7,147.6,144.5,147.18571428571428,14,2,3
2019-02-15,157.0,141.7,145.3,148.85714285714286,15,2,4
2019-02-16,162.6,157.0,145.8,151.25714285714284,16,2,5
2019-02-17,166.8,162.6,148.6,153.85714285714286,17,2,6
2019-02-18,167.8,166.8,150.8,156.28571428571428,18,2,0
2019-02-19,169.7,167.8,150.5,159.02857142857144,19,2,1
2019-02-20,172.1,169.7,147.6,162.52857142857144,20,2,2
2019-02-21,176.0,172.1,141.7,167.42857142857142,21,2,3
2019-02-22,181.8,176.0,157.0,170.97142857142856,22,2,4
2019-02-23,186.6,181.8,162.6,174.4,23,2,5
2019-02-24,177.5,186.6,166.8,175.92857142857142,24,2,6
2019-02-25,181.2,177.5,167.8,177.84285714285713,25,2,0
2019-02-26,170.9,181.2,169.7,178.01428571428573,26,2,1
2019-02-27,167.0,170.9,172.1,177.28571428571428,27,2,2
2019-02-28,215.0,167.0,176.0,182.85714285714286,28,2,3
2019-03-02,218.5,215.0,181.8,188.1,2,3,5
2019-03-03,219.7,218.5,186.6,192.82857142857145,3,3,6
2019-03-04,219.4,219.7,177.5,198.81428571428572,4,3,0
2019-03-05,224.4,219.4,181.2,204.9857142857143,5,3,1
2019-03-06,210.8,224.4,170.9,210.68571428571428,6,3,2
2019-03-07,204.6,210.8,167.0,216.05714285714285,7,3,3
2019-03-08,218.1,204.6,215.0,216.5,8,3,4
2019-03-09,225.4,218.1,218.5,217.48571428571427,9,3,5
2019-03-10,235.2,225.4,219.7,219.7,10,3,6
2019-03-11,241.7,235.2,219.4,222.8857142857143,11,3,0
2019-03-12,239.4,241.7,224.4,225.0285714285714,12,3,1
2019-03-13,205.2,239.4,210.8,224.22857142857143,13,3,2
2019-03-14,170.6,205.2,204.6,219.3714285714286,14,3,3
2019-03-15,140.0,170.6,218.1,208.21428571428572,15,3,4
2019-03-16,137.0,140.0,225.4,195.58571428571432,16,3,5
2019-03-17,131.8,137.0,235.2,180.81428571428572,17,3,6
2019-03-18,130.5,131.8,241.7,164.92857142857142,18,3,0
2019-03-19,140.2,130.5,239.4,150.75714285714284,19,3,1
2019-03-20,133.8,140.2,205.2,140.55714285714285,20,3,2
2019-03-21,137.0,133.8,170.6,135.75714285714287,21,3,3
2019-03-22,178.7,137.0,140.0,141.28571428571428,22,3,4
2019-03-23,180.8,178.7,137.0,147.54285714285714,23,3,5
2019-03-24,170.8,180.8,131.8,153.1142857142857,24,3,6
2019-03-25,169.0,170.8,130.5,158.6142857142857,25,3,0
2019-03-26,168.6,169.0,140.2,162.67142857142858,26,3,1
2019-03-27,167.3,168.6,133.8,167.45714285714286,27,3,2
2019-03-28,159.2,167.3,137.0,170.62857142857143,28,3,3
2019-03-29,223.9,159.2,178.7,177.08571428571432,29,3,4
2019-03-30,229.2,223.9,180.8,184.0,30,3,5
2019-03-31,226.8,229.2,170.8,192.0,31,3,6
2019-04-02,225.6,226.8,169.0,200.08571428571426,2,4,1
2019-04-03,227.8,225.6,168.6,208.54285714285714,3,4,2
2019-04-04,229.1,227.8,167.3,217.3714285714286,4,4,3
2019-04-05,219.1,229.1,159.2,225.92857142857142,5,4,4
2019-04-06,217.3,219.1,223.9,224.98571428571427,6,4,5
2019-04-07,218.5,217.3,229.2,223.45714285714286,7,4,6
2019-04-08,219.5,218.5,226.8,222.41428571428568,8,4,0
2019-04-09,215.5,219.5,225.6,220.97142857142856,9,4,1
2019-04-10,218.9,215.5,227.8,219.70000000000002,10,4,2
2019-04-11,214.6,218.9,229.1,217.6285714285714,11,4,3
2019-04-12,218.4,214.6,219.1,217.52857142857144,12,4,4
2019-04-13,151.8,218.4,217.3,208.17142857142858,13,4,5
2019-04-14,156.6,151.8,218.5,199.32857142857145,14,4,6
2019-04-15,162.2,156.6,219.5,191.14285714285714,15,4,0
2019-04-16,165.6,162.2,215.5,184.01428571428573,16,4,1
2019-04-17,163.5,165.6,218.9,176.1,17,4,2
2019-04-18,147.0,163.5,214.6,166.44285714285715,18,4,3
2019-04-19,136.3,147.0,218.4,154.71428571428572,19,4,4
2019-04-20,255.1,136.3,151.8,169.47142857142856,20,4,5
2019-04-21,255.2,255.1,156.6,183.55714285714285,21,4,6
2019-04-22,253.3,255.2,162.2,196.57142857142858,22,4,0
2019-04-23,249.7,253.3,165.6,208.58571428571426,23,4,1
2019-04-24,254.0,249.7,163.5,221.5142857142857,24,4,2
2019-04-25,255.9,254.0,147.0,237.07142857142858,25,4,3
