date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,258.6,289.4,313.9,294.35714285714283,9,1,2
2019-01-10,284.2,258.6,311.8,290.4142857142857,10,1,3
2019-01-11,281.4,284.2,320.7,284.8,11,1,4
2019-01-12,298.6,281.4,299.0,284.74285714285713,12,1,5
2019-01-13,310.0,298.6,286.8,288.0571428571428,13,1,6
2019-01-14,319.5,310.0,294.2,291.6714285714285,14,1,0
2019-01-15,326.7,319.5,289.4,297.0,15,1,1
2019-01-16,399.0,326.7,258.6,317.0571428571429,16,1,2
2019-01-17,412.5,399.0,284.2,335.38571428571424,17,1,3
2019-01-18,426.0,412.5,281.4,356.04285714285714,18,1,4
2019-01-19,437.9,426.0,298.6,375.9428571428571,19,1,5
2019-01-20,428.3,437.9,310.0,392.84285714285716,20,1,6
2019-01-21,407.9,428.3,319.5,405.4714285714286,21,1,0
2019-01-22,417.1,407.9,326.7,418.3857142857143,22,1,1
2019-01-23,395.8,417.1,399.0,417.92857142857144,23,1,2
2019-01-24,410.9,395.8,412.5,417.69999999999993,24,1,3
2019-01-25,408.7,410.9,426.0,415.2285714285714,25,1,4
2019-01-26,373.4,408.7,437.9,406.0142857142857,26,1,5
2019-01-27,341.6,373.4,428.3,393.62857142857143,27,1,6
2019-01-28,393.3,341.6,407.9,391.5428571428571,28,1,0
2019-01-29,365.3,393.3,417.1,384.14285714285717,29,1,1
2019-01-30,220.4,365.3,395.8,359.0857142857143,30,1,2
2019-01-31,220.8,220.4,410.9,331.92857142857144,31,1,3
2019-02-02,234.8,220.8,408.7,307.0857142857143,2,2,5
2019-02-03,241.2,234.8,373.4,288.2,3,2,6
2019-02-04,246.2,241.2,341.6,274.57142857142856,4,2,0
2019-02-05,241.2,246.2,393.3,252.84285714285713,5,2,1
2019-02-06,241.3,241.2,365.3,235.1285714285714,6,2,2
2019-02-07,260.1,241.3,220.4,240.8,7,2,3
2019-02-08,262.8,260.1,220.8,246.79999999999998,8,2,4
2019-02-09,268.2,262.8,234.8,251.57142857142858,9,2,5
2019-02-10,273.2,268.2,241.2,256.14285714285717,10,2,6
2019-02-11,276.9,273.2,246.2,260.5285714285714,11,2,0
2019-02-12,281.4,276.9,241.2,266.2714285714286,12,2,1
2019-02-13,268.8,281.4,241.3,270.2,13,2,2
2019-02-14,261.4,268.8,260.1,270.38571428571424,14,2,3
2019-02-15,264.7,261.4,262.8,270.65714285714284,15,2,4
2019-02-16,272.5,264.7,268.2,271.27142857142854,16,2,5
2019-02-17,272.5,272.5,273.2,271.1714285714285,17,2,6
2019-02-18,268.0,272.5,276.9,269.9,18,2,0
2019-02-19,270.0,268.0,281.4,268.27142857142854,19,2,1
2019-02-20,264.3,270.0,268.8,267.62857142857143,20,2,2
2019-02-21,428.2,264.3,261.4,291.45714285714286,21,2,3
2019-02-22,435.6,428.2,264.7,315.87142857142857,22,2,4
2019-02-23,444.4,435.6,272.5,340.42857142857144,23,2,5
2019-02-24,469.0,444.4,272.5,368.5,24,2,6
2019-02-25,445.2,469.0,268.0,393.8142857142857,25,2,0
2019-02-26,438.9,445.2,270.0,417.9428571428571,26,2,1
2019-02-27,439.0,438.9,264.3,442.9,27,2,2
2019-02-28,281.2,439.0,428.2,421.90000000000003,28,2,3
2019-03-02,270.4,281.2,435.6,398.3,2,3,5
2019-03-03,271.8,270.4,444.4,373.64285714285717,3,3,6
2019-03-04,271.2,271.8,469.0,345.38571428571424,4,3,0
2019-03-05,282.1,271.2,445.2,322.0857142857143,5,3,1
2019-03-06,276.9,282.1,438.9,298.9428571428571,6,3,2
2019-03-07,276.8,276.9,439.0,275.77142857142854,7,3,3
2019-03-08,362.8,276.8,281.2,287.42857142857144,8,3,4
2019-03-09,405.5,362.8,270.4,306.7285714285714,9,3,5
2019-03-10,429.1,405.5,271.8,329.2,10,3,6
2019-03-11,430.6,429.1,271.2,351.9714285714286,11,3,0
2019-03-12,431.3,430.6,282.1,373.2857142857143,12,3,1
2019-03-13,439.7,431.3,276.9,396.54285714285714,13,3,2
2019-03-14,409.2,439.7,276.8,415.45714285714286,14,3,3
2019-03-15,235.1,409.2,362.8,397.2142857142857,15,3,4
2019-03-16,222.1,235.1,405.5,371.0142857142857,16,3,5
2019-03-17,249.0,222.1,429.1,345.2857142857143,17,3,6
2019-03-18,276.4,249.0,430.6,323.25714285714287,18,3,0
2019-03-19,287.7,276.4,431.3,302.74285714285713,19,3,1
2019-03-20,268.6,287.7,439.7,278.3,20,3,2
2019-03-21,287.1,268.6,409.2,260.85714285714283,21,3,3
2019-03-22,260.8,287.1,235.1,264.5285714285714,22,3,4
2019-03-23,258.2,260.8,222.1,269.68571428571425,23,3,5
2019-03-24,258.4,258.2,249.0,271.0285714285714,24,3,6
2019-03-25,238.2,258.4,276.4,265.57142857142856,25,3,0
2019-03-26,236.2,238.2,287.7,258.2142857142857,26,3,1
2019-03-27,240.5,236.2,268.6,254.20000000000002,27,3,2
2019-03-28,232.6,240.5,287.1,246.41428571428568,28,3,3
2019-03-29,291.7,232.6,260.8,250.82857142857142,29,3,4
2019-03-30,279.4,291.7,258.2,253.85714285714286,30,3,5
2019-03-31,297.6,279.4,258.4,259.45714285714286,31,3,6
2019-04-02,308.6,297.6,238.2,269.5142857142857,2,4,1
2019-04-03,317.9,308.6,236.2,281.18571428571425,3,4,2
2019-04-04,320.0,317.9,240.5,292.54285714285714,4,4,3
2019-04-05,292.2,320.0,232.6,301.0571428571429,5,4,4
2019-04-06,261.4,292.2,291.7,296.7285714285714,6,4,5
2019-04-07,259.6,261.4,279.4,293.9,7,4,6
2019-04-08,241.9,259.6,297.6,285.9428571428571,8,4,0
2019-04-09,241.9,241.9,308.6,276.4142857142857,9,4,1
2019-04-10,268.0,241.9,317.9,269.2857142857143,10,4,2
2019-04-11,258.0,268.0,320.0,260.42857142857144,11,4,3
2019-04-12,230.0,258.0,292.2,251.54285714285714,12,4,4
2019-04-13,383.0,230.0,261.4,268.9142857142857,13,4,5
2019-04-14,407.9,383.0,259.6,290.09999999999997,14,4,6
2019-04-15,416.9,407.9,241.9,315.09999999999997,15,4,0
2019-04-16,435.1,416.9,241.9,342.7,16,4,1
2019-04-17,446.8,435.1,268.0,368.24285714285713,17,4,2
2019-04-18,452.6,446.8,258.0,396.04285714285714,18,4,3
2019-04-19,445.1,452.6,230.0,426.7714285714286,19,4,4
2019-04-20,259.9,445.1,383.0,409.1857142857143,20,4,5
2019-04-21,250.0,259.9,407.9,386.62857142857143,21,4,6
