date,load,lag_1,lag_7,rolling_mean_7,day,month,weekday
2019-01-09,131.7,102.9,108.2,110.61428571428571,9,1,2
2019-01-10,140.1,131.7,110.2,114.88571428571429,10,1,3
2019-01-11,149.8,140.1,106.8,121.02857142857142,11,1,4
2019-01-12,154.7,149.8,107.0,127.84285714285714,12,1,5
2019-01-13,155.3,154.7,106.4,134.82857142857142,13,1,6
2019-01-14,143.9,155.3,109.3,139.77142857142857,14,1,0
2019-01-15,143.4,143.9,102.9,145.55714285714285,15,1,1
2019-01-16,152.9,143.4,131.7,148.58571428571426,16,1,2
2019-01-17,167.7,152.9,140.1,152.52857142857144,17,1,3
2019-01-18,175.9,167.7,149.8,156.25714285714284,18,1,4
2019-01-19,180.6,175.9,154.7,159.95714285714286,19,1,5
2019-01-20,178.9,180.6,155.3,163.32857142857142,20,1,6
2019-01-21,178.9,178.9,143.9,168.32857142857142,21,1,0
2019-01-22,173.0,178.9,143.4,172.55714285714288,22,1,1
2019-01-23,183.4,173.0,152.9,176.91428571428574,23,1,2
2019-01-24,175.5,183.4,167.7,178.02857142857144,24,1,3
2019-01-25,161.2,175.5,175.9,175.92857142857142,25,1,4
2019-01-26,169.5,161.2,180.6,174.34285714285713,26,1,5
2019-01-27,135.6,169.5,178.9,168.15714285714287,27,1,6
2019-01-28,103.6,135.6,178.9,157.4,28,1,0
2019-01-29,131.5,103.6,173.0,151.47142857142856,29,1,1
2019-01-30,125.7,131.5,183.4,143.22857142857143,30,1,2
2019-01-31,126.1,125.7,175.5,136.17142857142858,31,1,3
2019-02-02,128.0,126.1,161.2,131.42857142857142,2,2,5
2019-02-03,127.6,128.0,169.5,125.44285714285714,3,2,6
2019-02-04,131.6,127.6,135.6,124.87142857142858,4,2,0
2019-02-05,136.8,131.6,103.6,129.6142857142857,5,2,1
2019-02-06,138.9,136.8,131.5,130.67142857142858,6,2,2
2019-02-07,115.4,138.9,125.7,129.2,7,2,3
2019-02-08,115.1,115.4,126.1,127.62857142857142,8,2,4
2019-02-09,117.4,115.1,128.0,126.11428571428571,9,2,5
2019-02-10,123.7,117.4,127.6,125.55714285714286,10,2,6
2019-02-11,124.9,123.7,131.6,124.60000000000001,11,2,0
2019-02-12,123.3,124.9,136.8,122.67142857142858,12,2,1
2019-02-13,116.8,123.3,138.9,119.51428571428572,13,2,2
2019-02-14,124.4,116.8,115.4,120.8,14,2,3
2019-02-15,125.4,124.4,115.1,122.27142857142857,15,2,4
2019-02-16,126.8,125.4,117.4,123.61428571428571,16,2,5
2019-02-17,128.6,126.8,123.7,124.3142857142857,17,2,6
2019-02-18,132.4,128.6,124.9,125.38571428571429,18,2,0
2019-02-19,127.1,132.4,123.3,125.92857142857143,19,2,1
2019-02-20,119.8,127.1,116.8,126.35714285714286,20,2,2
2019-02-21,185.5,119.8,124.4,135.08571428571426,21,2,3
2019-02-22,186.1,185.5,125.4,143.75714285714284,22,2,4
2019-02-23,198.1,186.1,126.8,153.94285714285712,23,2,5
2019-02-24,189.0,198.1,128.6,162.57142857142858,24,2,6
2019-02-25,175.9,189.0,132.4,168.78571428571428,25,2,0
2019-02-26,176.0,175.9,127.1,175.77142857142857,26,2,1
